date_,adj close_hindalco.ns,close_hindalco.ns,high_hindalco.ns,low_hindalco.ns,open_hindalco.ns,volume_hindalco.ns
2024-01-16,572.051513671875,579.5499877929688,584.8499755859375,569.4500122070312,575.9500122070312,5187155
2024-01-17,553.001220703125,560.25,572.7000122070312,558.0999755859375,570.9500122070312,6148035
2024-01-18,547.720458984375,554.9000244140625,561.3499755859375,547.7999877929688,560.25,3784905
2024-01-19,549.8919677734375,557.0999755859375,561.0,554.5,556.5,4451789
2024-01-23,534.3951416015625,541.4000244140625,561.7999877929688,537.5999755859375,558.0,7867972
2024-01-24,557.8378295898438,565.1500244140625,566.7999877929688,547.0,550.0,8619429
2024-01-25,559.861328125,567.2000122070312,570.0,558.4000244140625,566.5,5366990
2024-01-29,560.55224609375,567.9000244140625,571.9500122070312,562.0,568.0,5126212
2024-01-30,561.884765625,569.25,584.2999877929688,567.25,569.9500122070312,7968815
2024-01-31,571.8540649414062,579.3499755859375,580.5999755859375,568.25,569.2000122070312,5644545
2024-02-01,563.85888671875,571.25,581.7999877929688,570.2999877929688,578.0,3509803
2024-02-02,575.950439453125,583.5,589.0,573.0999755859375,577.0,7145858
2024-02-05,572.39697265625,579.9000244140625,590.9000244140625,576.0499877929688,583.5,4801118
2024-02-06,577.3323364257812,584.9000244140625,587.75,569.25,578.5999755859375,4099573
2024-02-07,584.587158203125,592.25,602.1500244140625,584.6500244140625,590.4000244140625,9415146
2024-02-08,593.5200805664062,601.2999877929688,608.9500122070312,587.8499755859375,592.0,11844758
2024-02-09,583.6494140625,591.2999877929688,602.0,576.2999877929688,601.0,5105348
2024-02-12,574.9140014648438,582.4500122070312,601.7999877929688,579.75,591.9000244140625,4595403
2024-02-13,503.50006103515625,510.1000061035156,540.0,496.3500061035156,539.0,46100123
2024-02-14,501.2298278808594,507.79998779296875,516.9000244140625,503.1499938964844,515.0,16634538
2024-02-15,506.55999755859375,513.2000122070312,518.5,507.6000061035156,512.7000122070312,13303658
2024-02-16,509.0276184082031,515.7000122070312,519.9500122070312,510.95001220703125,519.9500122070312,12066565
2024-02-19,505.6716003417969,512.2999877929688,518.9000244140625,511.79998779296875,518.75,5580597
2024-02-20,504.98065185546875,511.6000061035156,515.9000244140625,507.1499938964844,512.5999755859375,5186970
2024-02-21,505.1780700683594,511.79998779296875,538.0,510.0,535.0,18106978
2024-02-22,514.4071655273438,521.1500244140625,522.1500244140625,514.25,516.2999877929688,8727844
2024-02-23,511.6433410644531,518.3499755859375,524.7999877929688,517.0,524.7000122070312,6445580
2024-02-26,498.5154113769531,505.04998779296875,519.75,504.0,519.4000244140625,7605543
2024-02-27,503.055908203125,509.6499938964844,512.2000122070312,504.70001220703125,505.5,6741206
2024-02-28,497.8738098144531,504.3999938964844,514.4500122070312,501.75,512.5,4406098
2024-02-29,497.3309326171875,503.8500061035156,508.0,499.0,506.5,16860796
2024-03-01,512.3836059570312,519.0999755859375,522.5,510.0,510.0,9882296
2024-03-04,518.157958984375,524.9500122070312,529.8499755859375,520.0499877929688,524.0,5989974
2024-03-05,515.3447875976562,522.0999755859375,528.2999877929688,520.2000122070312,524.0,5729926
2024-03-06,520.132080078125,526.9500122070312,527.9000244140625,513.9500122070312,522.0499877929688,4637732
2024-03-07,529.7559204101562,536.7000122070312,540.8499755859375,529.25,530.7999877929688,7909060
2024-03-11,526.7947387695312,533.7000122070312,543.25,532.0999755859375,540.0,5527908
2024-03-12,522.106201171875,528.9500122070312,536.8499755859375,525.2999877929688,533.0999755859375,3703670
2024-03-13,500.440185546875,507.0,530.0,501.20001220703125,529.3499755859375,5712435
2024-03-14,518.4541015625,525.25,526.3499755859375,507.0,512.0,10349338
2024-03-15,525.6596069335938,532.5499877929688,534.0499877929688,517.5,522.0,8467660
2024-03-18,524.2777709960938,531.1500244140625,535.5499877929688,527.0,532.0,4282437
2024-03-19,526.7454223632812,533.6500244140625,539.75,529.25,532.0,7119131
2024-03-20,521.0203857421875,527.8499755859375,535.5,516.3499755859375,533.0,5005234
2024-03-21,532.7171020507812,539.7000122070312,545.75,534.25,538.4000244140625,8795679
2024-03-22,540.6629638671875,547.75,550.6500244140625,537.3499755859375,539.7000122070312,5518261
2024-03-26,551.4219360351562,558.6500244140625,561.0,545.0,545.6500244140625,7198061
2024-03-27,550.4348754882812,557.6500244140625,564.6500244140625,556.7999877929688,564.2000122070312,5320703
2024-03-28,553.001220703125,560.25,566.6500244140625,555.2999877929688,561.0,8326754
2024-04-01,561.2431640625,568.5999755859375,574.0,564.0999755859375,570.0,6192790
2024-04-02,563.8095703125,571.2000122070312,572.2999877929688,561.5499877929688,571.0,4626877
2024-04-03,569.1396484375,576.5999755859375,584.0999755859375,567.1500244140625,570.2000122070312,7514291
2024-04-04,570.2748413085938,577.75,590.0,568.9500122070312,590.0,7246259
2024-04-05,562.6743774414062,570.0499877929688,575.0,567.5999755859375,572.5,4884617
2024-04-08,569.3370971679688,576.7999877929688,579.7000122070312,570.5,572.0,3276169
2024-04-09,580.984375,588.5999755859375,595.4500122070312,574.0,578.0999755859375,7829711
2024-04-10,595.2474365234375,603.0499877929688,604.9000244140625,591.0499877929688,596.2000122070312,11748104
2024-04-12,590.9044189453125,598.6500244140625,609.0499877929688,595.2999877929688,609.0499877929688,15994496
2024-04-15,604.7726440429688,612.7000122070312,625.4000244140625,605.7000122070312,615.0,27067692
2024-04-16,600.9723510742188,608.8499755859375,621.4000244140625,606.7999877929688,612.7000122070312,10722248
2024-04-18,604.8712768554688,612.7999877929688,625.0,609.7999877929688,616.4000244140625,9953539
2024-04-19,606.7960205078125,614.75,616.2999877929688,600.7000122070312,609.0,6443897
2024-04-22,610.546875,618.5499877929688,622.4500122070312,612.7000122070312,620.6500244140625,6503652
2024-04-23,603.8842163085938,611.7999877929688,618.75,610.4000244140625,618.5,6154126
2024-04-24,627.8698120117188,636.0999755859375,637.6500244140625,608.7000122070312,611.7999877929688,11775700
2024-04-25,638.4313354492188,646.7999877929688,648.25,628.0999755859375,635.7000122070312,11897458
2024-04-26,640.8989868164062,649.2999877929688,661.5999755859375,643.0,650.9500122070312,7545608
2024-04-29,641.6393432617188,650.0499877929688,655.4000244140625,641.2000122070312,654.9500122070312,4157501
2024-04-30,636.0625,644.4000244140625,653.7000122070312,642.2999877929688,653.5999755859375,4771959
2024-05-02,633.150634765625,641.4500122070312,646.9000244140625,628.6500244140625,635.9000244140625,17929526
2024-05-03,638.7274780273438,647.0999755859375,655.0499877929688,638.4000244140625,655.0499877929688,10633995
2024-05-06,630.534912109375,638.7999877929688,655.0,629.2999877929688,650.0,10094421
2024-05-07,612.175537109375,620.2000122070312,646.9000244140625,611.75,646.9000244140625,10787196
2024-05-08,625.303466796875,633.5,634.4500122070312,615.0999755859375,615.0999755859375,7683352
