date_,adj close_craftsman.ns,close_craftsman.ns,high_craftsman.ns,low_craftsman.ns,open_craftsman.ns,volume_craftsman.ns
2024-01-16,4999.37255859375,5016.39990234375,5100.0,4962.25,5000.2998046875,23847
2024-01-17,4806.330078125,4822.7001953125,5029.7998046875,4790.0,4970.0498046875,39544
2024-01-18,4682.6015625,4698.5498046875,4886.0,4655.0498046875,4846.75,47651
2024-01-19,4650.7099609375,4666.5498046875,4794.0,4648.5,4738.60009765625,35910
2024-01-23,4668.8486328125,4684.75,4836.0,4652.25,4813.4501953125,38419
2024-01-24,4762.1806640625,4778.39990234375,4800.5,4674.5498046875,4799.7998046875,24881
2024-01-25,4732.88037109375,4749.0,4800.0,4663.25,4800.0,29326
2024-01-29,4657.63671875,4673.5,4870.0,4640.0,4749.0,133615
2024-01-30,4499.724609375,4515.0498046875,4731.0,4500.0,4697.0,98465
2024-01-31,4361.4453125,4376.2998046875,4548.0,4341.0498046875,4548.0,180506
2024-02-01,4310.0703125,4324.75,4581.0,4292.2001953125,4377.0,120972
2024-02-02,4238.66357421875,4253.10009765625,4390.7998046875,4235.0,4359.9501953125,83177
2024-02-05,4160.92822265625,4175.10009765625,4314.75,4103.5,4254.0,51763
2024-02-06,4116.72900390625,4130.75,4238.25,4111.0,4188.64990234375,64172
2024-02-07,4168.55224609375,4182.75,4296.64990234375,4141.0498046875,4189.89990234375,65576
2024-02-08,4052.896484375,4066.699951171875,4199.14990234375,4042.0,4185.4501953125,78725
2024-02-09,4142.93994140625,4157.0498046875,4189.7001953125,4028.050048828125,4067.0,26710
2024-02-12,4107.01220703125,4121.0,4250.64990234375,4102.7001953125,4180.0,45539
2024-02-13,4176.625,4190.85009765625,4223.39990234375,4068.0,4141.60009765625,46227
2024-02-14,4219.77783203125,4234.14990234375,4245.0,4105.39990234375,4190.85009765625,21389
2024-02-15,4255.60595703125,4270.10009765625,4311.9501953125,4235.0,4254.0,23965
2024-02-16,4299.05810546875,4313.7001953125,4388.7998046875,4242.5498046875,4270.0,91594
2024-02-19,4317.146484375,4331.85009765625,4377.0,4308.0,4349.89990234375,19509
2024-02-20,4438.13427734375,4453.25,4493.89990234375,4326.25,4344.89990234375,65268
2024-02-21,4392.93798828125,4407.89990234375,4525.0,4390.0,4525.0,24298
2024-02-22,4335.48388671875,4350.25,4450.85009765625,4340.0,4447.89990234375,16944
2024-02-23,4333.19189453125,4347.9501953125,4367.4501953125,4300.25,4340.0,13906
2024-02-26,4318.791015625,4333.5,4398.0,4294.0,4331.0,16525
2024-02-27,4249.52685546875,4264.0,4385.0,4252.0,4350.0,44229
2024-02-28,4239.0625,4253.5,4324.9501953125,4225.0498046875,4257.0,17313
2024-02-29,4174.6318359375,4188.85009765625,4275.0,4160.0,4260.0,25274
2024-03-01,4275.48828125,4290.0498046875,4324.0,4230.10009765625,4274.9501953125,25481
2024-03-04,4224.86083984375,4239.25,4319.9501953125,4204.0,4305.2998046875,17140
2024-03-05,4114.53662109375,4128.5498046875,4239.7998046875,4090.050048828125,4199.2001953125,57340
2024-03-06,4151.8095703125,4165.9501953125,4200.0,4056.10009765625,4151.0,44331
2024-03-07,4117.02783203125,4131.0498046875,4150.9501953125,4085.0,4110.0,30808
2024-03-11,4015.772705078125,4029.449951171875,4168.39990234375,4020.0,4131.10009765625,32207
2024-03-12,3989.013916015625,4002.60009765625,4115.9501953125,3986.0,4065.050048828125,31161
2024-03-13,3838.3271484375,3851.39990234375,4030.449951171875,3793.64990234375,4029.949951171875,96254
2024-03-14,3911.22900390625,3924.550048828125,3980.0,3801.0,3825.0,46578
2024-03-15,4019.41064453125,4033.10009765625,4050.0,3897.14990234375,3954.0,30039
2024-03-18,3899.0205078125,3912.300048828125,4033.89990234375,3875.0,4033.10009765625,33359
2024-03-19,3824.075927734375,3837.10009765625,3949.0,3813.25,3944.0,28229
2024-03-20,3831.201416015625,3844.25,3865.300048828125,3782.050048828125,3830.0,73471
2024-03-21,3958.866943359375,3972.35009765625,4034.050048828125,3850.0,3863.449951171875,79963
2024-03-22,4135.46484375,4149.5498046875,4160.0,3964.800048828125,3988.949951171875,64305
2024-03-26,4157.888671875,4172.0498046875,4212.9501953125,4088.0,4199.9501953125,44943
2024-03-27,4317.79443359375,4332.5,4370.0,4141.0,4176.5498046875,52734
2024-03-28,4300.25390625,4314.89990234375,4447.0,4283.0,4381.0,41032
2024-04-01,4349.78515625,4364.60009765625,4425.0,4319.0,4379.5498046875,18335
2024-04-02,4335.8330078125,4350.60009765625,4397.75,4307.5498046875,4373.75,38858
2024-04-03,4399.06689453125,4414.0498046875,4474.7001953125,4337.25,4350.60009765625,24619
2024-04-04,4470.2744140625,4485.5,4565.0,4450.0,4488.0,35677
2024-04-05,4363.58837890625,4378.4501953125,4533.14990234375,4355.0,4479.0,39898
2024-04-08,4455.37548828125,4470.5498046875,4524.0,4390.0498046875,4390.0498046875,22431
2024-04-09,4354.12060546875,4368.9501953125,4498.0,4343.75,4485.0,51179
2024-04-10,4400.41259765625,4415.39990234375,4467.89990234375,4372.5498046875,4380.0,27201
2024-04-12,4446.00732421875,4461.14990234375,4540.0,4444.14990234375,4444.14990234375,36882
2024-04-15,4308.77490234375,4323.4501953125,4534.60009765625,4294.0498046875,4383.25,55529
2024-04-16,4264.97412109375,4279.5,4404.9501953125,4267.0,4374.7998046875,25467
