date_,adj close_triturbine.ns,close_triturbine.ns,high_triturbine.ns,low_triturbine.ns,open_triturbine.ns,volume_triturbine.ns
2024-01-16,404.4200134277344,410.1499938964844,418.70001220703125,408.0,418.1000061035156,271604
2024-01-17,399.6377868652344,405.29998779296875,408.5,402.8500061035156,407.5,150207
2024-01-18,392.09466552734375,397.6499938964844,404.3999938964844,393.0,404.3999938964844,350861
2024-01-19,387.2138366699219,392.70001220703125,402.0,392.0,400.1499938964844,296281
2024-01-23,390.7635192871094,396.29998779296875,410.75,393.0,406.0,315686
2024-01-24,389.2351989746094,394.75,397.8999938964844,385.29998779296875,397.5,829898
2024-01-25,380.4101867675781,385.79998779296875,396.75,384.0,396.75,376730
2024-01-29,368.72576904296875,373.95001220703125,389.0,371.04998779296875,385.0,516233
2024-01-30,363.9927978515625,369.1499938964844,378.8500061035156,368.1499938964844,377.20001220703125,582914
2024-01-31,371.2894287109375,376.54998779296875,380.8500061035156,366.04998779296875,370.25,569988
2024-02-01,367.98626708984375,373.20001220703125,378.45001220703125,369.29998779296875,377.75,477812
2024-02-02,362.070068359375,367.20001220703125,383.3999938964844,364.8500061035156,373.20001220703125,661033
2024-02-05,349.054443359375,354.0,370.3500061035156,350.3500061035156,367.3500061035156,849558
2024-02-06,418.8653564453125,424.79998779296875,424.79998779296875,369.1000061035156,375.0,14214394
2024-02-07,463.03948974609375,469.6000061035156,498.0,414.1000061035156,429.0,11226518
2024-02-08,462.4971618652344,469.04998779296875,482.29998779296875,458.1000061035156,477.20001220703125,3772709
2024-02-09,459.8841857910156,466.3999938964844,473.04998779296875,446.20001220703125,465.04998779296875,2122628
2024-02-12,422.3657531738281,428.3500061035156,472.1000061035156,423.3999938964844,467.79998779296875,958540
2024-02-13,439.32550048828125,445.54998779296875,451.95001220703125,420.04998779296875,428.54998779296875,788868
2024-02-14,431.14141845703125,437.25,449.0,427.0,427.0,338150
2024-02-15,452.6861572265625,459.1000061035156,463.45001220703125,430.0,445.0,888403
2024-02-16,456.6997375488281,460.8500061035156,471.45001220703125,447.04998779296875,461.95001220703125,482496
2024-02-19,453.9248962402344,458.04998779296875,467.75,450.3500061035156,466.0,303813
2024-02-20,447.1861572265625,451.25,467.8500061035156,445.1000061035156,463.5,292056
2024-02-21,449.81231689453125,453.8999938964844,459.79998779296875,440.5,452.0,504060
2024-02-22,451.54656982421875,455.6499938964844,464.3500061035156,445.1000061035156,460.0,485008
2024-02-23,453.1816711425781,457.29998779296875,472.0,452.25,468.0,435468
2024-02-26,451.9924621582031,456.1000061035156,459.6000061035156,442.3500061035156,457.6000061035156,396270
2024-02-27,455.0646057128906,459.20001220703125,461.45001220703125,436.45001220703125,458.0,914387
2024-02-28,461.9024353027344,466.1000061035156,498.70001220703125,447.95001220703125,465.29998779296875,10260156
2024-02-29,493.71337890625,498.20001220703125,503.0,458.04998779296875,469.25,10002556
2024-03-01,487.0241394042969,491.45001220703125,504.8999938964844,486.6000061035156,498.20001220703125,1965936
2024-03-04,487.9655456542969,492.3999938964844,518.0,490.29998779296875,518.0,1877080
2024-03-05,476.2222900390625,480.54998779296875,515.9500122070312,478.0,496.3999938964844,2488644
2024-03-06,471.3168640136719,475.6000061035156,491.0,463.29998779296875,487.0,1367047
2024-03-07,480.2853698730469,484.6499938964844,489.0,475.6000061035156,479.8999938964844,912598
2024-03-11,476.3213806152344,480.6499938964844,501.3999938964844,473.75,497.95001220703125,1566284
2024-03-12,463.9339599609375,468.1499938964844,484.1499938964844,462.6499938964844,480.6000061035156,653245
2024-03-13,456.94744873046875,461.1000061035156,477.95001220703125,449.5,467.8999938964844,1190455
2024-03-14,467.00604248046875,471.25,476.0,445.0,458.0,994002
2024-03-15,467.9970397949219,472.25,475.0,458.54998779296875,467.95001220703125,609636
2024-03-18,457.3438720703125,461.5,474.75,458.3999938964844,470.8999938964844,346530
2024-03-19,483.95208740234375,488.3500061035156,504.70001220703125,460.1000061035156,463.0,12707665
2024-03-20,478.25384521484375,482.6000061035156,496.45001220703125,478.1499938964844,488.3500061035156,2273204
2024-03-21,495.2493896484375,499.75,517.5,486.5,487.70001220703125,3577176
2024-03-22,497.82598876953125,502.3500061035156,508.0,493.1000061035156,498.04998779296875,907958
2024-03-26,532.7584838867188,537.5999755859375,545.6500244140625,497.1499938964844,500.0,4223986
2024-03-27,541.0828857421875,546.0,559.0,530.8499755859375,542.8499755859375,2873936
2024-03-28,531.8666381835938,536.7000122070312,547.0,524.5499877929688,547.0,1560344
2024-04-01,566.4522705078125,571.5999755859375,578.0,540.0,542.0,2975365
2024-04-02,550.1504516601562,555.1500244140625,574.7999877929688,551.0999755859375,570.0,981352
2024-04-03,545.046875,550.0,558.7000122070312,547.0,558.4000244140625,1066403
2024-04-04,557.5829467773438,562.6500244140625,567.9500122070312,553.0999755859375,554.0,1174174
2024-04-05,552.1820678710938,557.2000122070312,574.5,554.0,568.0,667055
2024-04-08,544.5513305664062,549.5,562.25,545.2000122070312,561.0,556217
2024-04-09,544.1549072265625,549.0999755859375,555.2999877929688,536.0999755859375,555.2999877929688,512786
2024-04-10,550.0018310546875,555.0,565.7999877929688,550.0,556.8499755859375,862532
2024-04-12,540.537841796875,545.4500122070312,565.4500122070312,541.0,558.4000244140625,1362609
2024-04-15,535.7810668945312,540.6500244140625,543.1500244140625,519.5499877929688,532.5,773634
2024-04-16,528.2990112304688,533.0999755859375,561.9500122070312,525.25,528.0999755859375,1571354
2024-04-18,514.4746704101562,519.1500244140625,531.7999877929688,501.5,504.0,1269310
2024-04-19,531.0242309570312,535.8499755859375,541.0999755859375,512.75,515.0,1931126
2024-04-22,526.0692749023438,530.8499755859375,546.5999755859375,527.2000122070312,545.0499877929688,505074
2024-04-23,526.5152587890625,531.2999877929688,535.8499755859375,525.5499877929688,532.4500122070312,558722
2024-04-24,533.1054077148438,537.9500122070312,542.9000244140625,530.2000122070312,535.0,436069
2024-04-25,526.2179565429688,531.0,545.8499755859375,528.5499877929688,542.2999877929688,787985
2024-04-26,530.8756713867188,535.7000122070312,540.4500122070312,528.5,533.0,353173
2024-04-29,534.1954345703125,539.0499877929688,544.7000122070312,532.5,539.9500122070312,639859
2024-04-30,532.708984375,537.5499877929688,551.0,533.0499877929688,544.3499755859375,565139
2024-05-02,554.5604248046875,559.5999755859375,581.9000244140625,535.9500122070312,540.9500122070312,3743567
2024-05-03,570.96142578125,576.1500244140625,596.7000122070312,560.1500244140625,563.0,2566687
2024-05-06,564.7676391601562,569.9000244140625,582.0999755859375,553.3499755859375,580.0,861439
2024-05-07,550.5963745117188,555.5999755859375,566.25,539.0499877929688,566.0,1359605
2024-05-08,574.2316284179688,579.4500122070312,581.0999755859375,551.4000244140625,555.0,924981
2024-05-09,545.7405395507812,550.7000122070312,581.0,547.0,579.9500122070312,839973
2024-05-10,550.3982543945312,555.4000244140625,564.3499755859375,549.6500244140625,554.9000244140625,497833
2024-05-13,550.497314453125,555.5,558.0,541.0499877929688,554.5,348470
2024-05-14,551.5379028320312,556.5499877929688,565.9500122070312,549.0,557.0,752761
2024-05-15,579.3848876953125,584.6500244140625,586.7999877929688,556.0999755859375,561.7000122070312,1056094
2024-05-16,599.650634765625,605.0999755859375,612.7000122070312,586.9000244140625,587.0,3039096
2024-05-17,625.21826171875,630.9000244140625,654.4000244140625,617.7999877929688,639.0,6528875
