date_,adj close_manappuram.ns,close_manappuram.ns,high_manappuram.ns,low_manappuram.ns,open_manappuram.ns,volume_manappuram.ns
2024-01-16,169.02284240722656,174.6999969482422,178.3000030517578,171.60000610351562,171.64999389648438,10492785
2024-01-17,167.523193359375,173.14999389648438,177.0500030517578,171.10000610351562,172.89999389648438,8693065
2024-01-18,164.28204345703125,169.8000030517578,173.9499969482422,165.8000030517578,172.0,6787178
2024-01-19,172.60255432128906,178.39999389648438,178.9499969482422,170.64999389648438,170.75,8708317
2024-01-23,162.830810546875,168.3000030517578,178.25,167.10000610351562,176.0500030517578,8452481
2024-01-24,168.877685546875,174.5500030517578,175.0,168.89999389648438,169.35000610351562,12305264
2024-01-25,172.215576171875,178.0,179.89999389648438,173.9499969482422,175.0,5462593
2024-01-29,174.0538330078125,179.89999389648438,183.1999969482422,177.5,179.0,10899563
2024-01-30,177.73031616210938,183.6999969482422,188.1999969482422,180.14999389648438,181.25,12199969
2024-01-31,178.74623107910156,184.75,185.64999389648438,179.0500030517578,184.14999389648438,7373593
2024-02-01,175.60183715820312,181.5,183.6999969482422,176.5,176.5,9559030
2024-02-02,179.9072265625,185.9499969482422,187.8000030517578,182.6999969482422,182.6999969482422,8643578
2024-02-05,175.02133178710938,180.89999389648438,187.64999389648438,179.5,186.85000610351562,6143234
2024-02-06,180.53611755371094,186.60000610351562,188.4499969482422,182.10000610351562,182.5500030517578,9463179
2024-02-07,183.9707489013672,190.14999389648438,191.89999389648438,185.75,187.5500030517578,13922584
2024-02-08,176.85960388183594,182.8000030517578,192.5,181.3000030517578,192.5,31618644
2024-02-09,177.48846435546875,183.4499969482422,186.60000610351562,178.8000030517578,184.5,13935633
2024-02-12,169.21632385253906,174.89999389648438,185.60000610351562,174.14999389648438,185.0,7721859
2024-02-13,171.8285675048828,177.60000610351562,179.5500030517578,172.85000610351562,176.0,8351768
2024-02-14,176.6177215576172,182.5500030517578,183.25,170.0500030517578,175.0,6580283
2024-02-15,180.1490936279297,186.1999969482422,186.89999389648438,183.60000610351562,184.5,6100863
2024-02-16,181.2185516357422,186.39999389648438,189.0,183.89999389648438,186.1999969482422,7511656
2024-02-19,178.3019256591797,183.39999389648438,188.39999389648438,182.8000030517578,187.5,3890700
2024-02-20,179.07969665527344,184.1999969482422,186.6999969482422,180.3000030517578,183.39999389648438,6699481
2024-02-21,173.63534545898438,178.60000610351562,184.5,177.14999389648438,184.5,5305456
