date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2024-03-01,7131.89892578125,7710.0498046875,7840.0,7635.0,7724.9501953125,81008
2024-03-04,7197.34326171875,7780.7998046875,7850.0,7701.5498046875,7776.9501953125,122205
2024-03-05,7155.39453125,7735.4501953125,7799.0,7630.7998046875,7774.60009765625,74394
2024-03-06,7405.93408203125,8006.2998046875,8070.0,7602.5498046875,7690.0,229935
2024-03-07,7679.27490234375,8301.7998046875,8385.0,7954.10009765625,8084.0,457762
2024-03-11,7495.79931640625,8103.4501953125,8472.349609375,8058.0498046875,8472.349609375,216571
2024-03-12,7650.23046875,8270.400390625,8619.2001953125,8190.0,8324.9501953125,1196903
2024-03-13,7430.7705078125,8033.14990234375,8416.900390625,7960.0,8370.0,484645
2024-03-14,7835.04833984375,8470.2001953125,8499.0,7905.0,8000.0,411117
2024-03-15,7819.4150390625,8453.2998046875,8483.9501953125,8145.0,8470.2001953125,503281
2024-03-18,7968.15576171875,8614.099609375,8698.0,8305.0,8480.0,435341
2024-03-19,7654.25390625,8274.75,8645.0,8249.599609375,8600.0,405472
2024-03-20,7623.7744140625,8241.7998046875,8370.7001953125,8128.75,8300.0,291971
2024-03-21,7779.546875,8410.2001953125,8450.0,8263.099609375,8321.0498046875,247898
2024-03-22,7750.640625,8378.9501953125,8448.0,8140.0,8292.099609375,288085
2024-03-26,8107.09375,8764.2998046875,8810.0,8300.0,8350.0,505302
2024-03-27,8142.19873046875,8802.25,8888.0,8729.0498046875,8795.0,304430
2024-03-28,8116.15869140625,8774.099609375,8894.0,8722.25,8802.25,243381
2024-04-01,8278.5458984375,8949.650390625,9023.0,8780.0498046875,8799.0,238495
2024-04-02,8164.3525390625,8826.2001953125,8950.0,8750.0,8860.0,205259
2024-04-03,8175.544921875,8838.2998046875,8947.0,8767.5498046875,8826.2001953125,148508
2024-04-04,8134.61279296875,8794.0498046875,8939.9501953125,8702.0,8909.9501953125,150707
2024-04-05,8117.408203125,8775.4501953125,8821.5,8750.099609375,8765.0,104436
2024-04-08,7920.98095703125,8563.099609375,8864.0,8545.25,8850.0,210012
2024-04-09,7761.23193359375,8390.400390625,8757.0,8370.0498046875,8593.0,230661
2024-04-10,7705.96240234375,8330.650390625,8474.7001953125,8287.5498046875,8425.0,175896
2024-04-12,7588.994140625,8204.2001953125,8349.849609375,8190.0,8311.0,280609
2024-04-15,7453.34033203125,8057.5498046875,8216.75,8037.0,8200.0,202507
2024-04-16,7269.12451171875,7858.39990234375,8081.35009765625,7840.7001953125,8013.0,200925
2024-04-18,7146.6064453125,7725.9501953125,7989.85009765625,7702.60009765625,7898.0,324760
2024-04-19,7032.64453125,7602.75,7710.7998046875,7526.25,7661.0,310748
