date_,adj close_sammaancap.ns,close_sammaancap.ns,high_sammaancap.ns,low_sammaancap.ns,open_sammaancap.ns,volume_sammaancap.ns
2024-01-16,187.64056396484375,190.04344177246094,196.9962615966797,188.4835205078125,196.9962615966797,15125323
2024-01-17,181.65579223632812,183.98202514648438,191.55880737304688,183.00149536132812,187.1464385986328,14923789
2024-01-18,179.4554901123047,181.75355529785156,187.19100952148438,176.494384765625,185.18539428710938,16612908
2024-01-19,177.8712921142578,180.14906311035156,186.2550506591797,179.34681701660156,183.80374145507812,11163301
2024-01-23,163.78944396972656,165.8868865966797,183.09063720703125,162.98988342285156,182.68951416015625,21722839
2024-01-24,165.9457244873047,168.07078552246094,170.7449493408203,165.35206604003906,166.60000610351562,12528133
2024-01-25,174.74688720703125,176.98464965820312,178.00973510742188,168.5164794921875,168.7838897705078,29693820
2024-01-29,175.40696716308594,177.65318298339844,184.0711669921875,171.81460571289062,177.8314666748047,31103883
2024-01-30,189.2247772216797,191.64793395996094,195.6591796875,176.58352661132812,178.54457092285156,52968462
2024-01-31,195.8256378173828,198.3333282470703,200.56179809570312,193.5198516845703,194.3220977783203,43350923
2024-02-01,191.4483642578125,193.89999389648438,200.8000030517578,192.64999389648438,196.0,20873462
2024-02-02,187.1533660888672,189.5500030517578,195.6999969482422,184.5,194.75,20044407
2024-02-05,180.5380859375,182.85000610351562,192.85000610351562,180.0,191.8000030517578,12296887
2024-02-06,183.84571838378906,186.1999969482422,188.60000610351562,182.5,184.0,9313039
2024-02-07,183.35203552246094,185.6999969482422,195.0,184.1999969482422,187.10000610351562,26113528
2024-02-08,186.8077850341797,189.1999969482422,190.4499969482422,184.8000030517578,187.60000610351562,19634266
2024-02-09,182.56214904785156,184.89999389648438,193.85000610351562,181.60000610351562,191.0,19665067
2024-02-12,170.8619842529297,173.0500030517578,186.3000030517578,171.5500030517578,186.10000610351562,11774553
2024-02-13,177.7734832763672,180.0500030517578,181.6999969482422,172.64999389648438,175.0,11631099
2024-02-14,187.20274353027344,189.60000610351562,191.10000610351562,177.35000610351562,179.0500030517578,14114145
2024-02-15,190.60911560058594,193.0500030517578,193.6999969482422,187.10000610351562,190.0,12133696
2024-02-16,186.8077850341797,189.1999969482422,194.5500030517578,185.5500030517578,193.5,16582760
2024-02-19,185.5242156982422,187.89999389648438,192.25,187.5,189.1999969482422,7577080
2024-02-20,189.3749237060547,191.8000030517578,194.8000030517578,188.39999389648438,189.0500030517578,10372099
2024-02-21,182.4140625,184.75,192.6999969482422,183.5500030517578,192.5,10389162
2024-02-22,186.3634796142578,188.75,189.5,183.1999969482422,186.14999389648438,7533092
2024-02-23,204.3827362060547,207.0,208.89999389648438,187.0,188.6999969482422,51960119
2024-02-26,198.50796508789062,201.0500030517578,208.39999389648438,199.6999969482422,207.5,23772901
2024-02-27,191.30026245117188,193.75,202.35000610351562,192.5,202.35000610351562,15496919
2024-02-28,184.8824462890625,187.25,198.6999969482422,186.0,193.0,16642646
2024-02-29,186.7584228515625,189.14999389648438,192.14999389648438,177.5500030517578,180.0,23812398
2024-03-01,187.25209045410156,189.64999389648438,194.3000030517578,188.89999389648438,192.0,6786936
2024-03-04,184.98118591308594,187.35000610351562,193.89999389648438,186.6999969482422,193.85000610351562,8876040
2024-03-05,184.83306884765625,187.1999969482422,190.89999389648438,186.14999389648438,187.89999389648438,6220051
2024-03-06,177.72412109375,180.0,188.5,175.89999389648438,187.1999969482422,13924924
2024-03-07,179.9950408935547,182.3000030517578,186.39999389648438,181.10000610351562,181.35000610351562,7012708
2024-03-11,171.9480743408203,174.14999389648438,183.25,172.10000610351562,183.25,10171019
2024-03-12,171.89871215820312,174.10000610351562,178.35000610351562,171.60000610351562,176.14999389648438,10470223
2024-03-13,157.97698974609375,160.0,176.3000030517578,157.9499969482422,175.0,15463740
2024-03-14,167.1100311279297,169.25,171.60000610351562,158.5,160.35000610351562,11727055
2024-03-15,167.55433654785156,169.6999969482422,172.39999389648438,165.10000610351562,169.0,11215285
2024-03-18,165.33279418945312,167.4499969482422,174.3000030517578,167.0,171.0,8460230
2024-03-19,160.98843383789062,163.0500030517578,169.4499969482422,162.5,167.89999389648438,6711212
2024-03-20,160.44537353515625,162.5,167.8000030517578,162.0,164.64999389648438,9488480
2024-03-21,164.49354553222656,166.60000610351562,168.60000610351562,164.60000610351562,164.60000610351562,7766545
2024-03-22,163.40745544433594,165.5,169.3000030517578,164.8000030517578,166.5,7883274
2024-03-26,161.4327392578125,163.5,167.35000610351562,162.39999389648438,165.5,8916714
2024-03-27,160.74159240722656,162.8000030517578,167.0,162.10000610351562,164.5,16221988
2024-03-28,166.1720428466797,168.3000030517578,173.9499969482422,164.8000030517578,164.8000030517578,19603841
2024-04-01,177.52664184570312,179.8000030517578,180.64999389648438,169.9499969482422,169.9499969482422,12401649
2024-04-02,178.2671661376953,180.5500030517578,181.8000030517578,176.9499969482422,179.35000610351562,7426663
2024-04-03,177.87220764160156,180.14999389648438,183.3000030517578,179.3000030517578,179.9499969482422,5978233
2024-04-04,181.82164001464844,184.14999389648438,186.3000030517578,180.5,181.5,12018796
2024-04-05,179.74819946289062,182.0500030517578,184.39999389648438,179.85000610351562,184.39999389648438,6396924
2024-04-08,177.82286071777344,180.10000610351562,183.64999389648438,179.0500030517578,183.1999969482422,5520006
2024-04-09,174.12026977539062,176.35000610351562,180.85000610351562,175.89999389648438,180.60000610351562,5496358
2024-04-10,175.1076202392578,177.35000610351562,179.3000030517578,174.64999389648438,176.8000030517578,4405963
2024-04-12,172.1455535888672,174.35000610351562,179.25,173.5,176.5,6970760
2024-04-15,165.1846923828125,167.3000030517578,171.6999969482422,166.0500030517578,170.9499969482422,7043828
2024-04-16,165.777099609375,167.89999389648438,173.0,166.39999389648438,167.0,7173578
2024-04-18,165.0365753173828,167.14999389648438,172.10000610351562,166.14999389648438,169.3000030517578,5017560
2024-04-19,162.7656707763672,164.85000610351562,166.75,162.64999389648438,164.5,5630487
2024-04-22,169.18348693847656,171.35000610351562,173.8000030517578,167.0,167.0,7739899
2024-04-23,171.7506103515625,173.9499969482422,176.1999969482422,171.14999389648438,172.6999969482422,8113552
2024-04-24,169.77589416503906,171.9499969482422,175.5,171.75,175.0,3967999
2024-04-25,168.29486083984375,170.4499969482422,173.10000610351562,170.10000610351562,172.5,3707496
2024-04-26,168.5417022705078,170.6999969482422,172.9499969482422,170.3000030517578,171.25,3928558
2024-04-29,168.591064453125,170.75,172.14999389648438,169.39999389648438,171.6999969482422,3690502
2024-04-30,168.0480194091797,170.1999969482422,174.10000610351562,169.5,171.25,4348985
2024-05-02,168.73916625976562,170.89999389648438,172.75,169.9499969482422,170.75,2719283
2024-05-03,165.9252166748047,168.0500030517578,173.4499969482422,166.25,171.3000030517578,4508342
2024-05-06,163.65428161621094,165.75,169.64999389648438,163.64999389648438,169.3000030517578,4886522
2024-05-07,159.90232849121094,161.9499969482422,166.25,158.75,166.0500030517578,6195262
2024-05-08,158.81625366210938,160.85000610351562,164.64999389648438,160.0,161.9499969482422,4303955
2024-05-09,150.5718231201172,152.5,162.0500030517578,151.10000610351562,161.39999389648438,6879184
2024-05-10,152.94146728515625,154.89999389648438,156.39999389648438,150.64999389648438,153.6999969482422,5329633
