date_,adj close_torntpower.ns,close_torntpower.ns,high_torntpower.ns,low_torntpower.ns,open_torntpower.ns,volume_torntpower.ns
2024-01-16,981.8147583007812,1008.7000122070312,1037.5,994.7000122070312,1013.9000244140625,335717
2024-01-17,975.1959838867188,1001.9000244140625,1034.949951171875,992.7000122070312,1007.0,312608
2024-01-18,970.52392578125,997.0999755859375,1011.75,975.25,1001.9500122070312,175007
2024-01-19,962.5911865234375,988.9500122070312,1010.9000244140625,977.5499877929688,1003.7999877929688,274883
2024-01-23,957.8704223632812,984.0999755859375,1004.9500122070312,975.5499877929688,986.5,359714
2024-01-24,973.395263671875,1000.0499877929688,1010.9000244140625,971.0,980.0,428519
2024-01-25,974.1253662109375,1000.7999877929688,1006.9500122070312,991.4000244140625,1000.0499877929688,194979
2024-01-29,977.093994140625,1003.8499755859375,1033.699951171875,999.0,1000.7999877929688,530860
2024-01-30,981.0847778320312,1007.9500122070312,1033.800048828125,1000.0,1004.0,394555
2024-01-31,1012.2804565429688,1040.0,1069.4000244140625,1011.4000244140625,1017.6500244140625,2126883
2024-02-01,1023.6686401367188,1051.699951171875,1085.0,1045.050048828125,1048.9000244140625,993246
2024-02-02,1035.9329833984375,1064.300048828125,1098.25,1056.9000244140625,1065.0,512473
2024-02-05,1091.1702880859375,1121.050048828125,1129.3499755859375,1069.050048828125,1070.550048828125,914432
2024-02-06,1133.8028564453125,1164.8499755859375,1170.0,1122.050048828125,1125.0,831483
2024-02-07,1119.640625,1150.300048828125,1209.4000244140625,1116.5,1175.0,894803
2024-02-08,1172.201416015625,1204.300048828125,1214.5,1142.300048828125,1157.5,469436
2024-02-09,1142.1737060546875,1173.449951171875,1191.699951171875,1115.25,1140.0,1223641
2024-02-12,1100.3682861328125,1130.5,1194.6500244140625,1117.6500244140625,1172.699951171875,364493
2024-02-13,1089.5155029296875,1119.3499755859375,1147.75,1108.949951171875,1132.949951171875,454176
