date_,adj close_chalet.ns,close_chalet.ns,high_chalet.ns,low_chalet.ns,open_chalet.ns,volume_chalet.ns
2024-01-16,718.3541870117188,719.1500244140625,743.7000122070312,716.75,743.7000122070312,173877
2024-01-17,723.5484008789062,724.3499755859375,730.5499877929688,710.0,719.1500244140625,129102
2024-01-18,718.6538696289062,719.4500122070312,740.0,715.2000122070312,726.0,302603
2024-01-19,716.4063720703125,717.2000122070312,738.4500122070312,713.7999877929688,728.0,204728
2024-01-23,751.2177734375,752.0499877929688,775.0,728.0499877929688,734.0,698762
2024-01-24,746.4730224609375,747.2999877929688,763.0,722.6500244140625,757.0,247442
2024-01-25,761.056884765625,761.9000244140625,794.8499755859375,755.0499877929688,765.0,801418
2024-01-29,756.362060546875,757.2000122070312,768.1500244140625,750.0999755859375,765.0,241577
2024-01-30,752.9158935546875,753.75,763.0,725.0499877929688,759.9000244140625,346812
2024-01-31,776.2400512695312,777.0999755859375,785.0,749.2000122070312,749.25,356266
2024-02-01,760.3077392578125,761.1500244140625,789.2000122070312,754.2999877929688,780.9000244140625,103464
2024-02-02,785.7294921875,786.5999755859375,793.2999877929688,762.1500244140625,764.7000122070312,471759
2024-02-05,781.9337158203125,782.7999877929688,801.9000244140625,778.0,794.6500244140625,218420
2024-02-06,806.10693359375,807.0,818.0,782.8499755859375,782.8499755859375,370532
2024-02-07,805.8073120117188,806.7000122070312,816.5999755859375,794.5999755859375,812.0,182547
2024-02-08,800.0137329101562,800.9000244140625,830.3499755859375,796.0,809.5,254962
2024-02-09,818.2435302734375,819.1500244140625,839.0,803.3499755859375,805.0,594983
2024-02-12,816.4454956054688,817.3499755859375,836.8499755859375,798.0,819.0,166316
2024-02-13,830.2802124023438,831.2000122070312,849.0,804.9000244140625,806.0,407629
2024-02-14,832.22802734375,833.1500244140625,839.0,807.4000244140625,823.0,136223
2024-02-15,838.5210571289062,839.4500122070312,873.7000122070312,832.25,835.7000122070312,467917
2024-02-16,857.4000854492188,858.3499755859375,865.0,841.25,845.0,231168
2024-02-19,838.071533203125,839.0,877.0,834.0,864.9000244140625,239912
2024-02-20,837.1725463867188,838.0999755859375,891.75,830.0,841.3499755859375,923159
2024-02-21,828.7818603515625,829.7000122070312,860.7000122070312,825.0,846.0,262127
2024-02-22,846.86181640625,847.7999877929688,860.0,815.0999755859375,838.7999877929688,178255
2024-02-23,861.84521484375,862.7999877929688,868.7999877929688,835.0,850.25,184680
2024-02-26,848.9094848632812,849.8499755859375,875.0499877929688,846.0499877929688,867.3499755859375,290780
2024-02-27,839.2202758789062,840.1500244140625,865.0,838.2999877929688,854.0,241613
2024-02-28,818.8428344726562,819.75,849.7000122070312,811.3499755859375,849.7000122070312,238183
2024-02-29,809.6030883789062,810.5,827.6500244140625,792.9500122070312,819.0499877929688,408948
2024-03-01,796.767333984375,797.6500244140625,822.4000244140625,790.0,818.3499755859375,288145
2024-03-04,811.7007446289062,812.5999755859375,834.9500122070312,803.25,826.5999755859375,154407
2024-03-05,794.419921875,795.2999877929688,820.1500244140625,786.0,818.3499755859375,182679
2024-03-06,764.4031372070312,765.25,802.25,763.0,799.5999755859375,241310
2024-03-07,752.6661376953125,753.5,789.75,750.5999755859375,765.0,225295
2024-03-11,742.577392578125,743.4000244140625,760.5499877929688,719.5999755859375,756.7999877929688,451243
2024-03-12,741.1289672851562,741.9500122070312,766.5499877929688,720.0,750.8499755859375,447739
2024-03-13,724.3475341796875,725.1500244140625,755.0,705.4500122070312,734.2999877929688,486848
2024-03-14,715.5572509765625,716.3499755859375,725.1500244140625,681.0499877929688,681.0499877929688,388067
2024-03-15,734.4363403320312,735.25,759.0,702.75,719.9500122070312,2257194
2024-03-18,737.1832885742188,738.0,746.75,725.0499877929688,737.3499755859375,125077
2024-03-19,742.67724609375,743.5,749.9000244140625,730.0,742.0,77176
2024-03-20,793.5209350585938,794.4000244140625,798.4000244140625,742.3499755859375,743.5,1449745
2024-03-21,822.5387573242188,823.4500122070312,832.2000122070312,790.0999755859375,790.0999755859375,1115264
2024-03-22,818.1935424804688,819.0999755859375,831.6500244140625,809.4000244140625,815.0499877929688,612128
2024-03-26,867.8385620117188,868.7999877929688,895.4000244140625,811.1500244140625,818.0,1150022
2024-03-27,870.7852783203125,871.75,910.4500122070312,806.9000244140625,868.7999877929688,993361
2024-03-28,882.322509765625,883.2999877929688,958.0,875.0499877929688,875.0499877929688,3035993
2024-04-01,900.4025268554688,901.4000244140625,917.1500244140625,882.0499877929688,900.75,449616
2024-04-02,876.7786865234375,877.75,899.7000122070312,875.5499877929688,895.6500244140625,180312
2024-04-03,870.5855102539062,871.5499877929688,885.9500122070312,862.8499755859375,878.5,304616
2024-04-04,847.4111938476562,848.3499755859375,879.5,845.0,875.7000122070312,390109
2024-04-05,849.9583740234375,850.9000244140625,861.0,843.0,849.9000244140625,241701
2024-04-08,854.353515625,855.2999877929688,863.9000244140625,845.3499755859375,855.5,94293
2024-04-09,849.6087646484375,850.5499877929688,859.0,846.0,855.2999877929688,71928
2024-04-10,858.69873046875,859.6500244140625,862.5999755859375,842.5499877929688,856.5,94420
2024-04-12,874.7808837890625,875.75,884.5,856.6500244140625,866.0,213672
2024-04-15,857.849609375,858.7999877929688,865.2000122070312,831.4000244140625,856.0,223028
