date_,adj close_aptus.ns,close_aptus.ns,high_aptus.ns,low_aptus.ns,open_aptus.ns,volume_aptus.ns
2024-01-16,336.4845275878906,348.1499938964844,349.8999938964844,340.1499938964844,347.1000061035156,318880
2024-01-17,330.3472900390625,341.79998779296875,350.54998779296875,340.1000061035156,342.6000061035156,412502
2024-01-18,350.8369445800781,363.0,365.0,345.54998779296875,349.95001220703125,3306391
2024-01-19,356.63592529296875,369.0,372.45001220703125,362.20001220703125,365.0,1003690
2024-01-23,349.8221435546875,361.95001220703125,367.95001220703125,355.75,356.5,693952
2024-01-24,354.6546325683594,366.95001220703125,368.0,351.25,361.75,487166
2024-01-25,357.0224914550781,369.3999938964844,371.0,363.04998779296875,367.0,306123
2024-01-29,357.940673828125,370.3500061035156,373.79998779296875,364.6000061035156,373.0,284412
2024-01-30,345.9562072753906,357.95001220703125,371.04998779296875,355.5,370.8500061035156,510655
2024-01-31,362.0965576171875,374.6499938964844,376.0,356.3999938964844,359.8999938964844,863528
2024-02-01,362.8214416503906,375.3999938964844,380.1499938964844,369.6499938964844,380.0,670470
2024-02-02,357.6507263183594,370.04998779296875,384.45001220703125,361.75,380.0,1079564
2024-02-05,359.24542236328125,371.70001220703125,375.3500061035156,362.0,372.5,417210
2024-02-06,362.5315246582031,375.1000061035156,376.29998779296875,371.75,373.0,237306
2024-02-07,358.8588562011719,371.29998779296875,392.0,367.8500061035156,392.0,3631271
2024-02-08,357.4090881347656,369.79998779296875,375.29998779296875,364.1000061035156,372.6499938964844,2549526
2024-02-09,347.25433349609375,357.3500061035156,365.95001220703125,353.20001220703125,365.95001220703125,347397
2024-02-12,340.50067138671875,350.3999938964844,363.25,345.20001220703125,357.04998779296875,300394
2024-02-13,340.35491943359375,350.25,355.1499938964844,344.8999938964844,346.04998779296875,250366
2024-02-14,347.788818359375,357.8999938964844,359.8999938964844,341.79998779296875,347.95001220703125,341215
2024-02-15,349.00347900390625,359.1499938964844,367.70001220703125,354.8999938964844,360.20001220703125,6586998
2024-02-16,345.06787109375,355.1000061035156,365.6499938964844,352.04998779296875,361.5,310622
2024-02-19,335.8848571777344,345.6499938964844,355.3500061035156,344.1499938964844,355.29998779296875,265316
2024-02-20,338.65435791015625,348.5,353.1000061035156,339.20001220703125,346.75,440503
2024-02-21,340.4034729003906,350.29998779296875,354.0,347.45001220703125,349.8999938964844,942318
2024-02-22,337.8769836425781,347.70001220703125,360.3500061035156,346.1000061035156,352.8999938964844,160454
2024-02-23,335.25323486328125,345.0,351.8500061035156,340.70001220703125,348.04998779296875,229378
2024-02-26,330.1029357910156,339.70001220703125,349.25,336.79998779296875,342.70001220703125,372972
2024-02-27,326.7018737792969,336.20001220703125,340.54998779296875,334.20001220703125,339.70001220703125,209752
2024-02-28,320.288330078125,329.6000061035156,339.0,327.8999938964844,336.8500061035156,163726
2024-02-29,342.2012634277344,352.1499938964844,359.79998779296875,325.79998779296875,330.0,597188
2024-03-01,324.7097473144531,334.1499938964844,351.79998779296875,332.5,350.0,530088
2024-03-04,331.8521423339844,341.5,346.0,334.20001220703125,341.3500061035156,202457
2024-03-05,337.3424987792969,347.1499938964844,350.0,340.6499938964844,341.70001220703125,394767
2024-03-06,323.835205078125,333.25,346.95001220703125,330.04998779296875,345.5,414165
2024-03-07,334.81591796875,344.54998779296875,345.95001220703125,334.04998779296875,334.04998779296875,1747244
2024-03-11,330.8318176269531,340.45001220703125,352.0,337.6000061035156,343.8999938964844,914267
2024-03-12,323.78662109375,333.20001220703125,342.5,332.1499938964844,338.70001220703125,366076
2024-03-13,301.7765197753906,310.54998779296875,336.54998779296875,306.04998779296875,333.20001220703125,375549
2024-03-14,309.0160217285156,318.0,324.04998779296875,304.0,307.04998779296875,212097
2024-03-15,305.0318603515625,313.8999938964844,319.6499938964844,308.0,315.70001220703125,196585
2024-03-18,308.87030029296875,317.8500061035156,319.29998779296875,311.29998779296875,313.8999938964844,87062
2024-03-19,302.21380615234375,311.0,315.3500061035156,308.5,315.0,103532
2024-03-20,300.173095703125,308.8999938964844,311.3500061035156,304.0,311.0,211940
2024-03-21,304.7403564453125,313.6000061035156,317.0,310.0,310.8999938964844,722922
2024-03-22,307.8985290527344,316.8500061035156,318.6499938964844,312.0,313.0,221353
2024-03-26,302.2623596191406,311.04998779296875,325.1000061035156,307.20001220703125,315.0,391861
2024-03-27,300.2702941894531,309.0,313.45001220703125,307.5,310.1000061035156,193227
2024-03-28,300.41607666015625,309.1499938964844,311.5,307.1000061035156,308.8999938964844,165275
2024-04-01,321.7945251464844,331.1499938964844,334.6000061035156,311.95001220703125,314.8999938964844,264269
2024-04-02,325.6815185546875,335.1499938964844,340.0,331.5,331.5,168357
2024-04-03,328.3537902832031,337.8999938964844,342.0,332.54998779296875,333.8500061035156,128291
2024-04-04,319.1221923828125,328.3999938964844,343.25,326.95001220703125,339.25,355208
2024-04-05,319.0736389160156,328.3500061035156,332.45001220703125,324.54998779296875,328.95001220703125,219858
2024-04-08,314.7979431152344,323.95001220703125,335.29998779296875,322.29998779296875,329.29998779296875,229106
2024-04-09,313.9719543457031,323.1000061035156,326.79998779296875,319.8999938964844,325.95001220703125,306086
2024-04-10,317.3730773925781,326.6000061035156,331.25,321.29998779296875,324.6499938964844,1429673
2024-04-12,316.35272216796875,325.54998779296875,329.8999938964844,323.1000061035156,326.6000061035156,174865
2024-04-15,309.16180419921875,318.1499938964844,321.75,312.04998779296875,315.0,360446
2024-04-16,305.2262268066406,314.1000061035156,319.6000061035156,312.3500061035156,319.29998779296875,948573
2024-04-18,307.1211242675781,316.04998779296875,320.8999938964844,313.0,318.04998779296875,2991204
2024-04-19,306.781005859375,315.70001220703125,319.1000061035156,311.95001220703125,315.04998779296875,100340
2024-04-22,311.0080871582031,320.04998779296875,322.6499938964844,315.1499938964844,318.0,313117
2024-04-23,322.1346130371094,331.5,333.0,320.6000061035156,322.0,259946
2024-04-24,337.2939453125,347.1000061035156,351.8999938964844,331.0,331.0,1300145
2024-04-25,336.6136779785156,346.3999938964844,354.0,343.0,354.0,580442
2024-04-26,327.187744140625,336.70001220703125,347.25,335.54998779296875,347.04998779296875,254431
2024-04-29,323.738037109375,333.1499938964844,340.0,331.0,338.20001220703125,320793
2024-04-30,317.8103332519531,327.04998779296875,334.8999938964844,325.04998779296875,334.8999938964844,279429
2024-05-02,320.7255859375,330.04998779296875,332.0,322.79998779296875,328.6000061035156,214209
2024-05-03,319.4137268066406,328.70001220703125,336.8999938964844,323.6000061035156,333.45001220703125,440398
2024-05-06,313.92333984375,323.04998779296875,333.8999938964844,320.20001220703125,330.5,364903
2024-05-07,313.92333984375,323.04998779296875,332.70001220703125,320.0,323.04998779296875,344573
2024-05-08,314.40924072265625,323.54998779296875,327.75,320.1000061035156,323.5,173731
2024-05-09,305.1290283203125,314.0,324.0,312.20001220703125,324.0,218936
2024-05-10,312.4657287597656,321.54998779296875,323.5,312.29998779296875,314.70001220703125,222474
2024-05-13,309.11322021484375,318.1000061035156,323.6499938964844,313.04998779296875,323.20001220703125,223797
2024-05-14,310.1335144042969,319.1499938964844,324.5,315.6000061035156,318.8500061035156,129448
2024-05-15,310.03558349609375,316.54998779296875,318.25,314.70001220703125,318.25,100279
2024-05-16,306.36273193359375,312.79998779296875,318.0,311.04998779296875,318.0,165345
2024-05-17,305.8240661621094,312.25,315.3500061035156,309.0,314.8500061035156,316805
2024-05-21,291.5245361328125,297.6499938964844,310.0,293.8500061035156,310.0,43308453
