date_,adj close_honaut.ns,close_honaut.ns,high_honaut.ns,low_honaut.ns,open_honaut.ns,volume_honaut.ns
2024-01-16,37068.11328125,37240.1015625,37708.0,37063.0,37199.0,8648
2024-01-17,37089.26171875,37261.3515625,37290.0,36835.75,37045.0,4492
2024-01-18,37234.5390625,37407.30078125,37534.5,36600.0,37105.0,11779
2024-01-19,37343.28125,37516.55078125,37600.0,37201.0,37500.0,14359
2024-01-23,37672.50390625,37847.30078125,37987.0,37510.0,37510.0,14501
2024-01-24,38478.9609375,38657.5,38787.6015625,37580.1484375,37850.0,10361
2024-01-25,38518.62890625,38697.3515625,39008.55078125,38600.0,38650.0,11726
2024-01-29,38394.10546875,38572.25,38964.05078125,38275.44921875,38900.0,2706
2024-01-30,38547.7890625,38726.6484375,38800.0,38300.19921875,38600.0,10810
2024-01-31,38508.82421875,38687.5,38921.0,38499.05078125,38800.0,2831
2024-02-01,38525.84765625,38704.6015625,38800.0,38265.0,38800.0,8349
2024-02-02,38627.7734375,38807.0,39159.69921875,38561.55078125,38754.0,4199
2024-02-05,38171.88671875,38349.0,39100.0,38000.0,38877.0,2418
2024-02-06,38240.01953125,38417.44921875,38715.0,38200.0,38443.94921875,2599
2024-02-07,38206.625,38383.8984375,38646.30078125,38080.0,38495.0,4946
2024-02-08,38465.921875,38644.3984375,38849.80078125,37825.1015625,38552.0,8796
2024-02-09,38357.4765625,38535.44921875,40165.8984375,38305.0,39100.0,18832
2024-02-12,37648.01953125,37822.69921875,38867.8984375,37600.0,38535.44921875,2911
2024-02-13,37475.37109375,37649.25,38177.44921875,37500.19921875,37978.69921875,4469
2024-02-14,37825.046875,38000.55078125,38100.0,37332.6484375,37725.0,3252
2024-02-15,38087.828125,38264.55078125,38500.0,37545.3984375,38111.0,2139
2024-02-16,38196.91796875,38374.1484375,38749.8984375,38111.05078125,38331.0,1445
2024-02-19,37789.36328125,37964.69921875,38568.5,37780.6015625,38374.19921875,5655
2024-02-20,36943.140625,37114.55078125,38319.0,36866.1015625,38319.0,7950
2024-02-21,37339.6484375,37512.8984375,37790.0,37021.1484375,37300.0,7623
2024-02-22,37338.8515625,37512.1015625,37797.94921875,37107.0,37797.94921875,2890
2024-02-23,38011.58203125,38187.94921875,38300.05078125,37387.6484375,37558.0,3164
2024-02-26,37942.3984375,38118.44921875,38358.0,38000.6015625,38249.0,3990
2024-02-27,38189.90234375,38367.1015625,38500.0,37800.0,38118.44921875,2767
2024-02-28,37786.625,37961.94921875,38642.3984375,37802.0,38367.1015625,2859
2024-02-29,37755.46875,37930.6484375,38099.94921875,37499.1484375,37830.0,3843
2024-03-01,38003.46875,38179.80078125,38230.30078125,37801.44921875,37950.0,7003
2024-03-04,38276.453125,38454.05078125,38900.1015625,37711.05078125,38195.94921875,7064
2024-03-05,37824.8984375,38000.3984375,38506.3984375,37819.25,38454.05078125,8398
2024-03-06,37455.21484375,37629.0,37994.05078125,37080.19921875,37921.30078125,2533
2024-03-07,37760.49609375,37935.69921875,38001.0,37400.0,37629.0,2240
2024-03-11,37117.6796875,37289.8984375,37985.69921875,37200.19921875,37570.75,6567
2024-03-12,36915.01953125,37086.30078125,37587.6484375,37000.0,37319.0,6098
2024-03-13,36274.29296875,36442.6015625,37399.6484375,36271.0,37106.0,2945
2024-03-14,36620.3359375,36790.25,36879.8984375,36321.44921875,36442.6015625,1877
2024-03-15,38064.38671875,38241.0,39050.0,36330.25,36700.0,10358
2024-03-18,38009.33984375,38185.69921875,38400.05078125,37140.19921875,38241.0,3792
2024-03-19,37865.5078125,38041.19921875,38299.8984375,37660.3984375,38185.69921875,3565
2024-03-20,37321.93359375,37495.1015625,38087.8515625,37269.0,37833.8984375,2707
2024-03-21,36880.52734375,37051.6484375,37807.0,36801.1484375,37800.0,2842
2024-03-22,37224.0859375,37396.80078125,37449.94921875,36617.75,37025.0,2599
2024-03-26,37369.95703125,37543.3515625,38267.05078125,37101.25,37490.94921875,11526
2024-03-27,37665.734375,37840.5,38109.55078125,37301.0,37301.0,5168
2024-03-28,38508.57421875,38687.25,38948.94921875,37674.05078125,37844.8515625,3448
2024-04-01,38371.76171875,38549.80078125,38999.94921875,38300.05078125,38999.94921875,7599
2024-04-02,39541.63671875,39725.1015625,39849.75,38549.80078125,38950.0,5393
2024-04-03,40372.125,40559.44921875,40700.1015625,39512.8984375,39725.1015625,4663
2024-04-04,40697.3671875,40886.19921875,41377.19921875,40032.6015625,40559.44921875,7234
2024-04-05,41974.296875,42169.05078125,42449.0,40500.0,40500.0,20003
2024-04-08,42659.21484375,42857.1484375,42940.0,41815.0,41815.0,8735
2024-04-09,42846.0,43044.80078125,43198.94921875,42480.05078125,42755.05078125,5015
2024-04-10,43651.265625,43853.80078125,44288.0,42470.0,43036.0,20907
2024-04-12,44087.6875,44292.25,44549.8515625,43043.0,43043.0,8802
2024-04-15,44156.22265625,44361.1015625,44942.0,42950.0,43000.0,13627
2024-04-16,44521.72265625,44728.30078125,45445.0,43900.0,44001.0,13062
2024-04-18,43582.58203125,43784.80078125,44678.8515625,43450.05078125,44401.0,4936
2024-04-19,43886.72265625,44090.3515625,44499.94921875,43075.1015625,43784.80078125,4963
2024-04-22,44552.484375,44759.19921875,45199.94921875,44251.55078125,44404.0,3849
2024-04-23,44631.6171875,44838.69921875,45142.44921875,44550.0,44898.69921875,3185
