date_,adj close_kirlosbros.ns,close_kirlosbros.ns,high_kirlosbros.ns,low_kirlosbros.ns,open_kirlosbros.ns,volume_kirlosbros.ns
2024-01-16,891.5866088867188,897.0999755859375,931.7999877929688,890.0,931.7999877929688,59038
2024-01-17,873.349365234375,878.75,910.0,875.0,897.0999755859375,35004
2024-01-18,866.8893432617188,872.25,890.0,843.4500122070312,880.0,67808
2024-01-19,878.8156127929688,884.25,887.0,871.0,880.0999755859375,221969
2024-01-23,856.3047485351562,861.5999755859375,907.25,855.0499877929688,897.0999755859375,31677
2024-01-24,842.0430297851562,847.25,878.0999755859375,837.0,873.0499877929688,94496
2024-01-25,885.9713134765625,891.4500122070312,897.0,851.0,851.0,272877
2024-01-29,892.33203125,897.8499755859375,909.9000244140625,891.0,900.75,32076
2024-01-30,894.7669067382812,900.2999877929688,911.0999755859375,895.0,897.8499755859375,19015
2024-01-31,907.5380249023438,913.1500244140625,921.0,894.6500244140625,900.2999877929688,46101
2024-02-01,912.2091064453125,917.8499755859375,926.5499877929688,900.5999755859375,925.0,23740
2024-02-02,909.774169921875,915.4000244140625,928.9500122070312,903.0,918.2999877929688,23039
2024-02-05,896.9534301757812,902.5,929.0499877929688,901.0,902.0,25378
2024-02-06,924.6322631835938,930.3499755859375,938.0,903.0,907.4500122070312,37786
2024-02-07,961.45458984375,967.4000244140625,972.0,920.0,930.3499755859375,122294
2024-02-08,1007.8675537109375,1014.0999755859375,1025.0,968.0,977.7000122070312,120323
2024-02-09,998.078125,1004.25,1034.0,965.0,1034.0,43310
2024-02-12,924.483154296875,930.2000122070312,1026.199951171875,892.7000122070312,1025.949951171875,64677
2024-02-13,952.8080444335938,958.7000122070312,967.8499755859375,890.0,915.0,73142
2024-02-14,908.7803344726562,914.4000244140625,958.7000122070312,892.2000122070312,948.9000244140625,144701
2024-02-15,895.6614379882812,901.2000122070312,920.9000244140625,895.9000244140625,914.4000244140625,64768
2024-02-16,897.1024780273438,902.6500244140625,925.9500122070312,899.0,905.0,47427
2024-02-19,930.1978759765625,935.9500122070312,944.9000244140625,898.9500122070312,906.1500244140625,122330
2024-02-20,918.3212890625,924.0,938.4500122070312,918.0,936.0,49567
2024-02-21,919.166015625,924.8499755859375,937.0,921.5999755859375,928.0999755859375,32403
