date_,adj close_eclerx.ns,close_eclerx.ns,high_eclerx.ns,low_eclerx.ns,open_eclerx.ns,volume_eclerx.ns
2024-01-16,2747.916015625,2749.550048828125,2818.949951171875,2720.800048828125,2810.0,60396
2024-01-17,2701.943359375,2703.550048828125,2750.0,2690.75,2749.550048828125,57753
2024-01-18,2645.47705078125,2647.050048828125,2733.949951171875,2561.60009765625,2717.10009765625,85230
2024-01-19,2666.814208984375,2668.39990234375,2690.0,2631.85009765625,2657.0,35502
2024-01-23,2612.19677734375,2613.75,2687.0,2582.14990234375,2687.0,37779
2024-01-24,2654.07177734375,2655.64990234375,2665.0,2590.25,2593.0,29228
2024-01-25,2608.299072265625,2609.85009765625,2675.64990234375,2594.35009765625,2660.699951171875,30051
2024-01-29,2695.797119140625,2697.39990234375,2709.949951171875,2610.0,2610.300048828125,48049
2024-01-30,2665.265380859375,2666.85009765625,2750.949951171875,2644.449951171875,2748.89990234375,59805
2024-01-31,2725.529296875,2727.14990234375,2748.0,2669.89990234375,2671.89990234375,45424
2024-02-01,2760.6083984375,2762.25,2790.0,2682.050048828125,2740.0,31609
2024-02-02,2685.453125,2687.050048828125,2805.0,2676.0,2780.14990234375,231961
2024-02-05,2622.990478515625,2624.550048828125,2682.0,2571.949951171875,2682.0,85615
2024-02-06,2666.364501953125,2667.949951171875,2682.949951171875,2632.0,2635.10009765625,33466
2024-02-07,2634.283935546875,2635.85009765625,2701.449951171875,2630.0,2696.0,24747
2024-02-08,2534.443115234375,2535.949951171875,2645.75,2526.64990234375,2635.89990234375,109830
2024-02-09,2474.92822265625,2476.39990234375,2567.60009765625,2450.0,2548.64990234375,164959
2024-02-12,2398.07421875,2399.5,2545.0,2381.0,2477.0,51173
2024-02-13,2393.776611328125,2395.199951171875,2406.25,2364.14990234375,2383.0,52591
2024-02-14,2362.4453125,2363.85009765625,2398.85009765625,2352.0,2363.300048828125,50353
2024-02-15,2316.672607421875,2318.050048828125,2384.199951171875,2305.050048828125,2376.0,77476
2024-02-16,2318.771240234375,2320.14990234375,2374.949951171875,2311.89990234375,2350.0,330867
2024-02-19,2310.926025390625,2312.300048828125,2412.050048828125,2278.050048828125,2278.050048828125,356587
2024-02-20,2402.72119140625,2404.14990234375,2424.89990234375,2301.14990234375,2329.300048828125,141004
2024-02-21,2447.5947265625,2449.050048828125,2523.699951171875,2379.10009765625,2391.050048828125,115047
2024-02-22,2480.5751953125,2482.050048828125,2490.0,2409.050048828125,2456.35009765625,55890
2024-02-23,2494.06689453125,2495.550048828125,2520.0,2460.0,2480.050048828125,43690
2024-02-26,2440.748779296875,2442.199951171875,2500.0,2426.0,2499.550048828125,34078
2024-02-27,2485.372314453125,2486.85009765625,2507.949951171875,2430.0,2442.199951171875,31021
2024-02-28,2487.37109375,2488.85009765625,2549.89990234375,2456.300048828125,2517.699951171875,43703
2024-02-29,2520.401123046875,2521.89990234375,2552.0,2450.800048828125,2498.699951171875,108524
2024-03-01,2497.4150390625,2498.89990234375,2569.0,2481.0,2512.5,30956
2024-03-04,2498.314697265625,2499.800048828125,2509.14990234375,2475.050048828125,2491.10009765625,14971
2024-03-05,2496.61572265625,2498.10009765625,2512.5,2473.5,2496.0,53603
2024-03-06,2434.102783203125,2435.550048828125,2499.800048828125,2359.85009765625,2499.800048828125,96594
2024-03-07,2432.703369140625,2434.14990234375,2475.0,2400.0,2435.0,38922
2024-03-11,2398.623779296875,2400.050048828125,2472.60009765625,2381.85009765625,2472.60009765625,48995
2024-03-12,2402.72119140625,2404.14990234375,2418.35009765625,2360.0,2411.949951171875,39423
2024-03-13,2332.9130859375,2334.300048828125,2390.0,2272.199951171875,2364.25,56187
2024-03-14,2447.19482421875,2448.64990234375,2464.25,2334.300048828125,2334.300048828125,36285
2024-03-15,2424.508544921875,2425.949951171875,2495.75,2383.050048828125,2428.60009765625,87423
2024-03-18,2459.83740234375,2461.300048828125,2502.0,2420.0,2432.0,74649
2024-03-19,2332.313232421875,2333.699951171875,2550.0,2292.35009765625,2501.949951171875,217027
2024-03-20,2354.250244140625,2355.64990234375,2395.300048828125,2335.0,2335.0,48561
2024-03-21,2356.5986328125,2358.0,2438.75,2337.5,2360.10009765625,58524
2024-03-22,2409.017578125,2410.449951171875,2428.0,2325.60009765625,2343.60009765625,39600
