date_,adj close_chamblfert.ns,close_chamblfert.ns,high_chamblfert.ns,low_chamblfert.ns,open_chamblfert.ns,volume_chamblfert.ns
2024-01-16,372.85614013671875,386.79998779296875,388.0,384.04998779296875,385.8500061035156,2969642
2024-01-17,371.0729064941406,384.95001220703125,387.0,382.6499938964844,384.29998779296875,3089785
2024-01-18,368.8075866699219,382.6000061035156,385.0,359.6499938964844,380.54998779296875,5071949
2024-01-19,359.8428039550781,373.29998779296875,387.0,369.0,384.0,3114640
2024-01-23,339.3106689453125,352.0,375.70001220703125,349.0,375.5,2329005
2024-01-24,356.03521728515625,369.3500061035156,370.75,352.54998779296875,353.5,2288403
2024-01-25,355.312255859375,368.6000061035156,372.6000061035156,364.8999938964844,369.3500061035156,1533902
2024-01-29,357.3847351074219,370.75,373.95001220703125,366.6000061035156,369.8999938964844,864466
2024-01-30,344.7088317871094,357.6000061035156,373.70001220703125,354.45001220703125,373.70001220703125,2503486
2024-01-31,353.6253662109375,366.8500061035156,367.79998779296875,353.1000061035156,357.0,1913486
2024-02-01,349.8177490234375,362.8999938964844,376.45001220703125,361.70001220703125,368.8500061035156,3318544
2024-02-02,346.5403137207031,359.5,367.79998779296875,358.0,364.79998779296875,1111636
2024-02-05,334.972900390625,347.5,361.54998779296875,346.29998779296875,359.6000061035156,1150588
2024-02-06,345.2389831542969,358.1499938964844,359.79998779296875,339.6499938964844,348.0,5278699
2024-02-07,364.0360412597656,377.6499938964844,384.5,359.20001220703125,360.0,8656320
2024-02-08,349.4803466796875,362.54998779296875,375.0,360.8999938964844,374.0,5583317
2024-02-09,348.9501647949219,362.0,364.1499938964844,350.0,363.04998779296875,2188635
2024-02-12,342.15435791015625,354.95001220703125,364.1499938964844,354.0,362.0,1439280
2024-02-13,345.4317626953125,358.3500061035156,361.0,348.29998779296875,354.95001220703125,1714558
2024-02-14,342.7809143066406,355.6000061035156,357.6499938964844,348.5,351.6000061035156,859702
2024-02-15,350.01055908203125,363.1000061035156,366.75,357.0,357.95001220703125,1221038
2024-02-16,355.3604736328125,368.6499938964844,372.6499938964844,364.70001220703125,366.0,1772527
2024-02-19,352.4686279296875,365.6499938964844,370.95001220703125,364.5,369.0,826366
2024-02-20,355.6014709472656,368.8999938964844,372.5,365.95001220703125,366.79998779296875,952842
2024-02-21,352.8059997558594,366.0,373.6000061035156,363.95001220703125,370.70001220703125,1458692
2024-02-22,357.6739501953125,371.04998779296875,372.0,364.45001220703125,366.0,1278308
2024-02-23,354.34832763671875,367.6000061035156,373.29998779296875,366.3500061035156,372.45001220703125,934971
2024-02-26,344.2750549316406,357.1499938964844,367.54998779296875,356.25,367.54998779296875,1026569
2024-02-27,341.91339111328125,354.70001220703125,360.54998779296875,353.54998779296875,357.1499938964844,764114
2024-02-28,332.41845703125,344.8500061035156,357.1000061035156,342.0,355.0,1010819
2024-02-29,338.3949279785156,351.04998779296875,366.54998779296875,341.29998779296875,345.0,1847192
2024-03-01,341.4796142578125,354.25,355.75,349.6499938964844,354.0,1411214
2024-03-04,341.8169860839844,354.6000061035156,356.8999938964844,352.5,353.0,827688
2024-03-05,344.5160217285156,357.3999938964844,361.5,353.0,354.0,1079793
2024-03-06,345.33538818359375,358.25,359.70001220703125,350.0,353.5,1180929
2024-03-07,359.3127136230469,372.75,378.3999938964844,359.25,359.25,6539905
2024-03-11,359.2644958496094,372.70001220703125,378.0,371.04998779296875,375.8999938964844,2275129
2024-03-12,345.91375732421875,358.8500061035156,374.5,357.6499938964844,374.45001220703125,1460140
2024-03-13,325.57440185546875,337.75,365.29998779296875,335.20001220703125,357.3500061035156,1946792
2024-03-14,334.4909362792969,347.0,349.95001220703125,332.04998779296875,335.1000061035156,1294690
2024-03-15,334.4427185058594,346.95001220703125,350.8999938964844,339.5,346.6499938964844,779617
2024-03-18,331.5509033203125,343.95001220703125,347.75,341.75,347.0,448220
