date_,adj close_niacl.ns,close_niacl.ns,high_niacl.ns,low_niacl.ns,open_niacl.ns,volume_niacl.ns
2024-01-16,219.86160278320312,223.60000610351562,229.0,217.35000610351562,219.1999969482422,3123417
2024-01-17,219.07496643066406,222.8000030517578,235.0,218.0500030517578,221.39999389648438,3883931
2024-01-18,217.50172424316406,221.1999969482422,225.6999969482422,214.0,223.39999389648438,1037623
2024-01-19,238.8389129638672,242.89999389648438,243.3000030517578,222.5,223.0,7328949
2024-01-23,223.2047576904297,227.0,243.8000030517578,224.1999969482422,240.0,2683583
2024-01-24,231.61180114746094,235.5500030517578,239.4499969482422,221.5,224.9499969482422,2912763
2024-01-25,227.53118896484375,231.39999389648438,241.9499969482422,229.8000030517578,236.6999969482422,1050944
2024-01-29,233.62753295898438,237.60000610351562,243.5500030517578,231.0,233.39999389648438,2102914
2024-01-30,242.1820831298828,246.3000030517578,249.39999389648438,235.1999969482422,240.0,2830449
2024-01-31,239.18307495117188,243.25,255.35000610351562,241.10000610351562,248.3000030517578,3027687
2024-02-01,235.8399200439453,239.85000610351562,246.1999969482422,235.5,243.25,1332461
2024-02-02,238.0522918701172,242.10000610351562,248.64999389648438,238.60000610351562,241.14999389648438,1613433
2024-02-05,261.20855712890625,265.6499938964844,266.29998779296875,243.10000610351562,243.9499969482422,7739988
2024-02-06,271.5329895019531,276.1499938964844,289.29998779296875,267.20001220703125,270.0,7621909
2024-02-07,268.2881774902344,272.8500061035156,289.0,270.3500061035156,279.1499938964844,3553419
2024-02-08,299.3106994628906,304.3999938964844,314.45001220703125,277.0,277.0,20964304
2024-02-09,286.0855712890625,290.95001220703125,324.70001220703125,282.3999938964844,311.0,9670302
2024-02-12,242.6245574951172,246.75,290.95001220703125,241.0,290.95001220703125,5656098
2024-02-13,235.98741149902344,240.0,255.6999969482422,232.64999389648438,249.85000610351562,4491914
2024-02-14,246.7543182373047,250.9499969482422,257.8999938964844,236.0,238.9499969482422,5076141
2024-02-15,243.1653594970703,247.3000030517578,256.29998779296875,244.10000610351562,252.9499969482422,2189183
2024-02-16,281.0708312988281,285.8500061035156,295.0,246.85000610351562,249.5,16282604
2024-02-19,291.4936218261719,296.45001220703125,306.70001220703125,278.3500061035156,289.0,7528740
2024-02-20,274.63031005859375,279.29998779296875,296.70001220703125,278.0,294.5,4301281
2024-02-21,275.0236511230469,279.70001220703125,314.8999938964844,275.3999938964844,284.8999938964844,31554772
2024-02-22,277.6784973144531,282.3999938964844,289.0,270.6000061035156,284.75,6037498
2024-02-23,275.07281494140625,279.75,288.6499938964844,277.6000061035156,285.0,1962650
2024-02-26,261.20855712890625,265.6499938964844,283.1000061035156,264.20001220703125,279.29998779296875,2825736
2024-02-27,267.6490478515625,272.20001220703125,285.0,267.8999938964844,268.45001220703125,8048682
2024-02-28,252.75233459472656,257.04998779296875,273.95001220703125,255.4499969482422,273.25,2880395
2024-02-29,253.7847900390625,258.1000061035156,261.79998779296875,251.14999389648438,257.3500061035156,2348511
2024-03-01,264.3058776855469,268.79998779296875,271.70001220703125,260.45001220703125,261.45001220703125,2509449
2024-03-04,271.1888732910156,275.79998779296875,283.95001220703125,263.45001220703125,272.25,4162026
2024-03-05,267.94403076171875,272.5,275.75,266.3500061035156,275.75,1527580
2024-03-06,255.8496856689453,260.20001220703125,273.20001220703125,257.79998779296875,271.8999938964844,1826715
2024-03-07,253.4897918701172,257.79998779296875,263.6000061035156,244.89999389648438,245.0,1701600
2024-03-11,247.09848022460938,251.3000030517578,266.0,249.0,260.3999938964844,1822480
2024-03-12,236.6757049560547,240.6999969482422,253.8000030517578,239.0,253.8000030517578,2000622
2024-03-13,214.06024169921875,217.6999969482422,251.3000030517578,211.0500030517578,243.89999389648438,5116595
2024-03-14,231.02183532714844,234.9499969482422,237.9499969482422,214.0500030517578,218.5,3239609
2024-03-15,229.9893798828125,233.89999389648438,239.8000030517578,224.25,235.39999389648438,5851789
2024-03-18,227.13787841796875,231.0,240.1999969482422,228.1999969482422,232.0,2160748
2024-03-19,220.00909423828125,223.75,231.6999969482422,221.0500030517578,230.0,1299146
2024-03-20,220.3040771484375,224.0500030517578,229.1999969482422,218.0,224.0500030517578,1463676
2024-03-21,225.95794677734375,229.8000030517578,233.75,227.8000030517578,228.0,1341063
2024-03-22,228.46531677246094,232.35000610351562,235.9499969482422,227.5,227.5,1279967
2024-03-26,222.0248260498047,225.8000030517578,238.5,224.10000610351562,233.0500030517578,1776139
2024-03-27,227.13787841796875,231.0,239.60000610351562,225.1999969482422,226.0,3998021
2024-03-28,223.30308532714844,227.10000610351562,238.60000610351562,226.0,233.35000610351562,2462539
