date_,adj close_elgiequip.ns,close_elgiequip.ns,high_elgiequip.ns,low_elgiequip.ns,open_elgiequip.ns,volume_elgiequip.ns
2024-01-16,539.27685546875,543.0499877929688,549.0,534.5999755859375,540.0,244279
2024-01-17,537.9859008789062,541.75,548.0,535.0,543.0,120498
2024-01-18,540.2698974609375,544.0499877929688,548.0,524.0,542.8499755859375,228197
2024-01-19,538.8299560546875,542.5999755859375,551.0999755859375,541.0,546.7999877929688,108945
2024-01-23,550.2500610351562,554.0999755859375,570.0,532.2000122070312,545.2999877929688,1574443
2024-01-24,571.0545043945312,575.0499877929688,578.8499755859375,551.9000244140625,556.0,821274
2024-01-25,576.5162963867188,580.5499877929688,587.5,576.0,578.5,555182
2024-01-29,591.3128051757812,595.4500122070312,602.4500122070312,580.4500122070312,584.0,884777
2024-01-30,603.1798095703125,607.4000244140625,615.5,591.4000244140625,599.5999755859375,681790
2024-01-31,610.6276245117188,614.9000244140625,617.0,607.4000244140625,612.25,278428
2024-02-01,610.2304077148438,614.5,617.4500122070312,608.0499877929688,611.7999877929688,167999
2024-02-02,602.3853149414062,606.5999755859375,619.9000244140625,600.0,616.2999877929688,195755
2024-02-05,589.97216796875,594.0999755859375,606.5999755859375,582.2999877929688,606.5999755859375,196719
2024-02-06,613.656494140625,617.9500122070312,624.9000244140625,595.4500122070312,597.0,307230
2024-02-07,644.6893310546875,649.2000122070312,682.5999755859375,625.5999755859375,630.0,1617521
2024-02-08,675.672607421875,680.4000244140625,703.9500122070312,654.1500244140625,656.0,1194879
2024-02-09,675.0767211914062,679.7999877929688,685.4500122070312,661.1500244140625,678.0499877929688,631645
2024-02-12,674.6795654296875,679.4000244140625,699.0,667.0499877929688,679.7999877929688,249471
2024-02-13,608.9891357421875,613.25,664.0,606.5999755859375,664.0,757104
2024-02-14,663.5076904296875,668.1500244140625,683.5,612.0,613.0,3735572
2024-02-15,643.2493896484375,647.75,667.0,642.1500244140625,660.0,297012
2024-02-16,636.0994262695312,640.5499877929688,661.3499755859375,636.5,649.9000244140625,269733
2024-02-19,627.3605346679688,631.75,645.7000122070312,630.7999877929688,645.6500244140625,80451
2024-02-20,625.8710327148438,630.25,674.0,626.0,632.4000244140625,880822
2024-02-21,642.2067260742188,646.7000122070312,669.7999877929688,631.5999755859375,631.5999755859375,565862
2024-02-22,624.72900390625,629.0999755859375,651.0,622.5,649.5,305098
2024-02-23,628.0557250976562,632.4500122070312,637.0,624.0999755859375,634.1500244140625,95443
2024-02-26,617.5789794921875,621.9000244140625,635.6500244140625,620.2000122070312,634.0,85007
