date_,adj close_pidilitind.ns,close_pidilitind.ns,high_pidilitind.ns,low_pidilitind.ns,open_pidilitind.ns,volume_pidilitind.ns
2024-01-16,1381.255126953125,1397.7750244140625,1402.5,1365.0,1375.550048828125,831476
2024-01-17,1362.5784912109375,1378.875,1394.5,1360.4000244140625,1394.5,1522374
2024-01-18,1333.254150390625,1349.199951171875,1375.125,1337.5,1371.0,936264
2024-01-19,1327.9674072265625,1343.8499755859375,1355.9749755859375,1338.550048828125,1352.75,1255886
2024-01-23,1246.3931884765625,1261.300048828125,1345.4749755859375,1244.050048828125,1337.449951171875,2538552
2024-01-24,1280.707763671875,1296.0250244140625,1330.074951171875,1265.0,1315.0,4282538
2024-01-25,1279.7689208984375,1295.074951171875,1305.0,1284.4749755859375,1304.0,1515256
2024-01-29,1269.4671630859375,1284.6500244140625,1304.625,1277.625,1292.5,2032292
2024-01-30,1268.676513671875,1283.8499755859375,1309.375,1278.0,1284.6500244140625,2334430
2024-01-31,1251.556396484375,1266.5250244140625,1291.574951171875,1260.0,1285.5250244140625,6835472
2024-02-01,1240.3897705078125,1255.2249755859375,1277.0,1253.0250244140625,1270.9749755859375,712004
2024-02-02,1242.8109130859375,1257.675048828125,1270.6500244140625,1251.625,1263.9749755859375,806458
2024-02-05,1262.00634765625,1277.0999755859375,1283.0,1255.574951171875,1257.699951171875,4455338
2024-02-06,1291.7752685546875,1307.2249755859375,1309.5,1277.1500244140625,1280.0,1633404
2024-02-07,1331.9942626953125,1347.925048828125,1362.0,1317.0250244140625,1324.0,2122142
2024-02-08,1295.752685546875,1311.25,1362.0250244140625,1302.0,1342.550048828125,633200
2024-02-09,1313.2681884765625,1328.9749755859375,1333.5,1305.050048828125,1311.5,555122
2024-02-12,1319.3702392578125,1335.1500244140625,1341.9000244140625,1325.0,1332.425048828125,729236
2024-02-13,1319.8643798828125,1335.6500244140625,1343.449951171875,1325.0,1335.0,365160
2024-02-14,1315.8621826171875,1331.5999755859375,1339.7249755859375,1320.425048828125,1330.0,655186
2024-02-15,1311.09423828125,1326.7750244140625,1341.0,1321.0,1331.5999755859375,759422
2024-02-16,1339.5291748046875,1355.550048828125,1357.4749755859375,1326.75,1326.75,1157958
2024-02-19,1339.5537109375,1355.574951171875,1364.0,1350.4000244140625,1355.800048828125,727910
2024-02-20,1356.575439453125,1372.800048828125,1375.0,1346.0,1346.0,716684
2024-02-21,1348.4473876953125,1364.574951171875,1378.5,1355.7750244140625,1378.5,494472
2024-02-22,1343.086669921875,1359.1500244140625,1366.0,1354.0250244140625,1360.0999755859375,520248
2024-02-23,1353.8824462890625,1370.074951171875,1379.5,1354.125,1361.0,447252
2024-02-26,1342.641845703125,1358.699951171875,1372.5,1355.050048828125,1370.75,483022
2024-02-27,1349.8309326171875,1365.9749755859375,1369.574951171875,1350.550048828125,1358.699951171875,413172
2024-02-28,1334.9588623046875,1350.925048828125,1366.050048828125,1342.5,1365.050048828125,1419228
2024-02-29,1351.83203125,1368.0,1372.7249755859375,1330.050048828125,1352.1500244140625,1046062
2024-03-01,1362.4549560546875,1378.75,1384.4749755859375,1370.0,1376.9749755859375,621866
2024-03-04,1335.0576171875,1351.0250244140625,1378.1500244140625,1348.25,1371.0999755859375,409060
2024-03-05,1333.8966064453125,1349.8499755859375,1363.7249755859375,1345.0,1351.050048828125,448600
2024-03-06,1399.0423583984375,1415.7750244140625,1420.0,1348.5,1349.8499755859375,3148778
2024-03-07,1415.98974609375,1432.925048828125,1481.3499755859375,1408.6500244140625,1417.550048828125,3875992
2024-03-11,1436.0250244140625,1453.199951171875,1463.949951171875,1436.675048828125,1437.5,1192784
2024-03-12,1411.073486328125,1427.949951171875,1459.0,1425.0,1456.2750244140625,496166
2024-03-13,1394.916748046875,1411.5999755859375,1448.7249755859375,1399.449951171875,1436.6500244140625,954900
2024-03-14,1413.5933837890625,1430.5,1440.0,1386.625,1410.4749755859375,638902
2024-03-15,1417.052001953125,1434.0,1447.0,1409.5,1435.0,939486
2024-03-18,1445.338623046875,1462.625,1473.449951171875,1430.0,1434.0,1171236
2024-03-19,1428.6136474609375,1445.699951171875,1462.625,1433.550048828125,1462.625,548018
