date_,adj close_cera.ns,close_cera.ns,high_cera.ns,low_cera.ns,open_cera.ns,volume_cera.ns
2024-01-16,7927.265625,8055.7998046875,8099.85009765625,8027.25,8098.0,11281
2024-01-17,7899.8603515625,8027.9501953125,8070.0,7969.5498046875,8060.0,10559
2024-01-18,7807.70458984375,7934.2998046875,8036.9501953125,7796.2001953125,8027.9501953125,10471
2024-01-19,8040.03759765625,8170.39990234375,8190.0,7950.0,8034.0,85589
2024-01-23,8027.44189453125,8157.60009765625,8225.0,8086.5498046875,8155.0,22641
2024-01-24,8065.67236328125,8196.4501953125,8222.0,8061.25,8165.0498046875,19911
2024-01-25,8056.2255859375,8186.85009765625,8264.0498046875,8135.25,8219.400390625,12971
2024-01-29,8051.69873046875,8182.25,8340.349609375,8160.0,8289.849609375,10619
2024-01-30,8092.7822265625,8224.0,8268.900390625,8172.5,8264.849609375,10708
2024-01-31,8122.0087890625,8253.7001953125,8284.9501953125,8180.0,8264.400390625,10382
2024-02-01,8131.06201171875,8262.900390625,8279.2998046875,8163.0498046875,8278.0,18008
2024-02-02,8107.88720703125,8239.349609375,8304.25,8182.0,8279.400390625,7343
2024-02-05,8108.478515625,8239.9501953125,8294.7001953125,8141.0,8239.0,8011
2024-02-06,8089.04345703125,8220.2001953125,8318.5,8000.0,8280.0,9203
2024-02-07,8120.7294921875,8252.400390625,8272.5498046875,8151.10009765625,8184.0498046875,7908
2024-02-08,8108.28076171875,8239.75,8260.0,8030.14990234375,8260.0,8048
2024-02-09,7910.93115234375,8039.2001953125,8269.7998046875,7999.9501953125,8233.0,12274
2024-02-12,7539.15869140625,7661.39990234375,8095.85009765625,7500.0,8025.4501953125,47858
2024-02-13,7415.02197265625,7535.25,7660.9501953125,7471.10009765625,7660.9501953125,11868
2024-02-14,7412.4140625,7532.60009765625,7618.0,7487.75,7535.25,13135
2024-02-15,7229.6279296875,7346.85009765625,7600.0,7330.0,7600.0,39452
2024-02-16,7436.2275390625,7556.7998046875,7620.0,7332.35009765625,7400.0,19481
2024-02-19,7341.56298828125,7460.60009765625,7695.0,7442.14990234375,7681.0,8232
2024-02-20,7459.54931640625,7580.5,7639.0,7436.10009765625,7475.35009765625,26108
2024-02-21,7363.408203125,7482.7998046875,7618.0498046875,7441.10009765625,7550.0,5259
2024-02-22,7315.23974609375,7433.85009765625,7589.9501953125,7370.0,7457.2998046875,17994
2024-02-23,7330.8857421875,7449.75,7579.89990234375,7412.0498046875,7579.89990234375,26196
2024-02-26,7427.17431640625,7547.60009765625,7597.85009765625,7496.0498046875,7500.0,14899
2024-02-27,7498.17333984375,7619.75,7751.0,7534.2001953125,7559.0,41192
2024-02-28,7536.55126953125,7658.75,7701.39990234375,7606.25,7634.9501953125,10625
2024-02-29,7458.56591796875,7579.5,7681.75,7525.85009765625,7650.0,49775
2024-03-01,7475.29443359375,7596.5,7638.85009765625,7542.7001953125,7579.5,10816
2024-03-04,7423.09130859375,7543.4501953125,7565.0,7500.0,7527.0498046875,10424
2024-03-05,7411.67578125,7531.85009765625,7581.14990234375,7492.0498046875,7559.4501953125,25111
2024-03-06,7525.13623046875,7647.14990234375,7667.60009765625,7425.0,7531.85009765625,15201
2024-03-07,7469.53759765625,7590.64990234375,7715.0,7484.89990234375,7654.7001953125,23892
2024-03-11,7350.02587890625,7469.2001953125,7590.64990234375,7412.0,7590.64990234375,16703
2024-03-12,7187.5595703125,7304.10009765625,7490.0,7280.0,7483.9501953125,15277
2024-03-13,6914.19189453125,7026.2998046875,7303.39990234375,6943.5,7300.0,19660
2024-03-14,6825.8251953125,6936.5,7350.0,6849.5498046875,7026.2998046875,24799
2024-03-15,6838.6171875,6949.5,7012.5,6897.75,6930.5,24701
2024-03-18,6705.08251953125,6813.7998046875,6940.0,6795.60009765625,6905.0,25223
2024-03-19,6524.36279296875,6630.14990234375,6870.0,6591.2001953125,6848.39990234375,21298
2024-03-20,6880.98046875,6992.5498046875,7077.7001953125,6643.25,6643.25,47347
2024-03-21,6702.474609375,6811.14990234375,7077.5,6780.0,7050.0,24542
2024-03-22,6731.99609375,6841.14990234375,6950.0,6820.0,6831.60009765625,43633
2024-03-26,6700.359375,6809.0,6989.0,6781.0,6989.0,33663
2024-03-27,6761.1728515625,6870.7998046875,6940.2001953125,6814.5498046875,6870.5,51898
2024-03-28,6674.2822265625,6782.5,6939.7998046875,6760.0,6905.2001953125,10520
2024-04-01,6839.6015625,6950.5,6980.0,6800.0,6816.14990234375,7166
2024-04-02,6786.02001953125,6896.0498046875,6995.0,6884.0498046875,6994.14990234375,19357
2024-04-03,7504.32373046875,7626.0,7825.0,6895.60009765625,6934.9501953125,157232
2024-04-04,7375.80712890625,7495.39990234375,7679.2998046875,7465.0498046875,7626.0,29252
2024-04-05,7210.73388671875,7327.64990234375,7552.2001953125,7311.0,7461.0,29375
2024-04-08,7299.7900390625,7418.14990234375,7577.7001953125,7372.9501953125,7372.9501953125,18513
2024-04-09,7135.99609375,7251.7001953125,7447.9501953125,7213.5498046875,7418.14990234375,11739
2024-04-10,7080.3974609375,7195.2001953125,7288.2001953125,7175.0,7249.75,9029
2024-04-12,7019.87890625,7133.7001953125,7327.75,7121.0,7195.2001953125,18283
2024-04-15,7056.97705078125,7171.39990234375,7371.0498046875,7035.10009765625,7101.0,23682
2024-04-16,7075.7724609375,7190.5,7324.0,7066.0,7100.5,17587
2024-04-18,6977.51513671875,7090.64990234375,7240.4501953125,7050.0,7190.5,15239
2024-04-19,6989.71728515625,7103.0498046875,7150.0,7030.0498046875,7074.75,9497
2024-04-22,7052.548828125,7166.89990234375,7279.9501953125,7110.0498046875,7199.89990234375,10413
2024-04-23,7190.7578125,7307.35009765625,7338.89990234375,7202.7001953125,7202.75,15971
2024-04-24,7146.72216796875,7262.60009765625,7320.0,7215.0,7320.0,6356
2024-04-25,7129.50146484375,7245.10009765625,7298.85009765625,7206.64990234375,7262.60009765625,5443
2024-04-26,7089.25390625,7204.2001953125,7300.0,7180.0,7269.14990234375,4283
2024-04-29,7097.8642578125,7212.9501953125,7292.9501953125,7182.14990234375,7292.9501953125,4579
2024-04-30,7076.166015625,7190.89990234375,7275.0,7158.10009765625,7275.0,5073
2024-05-02,6934.16845703125,7046.60009765625,7225.89990234375,7000.0498046875,7210.0,16149
2024-05-03,6743.01806640625,6852.35009765625,7092.39990234375,6800.0,7046.60009765625,29935
