date_,adj close_redington.ns,close_redington.ns,high_redington.ns,low_redington.ns,open_redington.ns,volume_redington.ns
2024-01-16,170.12843322753906,178.9499969482422,180.9499969482422,176.39999389648438,180.9499969482422,657269
2024-01-17,167.75167846679688,176.4499969482422,178.9499969482422,175.0,176.6999969482422,920494
2024-01-18,168.22702026367188,176.9499969482422,178.1999969482422,173.8000030517578,175.8000030517578,741716
2024-01-19,169.55801391601562,178.35000610351562,180.1999969482422,177.1999969482422,177.75,628018
2024-01-23,166.32562255859375,174.9499969482422,182.75,173.64999389648438,181.0,1204879
2024-01-24,166.99110412597656,175.64999389648438,179.25,173.0,174.8000030517578,841383
2024-01-25,164.4717559814453,173.0,177.5500030517578,172.0,175.64999389648438,1564228
2024-01-29,167.98934936523438,176.6999969482422,177.6999969482422,173.10000610351562,173.5500030517578,2585648
2024-01-30,168.70237731933594,177.4499969482422,182.5,176.0,177.10000610351562,1491957
2024-01-31,170.98406982421875,179.85000610351562,181.89999389648438,177.0500030517578,177.4499969482422,1195757
2024-02-01,171.3168182373047,180.1999969482422,181.6999969482422,178.9499969482422,180.5,1038654
2024-02-02,179.2552032470703,188.5500030517578,190.0,180.0,180.8000030517578,5878189
2024-02-05,193.80096435546875,203.85000610351562,208.5,190.5500030517578,191.39999389648438,9540244
2024-02-06,197.84146118164062,208.10000610351562,212.35000610351562,200.60000610351562,205.0,6383228
2024-02-07,184.05625915527344,193.60000610351562,208.0,190.39999389648438,208.0,6064992
2024-02-08,182.58267211914062,192.0500030517578,197.9499969482422,191.14999389648438,195.5,1559871
2024-02-09,180.91893005371094,190.3000030517578,193.60000610351562,184.75,192.89999389648438,1873155
2024-02-12,173.6460418701172,182.64999389648438,195.9499969482422,180.10000610351562,192.4499969482422,1756278
2024-02-13,189.2375946044922,199.0500030517578,202.75,180.10000610351562,184.35000610351562,12851472
2024-02-14,189.61785888671875,199.4499969482422,203.8000030517578,193.5,196.85000610351562,3327190
2024-02-15,190.6636505126953,200.5500030517578,204.85000610351562,198.8000030517578,199.0500030517578,1977518
2024-02-16,187.62139892578125,197.35000610351562,204.9499969482422,195.5,202.0500030517578,1204632
2024-02-19,197.65130615234375,207.89999389648438,220.0,199.0,200.0,13182397
2024-02-20,200.59849548339844,211.0,216.39999389648438,205.25,207.9499969482422,3726939
2024-02-21,194.65660095214844,204.75,212.35000610351562,203.60000610351562,210.89999389648438,1807818
2024-02-22,195.036865234375,205.14999389648438,206.9499969482422,200.35000610351562,205.89999389648438,1065482
2024-02-23,199.45765686035156,209.8000030517578,211.89999389648438,205.14999389648438,206.0,1678744
2024-02-26,197.3185577392578,207.5500030517578,214.5,205.9499969482422,211.6999969482422,1873937
2024-02-27,201.69180297851562,212.14999389648438,213.3000030517578,206.4499969482422,208.85000610351562,1395701
2024-02-28,193.278076171875,203.3000030517578,215.8000030517578,201.64999389648438,213.9499969482422,1732009
