date_,adj close_mrf.ns,close_mrf.ns,high_mrf.ns,low_mrf.ns,open_mrf.ns,volume_mrf.ns
2024-01-16,136181.625,136594.703125,137800.0,135215.296875,135215.296875,7490
2024-01-17,134470.421875,134878.296875,150254.15625,134000.046875,136229.0,37455
2024-01-18,137171.140625,137587.203125,137949.953125,133750.0,136400.0,14497
2024-01-19,139010.28125,139431.953125,139995.953125,138033.34375,138995.296875,10260
2024-01-23,140570.84375,140997.25,147849.796875,139821.25,145786.0,22069
2024-01-24,139348.359375,139771.046875,141999.84375,136105.25,141900.0,17366
2024-01-25,136444.09375,136857.953125,140599.953125,136133.046875,140457.0,13504
2024-01-29,143438.484375,143873.59375,144150.0,136333.046875,136857.15625,26375
2024-01-30,140194.609375,140619.84375,144750.0,140004.0,144650.0,13414
2024-01-31,142146.21875,142577.40625,142844.953125,140500.09375,141000.0,11634
2024-02-01,142046.921875,142477.796875,144350.0,141701.0,143500.0,12544
2024-02-02,140515.609375,140941.84375,143499.453125,140447.296875,143000.0,12058
2024-02-05,141217.40625,141645.75,143974.34375,140411.296875,142885.0,19822
2024-02-06,142954.078125,143387.703125,143600.0,141761.09375,142245.0,8245
2024-02-07,142564.359375,142996.796875,144827.546875,142532.0,144385.0,7534
2024-02-08,142052.21875,142483.09375,143850.0,142010.046875,143850.0,7121
2024-02-09,136668.78125,137083.34375,143750.0,136300.0,143750.0,26614
2024-02-12,143367.875,143802.75,144769.59375,137555.0,137600.0,40809
2024-02-13,144190.046875,144627.40625,145406.5,142500.59375,144802.0,15951
2024-02-14,146839.109375,147284.5,148035.5,142768.40625,144100.0,11908
2024-02-15,148060.75,148509.84375,150199.40625,147050.0,148000.0,16290
2024-02-16,147606.78125,148054.5,149200.0,147499.90625,148848.0,9418
2024-02-19,148452.0,148902.296875,149549.953125,148101.0,148998.40625,11657
2024-02-20,148176.625,148626.09375,148938.046875,147129.546875,148354.0,6520
2024-02-21,149236.296875,149685.953125,150794.703125,148700.0,148700.0,12528
2024-02-22,149713.40625,150164.5,150740.0,148903.046875,149206.0,7334
2024-02-23,150272.21875,150725.0,151445.0,150050.0,150164.5,7594
2024-02-26,147929.03125,148374.75,151224.75,147375.15625,150850.0,24255
2024-02-27,146707.125,147149.15625,149650.0,146108.0,148900.0,11115
2024-02-28,145589.734375,146028.40625,148500.0,145700.0,147500.0,9984
2024-02-29,145642.71875,146081.546875,147087.40625,144746.703125,146300.0,58201
2024-03-01,144749.859375,145186.0,147500.0,144100.0,146081.546875,8313
2024-03-04,145706.796875,146145.796875,146800.0,144615.75,145625.0,9680
2024-03-05,144959.46875,145396.25,147144.953125,145000.0,146499.953125,4157
2024-03-06,145302.296875,145740.09375,146149.953125,144000.0,145580.0,5515
2024-03-07,143524.21875,143956.65625,145735.90625,143528.203125,145735.90625,7336
2024-03-11,144515.296875,144950.703125,145337.296875,143885.703125,144500.0,10522
2024-03-12,141849.28125,142276.65625,144644.5,141600.0,144644.5,6303
2024-03-13,138639.984375,139057.703125,143500.0,137746.90625,142276.65625,9846
2024-03-14,139880.234375,140301.703125,142923.40625,138900.0,139100.0,7838
2024-03-15,140887.53125,141312.046875,142632.796875,137545.84375,140500.0,23415
2024-03-18,136601.171875,137012.75,141300.0,136300.0,141300.0,16839
2024-03-19,132281.1875,132679.75,136990.0,132150.15625,136990.0,13171
2024-03-20,131117.578125,131512.65625,134039.046875,129614.6015625,132680.046875,14354
2024-03-21,131188.3125,131583.59375,132969.90625,131045.546875,132022.0,10316
2024-03-22,130908.5234375,131302.953125,132749.90625,130500.0,131700.0,11040
2024-03-26,131249.9375,131645.40625,132317.34375,130700.046875,131995.0,7707
2024-03-27,131413.4375,131809.40625,133843.90625,131264.0,132000.0,7985
2024-03-28,132986.65625,133387.34375,134000.0,132000.5,132889.0,10442
2024-04-01,135311.640625,135719.34375,136989.90625,134555.046875,135995.0,12671
2024-04-02,136680.96875,137092.796875,137489.953125,134906.703125,136300.0,7756
2024-04-03,135781.59375,136190.703125,137554.953125,136000.0,137199.0,6928
2024-04-04,134954.34375,135360.953125,137117.25,135101.0,136398.0,5388
2024-04-05,135057.671875,135464.59375,136100.0,134500.0,135690.0,6537
2024-04-08,132309.796875,132708.453125,135799.0,130775.25,134807.0,15744
2024-04-09,132524.421875,132923.703125,133989.703125,132679.09375,132920.0,3764
2024-04-10,132281.03125,132679.59375,133887.953125,132250.0,133500.0,4292
2024-04-12,131320.828125,131716.5,133349.5,131500.0,133000.0,4795
2024-04-15,129054.953125,129443.796875,131399.5,129170.0,131399.5,8752
2024-04-16,129765.1640625,130156.1484375,130688.703125,128001.1484375,128500.0,6799
2024-04-18,128843.296875,129231.5,131503.09375,129003.8515625,130749.953125,4811
2024-04-19,128769.65625,129157.6484375,129521.046875,127312.1015625,128921.0,6377
2024-04-22,128632.4765625,129020.046875,131651.0,128709.1015625,129900.0,6055
2024-04-23,128838.515625,129226.703125,130104.1015625,128754.953125,129500.0,5398
2024-04-24,128138.359375,128524.453125,130147.6015625,128325.046875,129437.796875,4696
2024-04-25,129243.2890625,129632.703125,129874.6015625,128200.0,128500.0,5828
2024-04-26,129846.515625,130237.75,130750.0,129632.703125,129700.0,3735
2024-04-29,130428.3125,130821.296875,131240.0,130400.0,131000.0,3233
2024-04-30,132619.890625,133019.453125,135582.40625,131052.6484375,131052.6484375,14637
2024-05-02,133459.828125,133861.953125,135000.0,132500.0,134038.453125,9911
2024-05-03,128174.1953125,128560.3984375,134300.0,127767.8984375,134300.0,32315
2024-05-06,126095.5703125,126475.5,129450.0,125001.1015625,129450.0,16067
2024-05-07,124140.453125,124514.5,126986.046875,123111.1015625,126475.5,13141
2024-05-08,126297.1171875,126677.6484375,127190.1484375,123840.0,124514.5,9470
2024-05-09,125845.9765625,126225.1484375,127699.8984375,125800.0,126300.0,7038
2024-05-10,127212.40625,127595.703125,127850.953125,125543.453125,126700.0,5922
2024-05-13,128494.734375,128881.8984375,129199.796875,125623.1484375,127595.703125,9777
2024-05-14,127809.84375,128194.953125,129000.0,127700.0,128700.0,5329
2024-05-15,127062.609375,127445.453125,128549.953125,127301.953125,128000.0,6132
2024-05-16,128576.890625,128964.296875,129150.0,127050.0,127555.0,6690
2024-05-17,128755.65625,129143.6015625,129589.1484375,128400.0,128900.0,9747
2024-05-21,129231.375,129620.75,129992.296875,127560.0,127560.0,7993
2024-05-22,129092.2890625,129481.25,130200.0,129000.0,129650.0,7108
2024-05-23,129769.75,130160.75,130585.0,129051.046875,129481.25,11228
2024-05-24,130645.8984375,131039.546875,131497.0,128968.203125,130150.0,8423
2024-05-27,130560.3671875,130953.75,132800.0,130151.0,130800.0,16733
2024-05-28,128721.359375,129109.203125,131498.203125,129000.0,131300.0,5327
2024-05-29,127762.8984375,128147.8515625,129699.953125,127920.0,129500.0,5173
2024-05-30,125089.1484375,125466.046875,128002.5,125050.0,128000.0,8549
2024-05-31,125054.703125,125431.5,126899.953125,125027.546875,126100.0,14691
2024-06-03,126588.984375,126970.3984375,128900.0,126700.1484375,128900.0,17642
2024-06-04,121537.0078125,121903.203125,127000.0,116347.8515625,127000.0,19731
2024-06-05,127575.3125,127959.703125,128328.3515625,122016.8984375,123150.0,9992
2024-06-06,125753.15625,126132.046875,128697.6484375,125933.546875,128500.0,10281
2024-06-07,126898.109375,127280.453125,127450.0,125801.5,126132.046875,7440
2024-06-10,126581.8984375,126963.296875,128200.0,126049.3984375,128199.0,14250
2024-06-11,125879.6171875,126258.8984375,127500.0,126055.0,126970.0,4595
2024-06-12,125698.71875,126077.453125,126900.0,125830.046875,126400.0,5185
2024-06-13,125700.8671875,126079.6015625,126765.296875,125851.1484375,126101.453125,2995
