date_,adj close_hal.ns,close_hal.ns,high_hal.ns,low_hal.ns,open_hal.ns,volume_hal.ns
2024-01-16,2932.404541015625,2993.550048828125,3064.449951171875,2941.75,3054.0,2214293
2024-01-17,2897.874755859375,2958.300048828125,3008.10009765625,2931.800048828125,2980.0,1643170
2024-01-18,2906.98486328125,2967.60009765625,2981.0,2845.699951171875,2957.5,2066487
2024-01-19,2966.2978515625,3028.14990234375,3032.0,2982.199951171875,2985.0,1203346
2024-01-23,2831.45947265625,2890.5,3022.0,2847.25,3007.0,1628038
2024-01-24,2871.5732421875,2931.449951171875,2941.949951171875,2820.0,2889.949951171875,1330866
2024-01-25,2844.488037109375,2903.800048828125,2958.300048828125,2875.0,2940.0,1309130
2024-01-29,2916.1435546875,2976.949951171875,2985.0,2903.89990234375,2910.0,1213259
2024-01-30,2951.0166015625,3012.550048828125,3065.0,2986.050048828125,2991.75,1853804
2024-01-31,2938.135009765625,2999.39990234375,3018.5,2981.85009765625,3015.0,1074596
2024-02-01,2936.322998046875,2997.550048828125,3074.0,2955.14990234375,3020.0,1920618
2024-02-02,2910.021240234375,2970.699951171875,3047.949951171875,2965.35009765625,3012.0,1256014
2024-02-05,2872.601806640625,2932.5,3005.0,2912.699951171875,2980.0,936558
2024-02-06,2898.021484375,2958.449951171875,2969.0,2907.050048828125,2936.949951171875,1421958
2024-02-07,2889.4990234375,2949.75,2978.0,2922.0,2964.89990234375,893201
2024-02-08,3033.9375,3097.199951171875,3132.0,2956.050048828125,2963.0,4475010
2024-02-09,2904.780517578125,2965.35009765625,3127.0,2920.0,3127.0,3176427
2024-02-12,2787.91748046875,2846.050048828125,2987.050048828125,2828.0,2975.0,2890465
2024-02-13,2862.90380859375,2922.60009765625,2933.0,2824.85009765625,2861.800048828125,1805862
2024-02-14,2896.698974609375,2957.10009765625,2966.39990234375,2855.300048828125,2887.0,1112043
2024-02-15,2961.448486328125,3023.199951171875,3034.0,2983.14990234375,2990.0,1788864
2024-02-16,3015.9130859375,3078.800048828125,3105.0,3035.199951171875,3044.0,2732655
2024-02-19,2960.0283203125,3021.75,3113.89990234375,3016.85009765625,3099.949951171875,1615343
2024-02-20,2955.637451171875,2995.300048828125,3018.800048828125,2971.0,3018.800048828125,979624
2024-02-21,2909.01318359375,2948.050048828125,3025.0,2935.10009765625,2997.949951171875,1281770
2024-02-22,2965.8505859375,3005.64990234375,3010.0,2940.0,2959.0,919890
2024-02-23,3005.172607421875,3045.5,3065.5,3006.0,3006.0,1388116
2024-02-26,3009.366455078125,3049.75,3075.0,3013.699951171875,3045.449951171875,849178
2024-02-27,3054.510498046875,3095.5,3125.75,3033.25,3044.949951171875,2050688
2024-02-28,3044.34716796875,3085.199951171875,3170.0,3061.25,3114.0,2725678
2024-02-29,3043.212158203125,3084.050048828125,3105.0,3014.10009765625,3084.949951171875,1382425
2024-03-01,3112.531982421875,3154.300048828125,3164.0,3092.0,3099.0,1516443
2024-03-04,3172.378662109375,3214.949951171875,3226.85009765625,3133.0,3157.0,1892157
2024-03-05,3194.136962890625,3237.0,3266.75,3201.0,3229.0,1502498
2024-03-06,3185.45361328125,3228.199951171875,3245.0,3154.300048828125,3238.800048828125,1292669
2024-03-07,3273.373779296875,3317.300048828125,3334.0,3255.050048828125,3262.0,2251410
2024-03-11,3326.806396484375,3371.449951171875,3428.0,3336.0,3365.0,2519751
2024-03-12,3224.282470703125,3267.550048828125,3380.0,3241.10009765625,3375.0,1421483
2024-03-13,2999.251953125,3039.5,3270.35009765625,3015.75,3250.0,3448647
2024-03-14,3124.027587890625,3165.949951171875,3177.89990234375,3017.050048828125,3053.949951171875,2329439
2024-03-15,3058.06298828125,3099.10009765625,3182.550048828125,3006.0,3164.949951171875,2864705
2024-03-18,3080.6103515625,3121.949951171875,3184.0,3105.39990234375,3138.0,1967550
2024-03-19,3018.395263671875,3058.89990234375,3144.39990234375,3034.35009765625,3111.75,1666528
2024-03-20,2941.033203125,2980.5,3080.0,2913.60009765625,3074.0,2975349
2024-03-21,3080.0185546875,3121.35009765625,3128.449951171875,3020.0,3024.0,1962690
2024-03-22,3128.8134765625,3170.800048828125,3209.89990234375,3085.0,3114.050048828125,2086220
2024-03-26,3257.092041015625,3300.800048828125,3305.0,3180.0,3193.0,2573125
2024-03-27,3237.603759765625,3281.050048828125,3324.89990234375,3245.0,3317.0,1503735
2024-03-28,3282.9453125,3327.0,3345.0,3272.0,3291.0,1385868
2024-04-01,3358.284423828125,3403.35009765625,3454.25,3362.10009765625,3392.0,2513886
2024-04-02,3496.0849609375,3543.0,3584.0,3412.0,3440.0,3169551
2024-04-03,3541.77197265625,3589.300048828125,3610.800048828125,3508.300048828125,3540.0,2077663
2024-04-04,3494.062255859375,3540.949951171875,3614.949951171875,3512.199951171875,3609.949951171875,1591827
2024-04-05,3538.56494140625,3586.050048828125,3595.0,3507.85009765625,3545.0,1123258
2024-04-08,3519.9150390625,3567.14990234375,3600.0,3543.050048828125,3600.0,865339
2024-04-09,3499.588134765625,3546.550048828125,3589.0,3527.0,3568.0,649755
2024-04-10,3518.188232421875,3565.39990234375,3623.60009765625,3548.64990234375,3550.0,1160813
2024-04-12,3589.92578125,3638.10009765625,3677.550048828125,3550.0,3565.0,3042596
2024-04-15,3581.19287109375,3629.25,3700.0,3564.050048828125,3640.0,3848159
2024-04-16,3672.86279296875,3722.14990234375,3738.949951171875,3585.35009765625,3626.0,2939862
2024-04-18,3628.45849609375,3677.14990234375,3768.0,3652.699951171875,3744.0,2294396
2024-04-19,3701.626708984375,3751.300048828125,3761.14990234375,3621.0,3660.0,2256325
2024-04-22,3735.3740234375,3785.5,3810.0,3732.60009765625,3800.0,1337755
2024-04-23,3745.43896484375,3795.699951171875,3831.85009765625,3783.050048828125,3800.0,1321429
2024-04-24,3894.439453125,3946.699951171875,4000.0,3812.5,3826.10009765625,4429158
2024-04-25,3947.7734375,4000.75,4035.0,3939.0,3958.60009765625,2632613
2024-04-26,3931.64013671875,3984.39990234375,4039.949951171875,3966.35009765625,4019.949951171875,1432727
2024-04-29,3964.499267578125,4017.699951171875,4044.75,3975.300048828125,4006.35009765625,1202126
2024-04-30,3887.186767578125,3939.35009765625,4035.85009765625,3930.0,4035.35009765625,2054258
2024-05-02,3894.9326171875,3947.199951171875,3973.10009765625,3931.39990234375,3942.0,1008325
2024-05-03,3868.2900390625,3920.199951171875,3967.0,3880.0,3952.25,1180369
2024-05-06,3765.864501953125,3816.39990234375,3938.39990234375,3785.050048828125,3936.0,1613143
2024-05-07,3665.807373046875,3715.0,3839.0,3693.39990234375,3815.449951171875,1975562
2024-05-08,3805.433837890625,3856.5,3883.199951171875,3671.0,3703.0,1993745
2024-05-09,3795.714111328125,3846.64990234375,3954.0,3820.449951171875,3895.800048828125,2335375
2024-05-10,3821.61669921875,3872.89990234375,3907.699951171875,3820.64990234375,3860.0,1462534
2024-05-13,3869.81982421875,3921.75,3937.0,3762.60009765625,3875.5,1619124
2024-05-14,4020.74462890625,4074.699951171875,4086.25,3976.0,3979.64990234375,2964966
