date_,adj close_ltim.ns,close_ltim.ns,high_ltim.ns,low_ltim.ns,open_ltim.ns,volume_ltim.ns
2024-01-16,6080.9638671875,6235.89990234375,6299.9501953125,6193.89990234375,6290.0,255823
2024-01-17,6119.677734375,6275.60009765625,6324.0,6150.0,6195.0,472635
2024-01-18,5463.78955078125,5603.0,5790.0,5411.75,5700.0,2798324
2024-01-19,5511.7177734375,5652.14990234375,5697.2001953125,5582.0,5689.0,974885
2024-01-23,5498.4072265625,5638.5,5724.0,5580.0,5630.0,754748
2024-01-24,5479.92822265625,5619.5498046875,5718.89990234375,5598.0498046875,5650.35009765625,729576
2024-01-25,5358.130859375,5494.64990234375,5650.0,5457.2998046875,5650.0,911916
2024-01-29,5312.98193359375,5448.35009765625,5514.10009765625,5400.0,5497.0,772171
2024-01-30,5219.8056640625,5352.7998046875,5524.7001953125,5345.0498046875,5495.0,830778
2024-01-31,5313.1767578125,5448.5498046875,5466.4501953125,5310.2998046875,5351.0,536486
2024-02-01,5231.361328125,5364.64990234375,5434.0,5342.0,5430.0,495519
2024-02-02,5349.55029296875,5485.85009765625,5541.0,5375.0498046875,5375.0498046875,593677
2024-02-05,5303.32763671875,5438.4501953125,5540.0,5425.64990234375,5540.0,301000
2024-02-06,5334.38623046875,5470.2998046875,5506.85009765625,5391.35009765625,5430.5,836565
2024-02-07,5312.54296875,5447.89990234375,5518.9501953125,5439.0,5500.0,354265
2024-02-08,5286.1162109375,5420.7998046875,5490.0,5401.10009765625,5455.9501953125,380430
2024-02-09,5317.80859375,5453.2998046875,5470.0,5362.0,5470.0,196922
2024-02-12,5379.4384765625,5516.5,5548.0,5464.5498046875,5469.9501953125,421078
2024-02-13,5419.07763671875,5557.14990234375,5575.0,5469.2001953125,5515.9501953125,256808
2024-02-14,5368.3701171875,5505.14990234375,5517.0,5404.64990234375,5479.9501953125,332342
2024-02-15,5385.09375,5522.2998046875,5590.0,5511.0498046875,5575.5498046875,226420
2024-02-16,5441.7509765625,5580.39990234375,5594.9501953125,5495.35009765625,5567.0,319063
2024-02-19,5377.048828125,5514.0498046875,5589.0,5509.89990234375,5566.0,156372
2024-02-20,5367.59033203125,5504.35009765625,5590.0,5481.4501953125,5528.89990234375,413919
2024-02-21,5285.43359375,5420.10009765625,5516.10009765625,5407.10009765625,5500.0,567794
2024-02-22,5350.427734375,5486.75,5506.2998046875,5406.0498046875,5498.0,536659
2024-02-23,5404.9384765625,5542.64990234375,5555.14990234375,5510.0,5546.0,310531
2024-02-26,5330.33935546875,5466.14990234375,5537.89990234375,5444.0498046875,5537.89990234375,227438
2024-02-27,5307.4716796875,5442.7001953125,5508.10009765625,5401.0,5465.0,321866
2024-02-28,5275.5361328125,5409.9501953125,5466.0,5380.0,5449.0,263858
2024-02-29,5169.146484375,5300.85009765625,5429.9501953125,5267.0,5412.0,513879
2024-03-01,5142.52490234375,5273.5498046875,5348.4501953125,5257.0,5315.0,565313
2024-03-04,5087.23388671875,5216.85009765625,5319.85009765625,5209.5498046875,5300.0,456225
2024-03-05,5004.05322265625,5131.5498046875,5219.4501953125,5115.0,5209.85009765625,549757
2024-03-06,5035.8916015625,5164.2001953125,5179.35009765625,5073.25,5149.9501953125,608117
2024-03-07,4995.42236328125,5122.7001953125,5201.9501953125,5108.0,5178.85009765625,461048
2024-03-11,4995.71533203125,5123.0,5133.0,5057.0,5118.0,343534
2024-03-12,5079.7734375,5209.2001953125,5219.25,5123.0,5143.0,493480
2024-03-13,5065.92626953125,5195.0,5275.2001953125,5160.14990234375,5231.75,617665
2024-03-14,5133.40673828125,5264.2001953125,5272.14990234375,5112.7998046875,5184.9501953125,414994
2024-03-15,5065.29248046875,5194.35009765625,5249.9501953125,5170.0,5248.0498046875,571117
2024-03-18,5039.060546875,5167.4501953125,5219.9501953125,5150.0,5200.0,189164
2024-03-19,4978.84521484375,5105.7001953125,5178.10009765625,5076.2001953125,5167.0,487996
2024-03-20,4974.31005859375,5101.0498046875,5158.64990234375,5070.85009765625,5115.10009765625,229758
2024-03-21,5031.69873046875,5159.89990234375,5193.0,5130.2998046875,5160.0,374029
2024-03-22,4880.6474609375,5005.0,5078.0,4945.0498046875,5044.9501953125,846359
2024-03-26,4851.58740234375,4975.2001953125,5045.35009765625,4964.0,5005.0,388110
2024-03-27,4805.07275390625,4927.5,5002.89990234375,4915.0,4980.0,517721
2024-03-28,4815.7021484375,4938.39990234375,4967.39990234375,4908.0498046875,4935.9501953125,1169945
2024-04-01,4761.28857421875,4882.60009765625,4979.75,4866.10009765625,4955.0,626289
2024-04-02,4778.98681640625,4900.75,4917.9501953125,4866.64990234375,4881.89990234375,454393
2024-04-03,4748.318359375,4869.2998046875,4933.0,4864.0498046875,4900.75,545022
