date_,adj close_bankbaroda.ns,close_bankbaroda.ns,high_bankbaroda.ns,low_bankbaroda.ns,open_bankbaroda.ns,volume_bankbaroda.ns
2024-01-16,217.4750518798828,231.25,234.25,229.39999389648438,231.10000610351562,13977706
2024-01-17,212.06756591796875,225.5,233.1999969482422,224.5500030517578,229.0,34099113
2024-01-18,214.13650512695312,227.6999969482422,230.1999969482422,222.0,224.9499969482422,16224153
2024-01-19,216.91078186035156,230.64999389648438,231.5,228.5,229.5500030517578,9445978
2024-01-23,209.15220642089844,222.39999389648438,235.75,221.4499969482422,234.0,36926359
2024-01-24,215.0299072265625,228.64999389648438,229.0,219.64999389648438,223.0,36236660
2024-01-25,213.5252227783203,227.0500030517578,231.35000610351562,223.3000030517578,228.0,20473287
2024-01-29,220.29632568359375,234.25,235.75,227.64999389648438,227.64999389648438,20641625
2024-01-30,223.30572509765625,237.4499969482422,242.39999389648438,233.8000030517578,235.0,22612702
2024-01-31,232.8511199951172,247.60000610351562,250.0,232.0500030517578,238.89999389648438,63750711
2024-02-01,240.70372009277344,255.9499969482422,257.45001220703125,243.0,250.0,43749140
2024-02-02,240.04542541503906,255.25,261.0,254.5,259.29998779296875,29946219
2024-02-05,242.1143798828125,257.45001220703125,262.5,255.75,257.6499938964844,21283536
2024-02-06,235.39028930664062,250.3000030517578,258.29998779296875,246.1999969482422,258.0,17506394
2024-02-07,230.07684326171875,244.64999389648438,252.89999389648438,242.64999389648438,252.89999389648438,55656306
2024-02-08,238.02349853515625,253.10000610351562,256.29998779296875,247.0500030517578,248.0,33645402
2024-02-09,247.8040008544922,263.5,266.5,247.5,253.35000610351562,46201039
2024-02-12,239.52818298339844,254.6999969482422,267.3999938964844,253.0500030517578,266.1000061035156,26620786
2024-02-13,244.13632202148438,259.6000061035156,260.5,249.1999969482422,254.6999969482422,18922366
2024-02-14,251.84783935546875,267.79998779296875,271.0,252.35000610351562,255.10000610351562,30063655
2024-02-15,259.27728271484375,275.70001220703125,277.0,269.04998779296875,269.8999938964844,32254489
2024-02-16,259.2302551269531,275.6499938964844,280.75,274.54998779296875,276.1000061035156,20666587
2024-02-19,254.57513427734375,270.70001220703125,277.0,269.75,275.6499938964844,14006706
2024-02-20,256.97320556640625,273.25,274.79998779296875,269.75,270.1000061035156,14006722
2024-02-21,258.7130126953125,275.1000061035156,279.5,273.0,273.5,19624058
2024-02-22,259.1832275390625,275.6000061035156,276.95001220703125,270.1499938964844,275.25,11871556
2024-02-23,252.83531188964844,268.8500061035156,280.1499938964844,265.29998779296875,276.0,23264484
2024-02-26,253.4936065673828,269.54998779296875,272.3999938964844,266.70001220703125,268.8500061035156,12448638
2024-02-27,254.24595642089844,270.3500061035156,273.1000061035156,267.3999938964844,269.54998779296875,15572873
2024-02-28,246.15823364257812,261.75,271.45001220703125,260.6499938964844,270.3500061035156,13653858
2024-02-29,249.63783264160156,265.45001220703125,267.6000061035156,258.3500061035156,261.3999938964844,16296464
2024-03-01,254.998291015625,271.1499938964844,272.20001220703125,265.3999938964844,266.5,9702235
2024-03-04,256.92620849609375,273.20001220703125,276.25,272.1000061035156,273.54998779296875,11707996
2024-03-05,261.5343017578125,278.1000061035156,278.6000061035156,272.25,272.95001220703125,14431461
2024-03-06,265.7192077636719,282.54998779296875,284.25,271.29998779296875,277.8500061035156,32754392
2024-03-07,264.9668884277344,281.75,284.5,279.20001220703125,282.54998779296875,10994198
2024-03-11,260.8760070800781,277.3999938964844,285.6000061035156,276.5,283.8500061035156,18217736
2024-03-12,255.4215087890625,271.6000061035156,279.5,270.8500061035156,277.0,12003823
2024-03-13,245.35885620117188,260.8999938964844,273.45001220703125,258.3999938964844,272.0,20711328
2024-03-14,243.76014709472656,259.20001220703125,263.8500061035156,255.60000610351562,259.8999938964844,13623004
2024-03-15,238.86988830566406,254.0,261.5,250.14999389648438,258.5,17126874
2024-03-18,239.34010314941406,254.5,257.8999938964844,252.1999969482422,253.4499969482422,10806790
2024-03-19,234.26177978515625,249.10000610351562,255.8000030517578,248.5,253.8000030517578,11016984
2024-03-20,234.96710205078125,249.85000610351562,253.0,243.8000030517578,249.89999389648438,17342930
2024-03-21,240.46861267089844,255.6999969482422,257.29998779296875,253.0,253.5,10121220
2024-03-22,244.3243865966797,259.79998779296875,260.8999938964844,253.64999389648438,255.5,11402546
2024-03-26,245.9701385498047,261.54998779296875,263.75,259.0,259.0,8259347
2024-03-27,243.33694458007812,258.75,263.79998779296875,257.70001220703125,261.0,19196992
2024-03-28,248.3212127685547,264.04998779296875,266.3999938964844,258.75,258.75,11966752
2024-04-01,250.86041259765625,266.75,268.25,265.1000061035156,266.0,7378701
2024-04-02,255.13937377929688,271.29998779296875,272.1499938964844,266.3999938964844,267.0,10897757
2024-04-03,257.91363525390625,274.25,275.70001220703125,267.75,270.8999938964844,18329459
2024-04-04,253.3995819091797,269.45001220703125,276.70001220703125,268.3500061035156,276.25,14291037
2024-04-05,252.88230895996094,268.8999938964844,270.79998779296875,266.1499938964844,269.45001220703125,11296905
2024-04-08,251.65975952148438,267.6000061035156,272.45001220703125,267.0,272.0,15992006
2024-04-09,249.6848602294922,265.5,269.8999938964844,263.5,269.0,10451503
2024-04-10,254.66915893554688,270.79998779296875,272.3500061035156,265.3500061035156,265.5,15233408
2024-04-12,251.9889373779297,267.95001220703125,272.25,266.3999938964844,269.79998779296875,11496987
2024-04-15,245.82907104492188,261.3999938964844,266.5,260.0,265.1499938964844,11835728
2024-04-16,239.52818298339844,254.6999969482422,259.5,254.0,258.79998779296875,11074547
2024-04-18,243.57205200195312,259.0,263.3999938964844,255.25,255.25,13204672
2024-04-19,241.6441650390625,256.95001220703125,257.6000061035156,251.10000610351562,256.5,9169415
2024-04-22,245.7350311279297,261.29998779296875,262.0,257.79998779296875,258.8999938964844,9419094
2024-04-23,244.65353393554688,260.1499938964844,263.54998779296875,259.70001220703125,263.0,14502060
2024-04-24,243.66610717773438,259.1000061035156,261.8500061035156,258.45001220703125,261.25,8677169
2024-04-25,252.647216796875,268.6499938964844,269.5,258.5,259.0,23475720
2024-04-26,252.0829620361328,268.04998779296875,272.70001220703125,267.3500061035156,270.0,14775940
2024-04-29,256.3619384765625,272.6000061035156,273.8999938964844,265.0,269.1000061035156,22257247
2024-04-30,264.7317810058594,281.5,284.79998779296875,272.6000061035156,273.3500061035156,39453521
2024-05-02,262.7568664550781,279.3999938964844,283.8999938964844,279.0,281.45001220703125,12366464
2024-05-03,259.3243103027344,275.75,282.5,274.25,282.25,19568548
2024-05-06,249.87295532226562,265.70001220703125,276.0,259.70001220703125,276.0,34253148
2024-05-07,243.6190643310547,259.04998779296875,268.3500061035156,257.79998779296875,266.6000061035156,17373412
2024-05-08,246.86355590820312,262.5,266.20001220703125,258.1000061035156,259.04998779296875,31407247
2024-05-09,247.00460815429688,262.6499938964844,271.70001220703125,259.95001220703125,270.0,33562988
2024-05-10,239.6692657470703,254.85000610351562,266.70001220703125,248.35000610351562,265.70001220703125,39476449
2024-05-13,243.6190643310547,259.04998779296875,261.79998779296875,251.5500030517578,260.29998779296875,31581807
