date_,adj close_balramchin.ns,close_balramchin.ns,high_balramchin.ns,low_balramchin.ns,open_balramchin.ns,volume_balramchin.ns
2024-01-16,387.3809814453125,392.6000061035156,395.8999938964844,386.3500061035156,390.95001220703125,1434409
2024-01-17,380.1780090332031,385.29998779296875,391.95001220703125,384.5,389.75,1132828
2024-01-18,379.63531494140625,384.75,391.0,372.6000061035156,386.45001220703125,3818565
2024-01-19,377.66192626953125,382.75,390.45001220703125,380.5,388.5,1502447
2024-01-23,373.56707763671875,378.6000061035156,385.95001220703125,373.75,384.3999938964844,1515251
2024-01-24,379.2899475097656,384.3999938964844,386.5,377.70001220703125,378.1000061035156,1497692
2024-01-25,382.5954284667969,387.75,394.6000061035156,382.20001220703125,387.0,3079694
2024-01-29,386.6409606933594,391.8500061035156,396.25,385.25,390.8999938964844,2546860
2024-01-30,388.1703186035156,393.3999938964844,399.0,390.1000061035156,394.29998779296875,2190233
2024-01-31,390.1930847167969,395.45001220703125,396.8999938964844,392.1499938964844,395.0,1020240
2024-02-01,383.73016357421875,388.8999938964844,396.8999938964844,388.3999938964844,396.5,1053385
2024-02-02,387.87432861328125,393.1000061035156,398.3500061035156,390.20001220703125,390.95001220703125,1577754
2024-02-05,392.36383056640625,397.6499938964844,404.8500061035156,392.25,393.0,2718537
2024-02-06,391.6238098144531,396.8999938964844,400.79998779296875,394.70001220703125,398.0,1222864
2024-02-07,395.86663818359375,401.20001220703125,407.5,396.0,398.0,3310985
2024-02-08,386.5422668457031,391.75,404.8999938964844,390.0,403.45001220703125,4928647
2024-02-09,378.00726318359375,383.1000061035156,393.6499938964844,381.8999938964844,392.0,1761935
2024-02-12,367.79486083984375,372.75,384.95001220703125,371.6000061035156,382.75,1223011
2024-02-13,366.90679931640625,371.8500061035156,377.45001220703125,364.29998779296875,373.75,1162682
2024-02-14,365.47607421875,370.3999938964844,376.0,368.04998779296875,369.8500061035156,849253
2024-02-15,368.14019775390625,373.1000061035156,379.79998779296875,372.04998779296875,372.6000061035156,915192
2024-02-16,366.85748291015625,371.79998779296875,376.5,371.0,375.0,677114
2024-02-19,379.24066162109375,384.3500061035156,390.0,380.54998779296875,382.5,3938820
2024-02-20,378.5006408691406,383.6000061035156,396.29998779296875,377.29998779296875,387.5,7516960
2024-02-21,375.8858337402344,380.95001220703125,385.8999938964844,378.95001220703125,385.29998779296875,1592239
2024-02-22,376.37921142578125,381.45001220703125,382.8999938964844,372.0,375.0,1803594
2024-02-23,374.6524658203125,379.70001220703125,385.0,378.0,385.0,965827
2024-02-26,370.1136169433594,375.1000061035156,381.8999938964844,373.0,379.5,1479642
2024-02-27,377.8099060058594,382.8999938964844,384.0,376.1000061035156,376.3999938964844,1909167
2024-02-28,366.2654724121094,371.20001220703125,385.3999938964844,369.0,384.0,2767865
2024-02-29,367.9921875,372.95001220703125,374.79998779296875,369.0,374.0,1200332
2024-03-01,367.5975036621094,372.54998779296875,377.6000061035156,371.54998779296875,373.79998779296875,1317165
2024-03-04,375.2938232421875,380.3500061035156,386.1000061035156,374.29998779296875,375.70001220703125,2258905
2024-03-05,375.7378234863281,380.79998779296875,383.0,377.3999938964844,382.0,951385
2024-03-06,368.0908508300781,373.04998779296875,380.79998779296875,370.0,378.5,1637563
2024-03-07,373.4190673828125,378.45001220703125,380.8999938964844,374.0,374.3999938964844,992857
2024-03-11,369.8175964355469,374.79998779296875,379.45001220703125,372.25,378.8999938964844,1001363
2024-03-12,359.0131530761719,363.8500061035156,375.79998779296875,360.3500061035156,375.0,2188899
2024-03-13,342.97918701171875,347.6000061035156,367.45001220703125,345.29998779296875,364.54998779296875,1989299
2024-03-14,351.31683349609375,356.04998779296875,357.8999938964844,343.5,349.3500061035156,1267523
2024-03-15,354.47430419921875,359.25,361.95001220703125,350.0,357.0,1918527
2024-03-18,356.0530700683594,360.8500061035156,368.8999938964844,358.1000061035156,366.04998779296875,2951142
2024-03-19,358.4211120605469,363.25,365.3999938964844,356.0,357.25,1503434
2024-03-20,352.5995788574219,357.3500061035156,365.0,356.04998779296875,364.0,655220
2024-03-21,361.4799499511719,366.3500061035156,367.95001220703125,360.1499938964844,360.20001220703125,1193526
2024-03-22,361.2825927734375,366.1499938964844,372.6000061035156,363.29998779296875,366.5,1232410
2024-03-26,361.2332458496094,366.1000061035156,372.95001220703125,363.6499938964844,363.79998779296875,1687433
2024-03-27,357.33575439453125,362.1499938964844,369.1000061035156,360.0,368.70001220703125,2056254
2024-03-28,357.138427734375,361.95001220703125,364.25,359.0,363.0,1485300
2024-04-01,372.3830261230469,377.3999938964844,378.3999938964844,363.5,363.5,1335193
2024-04-02,378.845947265625,383.95001220703125,384.5,374.75,377.3500061035156,1143329
2024-04-03,380.22735595703125,385.3500061035156,391.3500061035156,380.5,380.8999938964844,1445600
2024-04-04,378.2045593261719,383.29998779296875,388.75,380.95001220703125,387.20001220703125,666354
2024-04-05,383.73016357421875,388.8999938964844,391.0,381.5,383.95001220703125,1808597
2024-04-08,381.1153869628906,386.25,392.75,385.29998779296875,390.8999938964844,855314
2024-04-09,387.726318359375,392.95001220703125,396.0,382.6499938964844,388.0,2431669
2024-04-10,383.48345947265625,388.6499938964844,395.79998779296875,386.45001220703125,395.79998779296875,2452228
2024-04-12,372.7777099609375,377.79998779296875,389.79998779296875,377.04998779296875,388.0,1484296
2024-04-15,362.4172668457031,367.29998779296875,376.70001220703125,365.20001220703125,374.1000061035156,1629914
2024-04-16,368.3868713378906,373.3500061035156,374.3999938964844,364.54998779296875,366.0,800696
