date_,adj close_iifl.ns,close_iifl.ns,high_iifl.ns,low_iifl.ns,open_iifl.ns,volume_iifl.ns
2024-01-16,639.7659912109375,643.8499755859375,668.9500122070312,629.0,663.0,913002
2024-01-17,646.3241577148438,650.4500122070312,662.7999877929688,634.0,634.9500122070312,700738
2024-01-18,634.748046875,638.7999877929688,670.0,630.4000244140625,644.0499877929688,3082575
2024-01-19,651.4912109375,655.6500244140625,660.9000244140625,636.0,644.0,896854
2024-01-23,620.8865356445312,624.8499755859375,658.7000122070312,612.5499877929688,648.9000244140625,1107839
2024-01-24,608.66455078125,612.5499877929688,625.4500122070312,600.0,624.8499755859375,955540
2024-01-25,601.75,601.75,622.9000244140625,598.6500244140625,618.7000122070312,769310
2024-01-29,617.4500122070312,617.4500122070312,627.4500122070312,605.5999755859375,607.8499755859375,789564
2024-01-30,612.5499877929688,612.5499877929688,627.2999877929688,610.7999877929688,614.0,945740
2024-01-31,623.4500122070312,623.4500122070312,628.7999877929688,609.0,614.0,694477
2024-02-01,605.9500122070312,605.9500122070312,634.0,602.1500244140625,626.0,596237
2024-02-02,598.25,598.25,613.5499877929688,591.0,608.25,794448
2024-02-05,594.0,594.0,597.5999755859375,583.2000122070312,596.1500244140625,785505
2024-02-06,594.6500244140625,594.6500244140625,601.8499755859375,587.2999877929688,596.0,427710
2024-02-07,606.0,606.0,611.25,592.25,592.5499877929688,639601
2024-02-08,591.3499755859375,591.3499755859375,611.0,590.0,606.0,409416
2024-02-09,582.5999755859375,582.5999755859375,595.0,579.75,592.9000244140625,739082
2024-02-12,572.5499877929688,572.5499877929688,586.0999755859375,568.8499755859375,585.0499877929688,343947
2024-02-13,575.0499877929688,575.0499877929688,579.9000244140625,561.4500122070312,573.0,552617
2024-02-14,574.4000244140625,574.4000244140625,578.75,569.0999755859375,575.0499877929688,402428
2024-02-15,579.2000122070312,579.2000122070312,589.7999877929688,574.0,587.0,497574
2024-02-16,606.4000244140625,606.4000244140625,610.75,574.0,578.1500244140625,1189184
2024-02-19,613.75,613.75,618.9500122070312,600.7000122070312,609.9500122070312,420061
2024-02-20,599.75,599.75,617.2000122070312,596.4500122070312,610.2000122070312,247991
