date_,adj close_nam-india.ns,close_nam-india.ns,high_nam-india.ns,low_nam-india.ns,open_nam-india.ns,volume_nam-india.ns
2024-01-16,476.59234619140625,501.3999938964844,519.0,498.3500061035156,508.54998779296875,988672
2024-01-17,462.2870178222656,486.3500061035156,500.8999938964844,484.3999938964844,500.8999938964844,554902
2024-01-18,485.5748291015625,510.8500061035156,512.5,482.6499938964844,488.8999938964844,1480835
2024-01-19,472.2674865722656,496.8500061035156,516.7000122070312,493.0,513.5,868855
2024-01-23,462.2870178222656,486.3500061035156,510.70001220703125,484.0,510.6000061035156,711112
2024-01-24,472.60015869140625,497.20001220703125,506.0,484.79998779296875,486.3999938964844,641901
2024-01-25,490.9452819824219,516.5,527.2000122070312,497.1499938964844,500.0,1159116
2024-01-29,497.5989074707031,523.5,526.9500122070312,511.0,516.5,991081
2024-01-30,494.7473449707031,520.5,541.4000244140625,502.54998779296875,523.5999755859375,2506967
2024-01-31,498.78704833984375,524.75,537.2000122070312,519.0499877929688,519.9500122070312,1155284
2024-02-01,482.2004089355469,507.29998779296875,531.4500122070312,500.5,528.75,1282375
2024-02-02,480.346923828125,505.3500061035156,512.2000122070312,497.0,510.70001220703125,703418
2024-02-05,466.1365661621094,490.3999938964844,509.6000061035156,486.3999938964844,508.95001220703125,1095582
2024-02-06,479.5389709472656,504.5,507.5,489.1000061035156,493.79998779296875,764778
2024-02-07,474.7388610839844,499.45001220703125,513.2000122070312,487.0,506.95001220703125,661465
2024-02-08,470.4139404296875,494.8999938964844,501.70001220703125,489.6000061035156,499.45001220703125,345848
2024-02-09,459.76812744140625,483.70001220703125,502.0,477.6499938964844,497.0,554300
2024-02-12,456.34619140625,480.1000061035156,491.0,474.0,490.75,400703
2024-02-13,451.7361755371094,475.25,482.6000061035156,471.5,480.1000061035156,699315
2024-02-14,464.9960021972656,489.20001220703125,498.6000061035156,473.29998779296875,475.0,1282123
2024-02-15,464.6632995605469,488.8500061035156,497.8500061035156,484.75,494.0,290875
2024-02-16,470.0812683105469,494.54998779296875,500.6499938964844,488.6499938964844,491.25,781863
2024-02-19,485.4322509765625,510.70001220703125,519.4000244140625,500.1000061035156,500.20001220703125,993938
2024-02-20,477.8755798339844,502.75,515.0,500.0,515.0,321103
2024-02-21,479.8241271972656,504.79998779296875,510.95001220703125,500.1000061035156,502.75,482258
2024-02-22,475.214111328125,499.95001220703125,508.70001220703125,496.0,504.79998779296875,378252
2024-02-23,479.206298828125,504.1499938964844,507.5,495.20001220703125,503.0,416643
2024-02-26,495.7928771972656,521.5999755859375,528.0,502.0,502.0,1201167
2024-02-27,502.779296875,528.9500122070312,542.8499755859375,524.0499877929688,524.0999755859375,1844340
2024-02-28,501.8287353515625,527.9500122070312,531.75,521.4000244140625,531.4500122070312,877297
