date_,adj close_colpal.ns,close_colpal.ns,high_colpal.ns,low_colpal.ns,open_colpal.ns,volume_colpal.ns
2024-01-16,2395.440185546875,2500.14990234375,2524.800048828125,2460.0,2486.89990234375,475637
2024-01-17,2395.00927734375,2499.699951171875,2513.75,2470.0,2482.699951171875,353444
2024-01-18,2390.69775390625,2495.199951171875,2507.39990234375,2449.14990234375,2491.0,348563
2024-01-19,2386.0986328125,2490.39990234375,2507.449951171875,2472.5,2501.0,377303
2024-01-23,2336.2763671875,2438.39990234375,2552.800048828125,2412.10009765625,2534.75,722322
2024-01-24,2412.734375,2518.199951171875,2525.0,2378.89990234375,2438.0,440368
2024-01-25,2388.15869140625,2492.550048828125,2518.199951171875,2456.050048828125,2518.199951171875,215858
2024-01-29,2420.73486328125,2526.550048828125,2533.0,2485.0,2492.550048828125,276386
2024-01-30,2386.1943359375,2490.5,2533.0,2481.60009765625,2525.0,313301
2024-01-31,2461.502685546875,2569.10009765625,2580.89990234375,2497.89990234375,2507.0,448037
2024-02-01,2398.554443359375,2503.39990234375,2604.050048828125,2487.0,2569.10009765625,432718
2024-02-02,2435.298095703125,2541.75,2547.550048828125,2495.25,2503.39990234375,249774
2024-02-05,2425.285888671875,2531.300048828125,2577.89990234375,2520.14990234375,2540.0,229185
2024-02-06,2457.718017578125,2565.14990234375,2570.89990234375,2521.85009765625,2534.0,144763
2024-02-07,2444.30419921875,2551.14990234375,2570.0,2517.0,2570.0,156794
2024-02-08,2393.619873046875,2498.25,2557.300048828125,2490.85009765625,2551.0,134032
2024-02-09,2428.016357421875,2534.14990234375,2541.89990234375,2488.0,2498.300048828125,114787
2024-02-12,2409.81201171875,2515.14990234375,2545.0,2503.550048828125,2534.14990234375,88296
2024-02-13,2444.783447265625,2551.64990234375,2558.449951171875,2507.64990234375,2518.0,159612
2024-02-14,2486.12646484375,2594.800048828125,2603.949951171875,2535.0,2535.0,199963
2024-02-15,2481.4794921875,2589.949951171875,2621.699951171875,2575.0,2600.0,273088
2024-02-16,2471.562744140625,2579.60009765625,2599.0,2550.0,2597.800048828125,100974
2024-02-19,2463.610595703125,2571.300048828125,2597.300048828125,2560.0,2581.5,85561
2024-02-20,2429.9326171875,2536.14990234375,2575.0,2511.0,2572.949951171875,187537
2024-02-21,2429.35791015625,2535.550048828125,2559.800048828125,2522.0,2542.949951171875,254368
2024-02-22,2431.27392578125,2537.550048828125,2545.550048828125,2498.5,2545.550048828125,196344
2024-02-23,2439.753173828125,2546.39990234375,2560.0,2522.5,2537.0,210277
2024-02-26,2415.65673828125,2521.25,2542.949951171875,2512.0,2540.0,115895
2024-02-27,2425.717041015625,2531.75,2556.949951171875,2511.75,2520.0,165839
2024-02-28,2391.9912109375,2496.550048828125,2541.85009765625,2481.0,2539.89990234375,195163
2024-02-29,2420.92626953125,2526.75,2540.25,2476.25,2493.89990234375,506654
2024-03-01,2428.495361328125,2534.64990234375,2554.550048828125,2517.64990234375,2534.0,92374
