date_,adj close_heromotoco.ns,close_heromotoco.ns,high_heromotoco.ns,low_heromotoco.ns,open_heromotoco.ns,volume_heromotoco.ns
2024-01-16,4093.208984375,4384.64990234375,4450.0,4340.10009765625,4340.10009765625,972808
2024-01-17,4080.32666015625,4370.85009765625,4430.0,4341.0,4346.0,443836
2024-01-18,4101.93798828125,4394.0,4411.64990234375,4296.89990234375,4334.0,570816
2024-01-19,4107.3056640625,4399.75,4440.85009765625,4374.0,4395.0,383901
2024-01-23,4148.80126953125,4444.2001953125,4560.0,4401.64990234375,4401.64990234375,1399043
2024-01-24,4138.9521484375,4433.64990234375,4453.60009765625,4310.89990234375,4429.0,596736
2024-01-25,4146.88720703125,4442.14990234375,4480.0498046875,4378.5,4448.85009765625,664356
2024-01-29,4288.177734375,4593.5,4625.0,4426.35009765625,4448.0,418127
2024-01-30,4283.3701171875,4588.35009765625,4662.0,4580.0498046875,4627.0,709726
2024-01-31,4314.36279296875,4621.5498046875,4636.89990234375,4518.14990234375,4567.5,645505
2024-02-01,4281.82958984375,4586.7001953125,4717.85009765625,4575.0,4621.7001953125,660378
2024-02-02,4403.748046875,4717.2998046875,4769.2998046875,4590.0498046875,4598.0,994506
2024-02-05,4431.14697265625,4746.64990234375,4774.35009765625,4700.0,4720.0,425966
2024-02-06,4465.501953125,4783.4501953125,4792.0,4733.0,4746.5498046875,261001
2024-02-07,4474.74365234375,4793.35009765625,4817.25,4730.14990234375,4790.0,265821
2024-02-08,4488.326171875,4807.89990234375,4824.7001953125,4764.39990234375,4795.9501953125,444060
2024-02-09,4582.56689453125,4908.85009765625,4924.0,4792.10009765625,4840.0,718094
2024-02-12,4375.9296875,4687.5,4949.0498046875,4627.5498046875,4949.0498046875,1321957
2024-02-13,4429.42041015625,4744.7998046875,4829.85009765625,4706.2998046875,4728.0,938269
2024-02-14,4494.0673828125,4814.0498046875,4825.0,4661.10009765625,4707.0,735284
2024-02-15,4496.775390625,4816.9501953125,4854.7998046875,4787.0498046875,4830.2001953125,530347
2024-02-16,4568.98291015625,4894.2998046875,4920.0,4830.0,4830.0,848705
2024-02-19,4530.0556640625,4852.60009765625,4944.0,4843.85009765625,4928.9501953125,524294
2024-02-20,4353.38427734375,4663.35009765625,4882.0,4653.0,4852.60009765625,1153742
2024-02-21,4326.19580078125,4534.85009765625,4619.9501953125,4508.0,4594.64990234375,1112050
2024-02-22,4288.322265625,4495.14990234375,4578.7998046875,4440.64990234375,4559.9501953125,1441798
2024-02-23,4311.31298828125,4519.25,4604.9501953125,4485.10009765625,4535.0,819122
2024-02-26,4289.228515625,4496.10009765625,4530.0,4470.14990234375,4523.9501953125,605090
2024-02-27,4226.2177734375,4430.0498046875,4519.0,4408.0,4501.7998046875,830187
2024-02-28,4173.74755859375,4375.0498046875,4459.2001953125,4349.0498046875,4440.0,569688
2024-02-29,4222.83056640625,4426.5,4454.0,4350.0,4379.0,1548190
2024-03-01,4299.72216796875,4507.10009765625,4525.0,4450.0,4459.89990234375,510674
2024-03-04,4399.509765625,4611.7001953125,4630.0,4563.0,4589.9501953125,570306
2024-03-05,4378.80810546875,4590.0,4644.75,4571.85009765625,4611.64990234375,442519
2024-03-06,4422.0234375,4635.2998046875,4649.0,4536.10009765625,4580.0,353334
2024-03-07,4438.81396484375,4652.89990234375,4704.0,4620.7998046875,4650.0,684934
2024-03-11,4456.74951171875,4671.7001953125,4725.0,4600.5498046875,4700.0,644170
2024-03-12,4444.5380859375,4658.89990234375,4697.0,4633.0,4666.2998046875,312738
2024-03-13,4304.49267578125,4512.10009765625,4686.75,4476.5498046875,4646.0,700123
2024-03-14,4460.18310546875,4675.2998046875,4682.14990234375,4455.0,4455.0,708629
2024-03-15,4374.32421875,4585.2998046875,4680.85009765625,4500.64990234375,4655.0,1278695
2024-03-18,4344.6552734375,4554.2001953125,4582.5,4527.5498046875,4560.5,232124
2024-03-19,4332.7783203125,4541.75,4597.60009765625,4509.60009765625,4554.0,388757
2024-03-20,4302.91796875,4510.4501953125,4588.9501953125,4480.0,4542.0,418716
2024-03-21,4311.93310546875,4519.89990234375,4545.0,4445.2001953125,4527.7998046875,633619
2024-03-22,4468.48291015625,4684.0,4736.35009765625,4517.60009765625,4538.7998046875,902115
2024-03-26,4456.22412109375,4671.14990234375,4724.5498046875,4633.5498046875,4684.0,551123
2024-03-27,4362.1611328125,4572.5498046875,4698.0,4560.0,4692.0,693528
2024-03-28,4505.0205078125,4722.2998046875,4750.0,4583.2001953125,4604.0,1086607
2024-04-01,4465.3828125,4680.75,4779.75,4662.10009765625,4740.0,664163
2024-04-02,4350.95166015625,4560.7998046875,4685.4501953125,4522.0,4650.0,1342779
2024-04-03,4347.517578125,4557.2001953125,4603.25,4526.5,4584.89990234375,681469
2024-04-04,4314.84326171875,4522.9501953125,4590.0,4462.75,4585.0,1378250
2024-04-05,4316.703125,4524.89990234375,4565.60009765625,4468.35009765625,4480.5,605460
2024-04-08,4383.673828125,4595.10009765625,4608.85009765625,4525.10009765625,4540.0,711580
2024-04-09,4313.65087890625,4521.7001953125,4673.25,4505.0,4615.0,945922
2024-04-10,4288.083984375,4494.89990234375,4551.7001953125,4475.89990234375,4551.7001953125,515061
2024-04-12,4236.47265625,4440.7998046875,4522.7998046875,4431.0,4509.0,438331
2024-04-15,4179.61572265625,4381.2001953125,4440.5498046875,4368.9501953125,4430.0,645166
2024-04-16,4123.99755859375,4322.89990234375,4446.4501953125,4288.0498046875,4344.0,719918
2024-04-18,4055.692138671875,4251.2998046875,4398.64990234375,4231.60009765625,4358.0,1103254
2024-04-19,4019.822509765625,4213.7001953125,4251.25,4168.14990234375,4251.25,674079
