date_,adj close_neulandlab.ns,close_neulandlab.ns,high_neulandlab.ns,low_neulandlab.ns,open_neulandlab.ns,volume_neulandlab.ns
2024-01-16,5621.20947265625,5635.60009765625,5716.0,5470.0,5683.0,30985
2024-01-17,5515.03076171875,5529.14990234375,5608.0,5426.7998046875,5599.0,22171
2024-01-18,5668.6376953125,5683.14990234375,5700.0,5387.75,5479.9501953125,23032
2024-01-19,5896.50439453125,5911.60009765625,5950.0,5683.14990234375,5683.14990234375,43020
2024-01-23,5630.4853515625,5644.89990234375,5918.0,5562.0498046875,5817.14990234375,30293
2024-01-24,5591.185546875,5605.5,5727.0,5425.10009765625,5643.89990234375,24842
2024-01-25,6080.23388671875,6095.7998046875,6169.7001953125,5605.0,5605.5,65975
2024-01-29,6522.25244140625,6538.9501953125,6679.7998046875,6043.0498046875,6043.0498046875,89249
2024-01-30,6268.7509765625,6284.7998046875,6680.4501953125,6181.60009765625,6625.0498046875,34958
2024-01-31,6397.27197265625,6413.64990234375,6509.14990234375,6205.0498046875,6300.0498046875,43276
2024-02-01,6226.708984375,6242.64990234375,6469.89990234375,6200.0,6413.64990234375,26842
2024-02-02,6129.80712890625,6145.5,6338.39990234375,6104.9501953125,6218.0,24609
2024-02-05,6190.2021484375,6206.0498046875,6393.25,6131.0,6299.0,25851
2024-02-06,6313.13720703125,6329.2998046875,6421.0,6219.89990234375,6239.85009765625,24938
2024-02-07,6562.34912109375,6579.14990234375,6637.35009765625,6395.2001953125,6449.0,43206
2024-02-08,6510.98095703125,6527.64990234375,6688.0,6437.0,6670.0,37528
2024-02-09,6752.76171875,6770.0498046875,6914.10009765625,6599.60009765625,6630.0,108513
2024-02-12,6436.62158203125,6453.10009765625,6874.89990234375,6333.5498046875,6775.0,67374
2024-02-13,6403.15673828125,6419.5498046875,6570.7001953125,6414.0,6539.39990234375,29315
2024-02-14,6657.4560546875,6674.5,6745.0,6339.39990234375,6375.14990234375,40931
2024-02-15,6813.75634765625,6831.2001953125,6935.0,6734.9501953125,6824.75,34021
2024-02-16,7131.7919921875,7150.0498046875,7238.9501953125,6930.64990234375,6930.64990234375,94498
2024-02-19,7042.7197265625,7060.75,7286.9501953125,6940.0498046875,7150.0498046875,27134
2024-02-20,7109.6484375,7127.85009765625,7219.39990234375,6990.0,7100.0,68486
2024-02-21,7252.6826171875,7271.25,7318.2998046875,7030.9501953125,7193.0,68590
2024-02-22,7180.9658203125,7199.35009765625,7290.0,7070.0,7290.0,25761
2024-02-23,6983.919921875,7001.7998046875,7235.0,6871.60009765625,7210.0,41471
2024-02-26,6952.4013671875,6970.2001953125,7101.0,6902.7001953125,7101.0,66130
2024-02-27,7047.50732421875,7065.5498046875,7100.0,6915.0,7068.0,21283
2024-02-28,7084.1630859375,7102.2998046875,7121.0498046875,6960.75,7060.0,21989
2024-02-29,7143.6611328125,7161.9501953125,7251.0,6828.0498046875,7095.0,57554
2024-03-01,7249.93896484375,7268.5,7303.25,7150.0498046875,7210.0,17554
2024-03-04,7092.94091796875,7111.10009765625,7250.0,7051.4501953125,7208.39990234375,15643
2024-03-05,6987.5107421875,7005.39990234375,7173.2001953125,6958.85009765625,7139.9501953125,24088
2024-03-06,6593.71923828125,6610.60009765625,7001.35009765625,6536.25,6952.0,52101
2024-03-07,6512.826171875,6529.5,6713.7001953125,6478.0,6610.60009765625,29917
2024-03-11,5938.34716796875,5953.5498046875,6499.0,5800.0,6430.0498046875,91504
2024-03-12,5890.02099609375,5905.10009765625,6069.9501953125,5667.5498046875,6069.9501953125,101780
2024-03-13,5628.7900390625,5643.2001953125,6022.7998046875,5570.4501953125,5905.0,64411
2024-03-14,5734.169921875,5748.85009765625,5999.9501953125,5549.85009765625,5630.0,42260
2024-03-15,5896.70361328125,5911.7998046875,6175.89990234375,5730.14990234375,5760.0,272364
2024-03-18,6259.02587890625,6275.0498046875,6342.4501953125,5925.0,6100.0,55535
2024-03-19,6094.896484375,6110.5,6339.89990234375,6060.60009765625,6339.89990234375,26722
2024-03-20,5921.04150390625,5936.2001953125,6139.0,5910.10009765625,6139.0,18721
2024-03-21,6026.17236328125,6041.60009765625,6120.0,5996.0,6054.0,47420
2024-03-22,6368.44580078125,6384.75,6463.9501953125,6050.0,6080.0,33954
2024-03-26,6438.76611328125,6455.25,6500.0,6319.2001953125,6500.0,15035
2024-03-27,6343.70947265625,6359.9501953125,6480.0,6301.60009765625,6480.0,17882
2024-03-28,6306.005859375,6322.14990234375,6450.0,6234.0498046875,6400.0,16249
2024-04-01,6249.849609375,6265.85009765625,6380.7998046875,6192.0498046875,6250.0,15277
2024-04-02,6455.62255859375,6472.14990234375,6598.0,6309.4501953125,6341.0,21498
2024-04-03,6449.388671875,6465.89990234375,6506.64990234375,6371.60009765625,6498.0,15255
2024-04-04,6486.8427734375,6503.4501953125,6599.7001953125,6451.0,6456.0,12548
2024-04-05,6351.58935546875,6367.85009765625,6503.4501953125,6327.35009765625,6503.0,21984
2024-04-08,6027.41943359375,6042.85009765625,6376.89990234375,5989.9501953125,6367.85009765625,57361
2024-04-09,6222.91845703125,6238.85009765625,6344.89990234375,6029.14990234375,6042.85009765625,37674
2024-04-10,6174.7919921875,6190.60009765625,6238.0498046875,6150.0,6238.0498046875,10113
2024-04-12,6648.37890625,6665.39990234375,6798.4501953125,6411.0,6529.9501953125,115541
2024-04-15,7085.111328125,7103.25,7240.0,6608.0498046875,6665.39990234375,89576
2024-04-16,7510.47216796875,7529.7001953125,7610.0,7012.64990234375,7165.10009765625,100046
2024-04-18,7636.798828125,7656.35009765625,7790.0,7530.0,7550.0,60734
2024-04-19,7349.8837890625,7368.7001953125,7600.0,7202.35009765625,7590.0498046875,37535
2024-04-22,7608.62109375,7628.10009765625,7721.89990234375,7403.0498046875,7499.9501953125,29991
2024-04-23,7517.5537109375,7536.7998046875,7699.7998046875,7505.10009765625,7649.2001953125,15116
2024-04-24,7201.71240234375,7220.14990234375,7603.7998046875,7210.0498046875,7560.10009765625,33521
2024-04-25,7074.03955078125,7092.14990234375,7276.0,7050.0,7225.0,22889
2024-04-26,6955.5927734375,6973.39990234375,7192.4501953125,6818.4501953125,7092.10009765625,30728
2024-04-29,7179.71923828125,7198.10009765625,7274.14990234375,6940.0,6973.39990234375,18858
2024-04-30,7574.06005859375,7593.4501953125,7625.0,7215.7001953125,7215.7001953125,46474
2024-05-02,7648.91796875,7668.5,7763.9501953125,7461.7998046875,7700.0,27645
2024-05-03,7538.55078125,7557.85009765625,7698.64990234375,7472.35009765625,7698.64990234375,25803
2024-05-06,7448.1318359375,7467.2001953125,7699.89990234375,7308.75,7680.0,20761
2024-05-07,7338.861328125,7357.64990234375,7500.0,7238.4501953125,7500.0,21371
2024-05-08,7438.60595703125,7457.64990234375,7487.5,7241.10009765625,7349.89990234375,10449
2024-05-09,7128.60009765625,7146.85009765625,7549.9501953125,7114.0,7464.0498046875,17791
2024-05-10,7121.46826171875,7139.7001953125,7300.0,7001.0,7158.60009765625,23407
