date_,adj close_rkforge.ns,close_rkforge.ns,high_rkforge.ns,low_rkforge.ns,open_rkforge.ns,volume_rkforge.ns
2024-01-16,772.974853515625,776.25,787.7999877929688,762.0499877929688,786.7999877929688,489766
2024-01-17,759.033935546875,762.25,786.0,756.3499755859375,766.1500244140625,377948
2024-01-18,746.8355712890625,750.0,779.7999877929688,730.5499877929688,761.2000122070312,1032782
2024-01-19,765.5563354492188,768.7999877929688,777.3499755859375,747.0999755859375,763.0,830188
2024-01-23,733.8406982421875,736.9500122070312,778.0,722.0,765.9500122070312,632550
2024-01-24,724.4802856445312,727.5499877929688,749.7999877929688,723.7999877929688,739.0,276427
2024-01-25,733.6414794921875,736.75,749.0,730.0499877929688,731.25,409195
2024-01-29,744.3461303710938,747.5,749.5,733.2000122070312,739.6500244140625,286952
2024-01-30,745.7900390625,748.9500122070312,764.75,742.4000244140625,752.7999877929688,241580
2024-01-31,760.2288208007812,763.4500122070312,766.0,748.9500122070312,748.9500122070312,245710
2024-02-01,766.6018676757812,769.8499755859375,774.9000244140625,747.3499755859375,764.9500122070312,376818
2024-02-02,767.7967529296875,771.0499877929688,779.8499755859375,763.4500122070312,777.9500122070312,581639
2024-02-05,753.7064819335938,756.9000244140625,778.75,746.75,765.0,596981
2024-02-06,739.3174438476562,742.4500122070312,771.25,736.7000122070312,767.25,297906
2024-02-07,731.8988647460938,735.0,748.0,726.2000122070312,741.0,513718
2024-02-08,726.1233520507812,729.2000122070312,744.0,722.75,740.5,179669
2024-02-09,700.3326416015625,703.2999877929688,729.0,696.8499755859375,725.2000122070312,283654
2024-02-12,704.9132690429688,707.9000244140625,724.9500122070312,681.7000122070312,724.9500122070312,595584
2024-02-13,729.0110473632812,732.0999755859375,738.6500244140625,698.0,706.9500122070312,306215
2024-02-14,727.4179077148438,730.5,740.0,718.7000122070312,726.9000244140625,186242
2024-02-15,736.1806640625,739.2999877929688,748.0,730.0,730.0,193422
2024-02-16,718.3563232421875,721.4000244140625,727.1500244140625,711.5,727.1500244140625,468404
2024-02-19,743.1013793945312,746.25,754.0,716.0499877929688,718.0499877929688,360633
2024-02-20,757.8389282226562,761.0499877929688,787.0,752.5999755859375,754.0,1034772
2024-02-21,754.6026611328125,757.7999877929688,775.0,750.25,763.2000122070312,581510
2024-02-22,735.6828002929688,738.7999877929688,765.4000244140625,731.1500244140625,765.4000244140625,333031
2024-02-23,747.9309692382812,751.0999755859375,771.0499877929688,747.0,748.0,352386
2024-02-26,761.6727905273438,764.9000244140625,777.0,752.2000122070312,757.3499755859375,795975
2024-02-27,770.7841186523438,774.0499877929688,805.0,758.0499877929688,763.0,1512662
2024-02-28,744.1967163085938,747.3499755859375,788.9000244140625,742.0,780.0,749836
2024-02-29,778.8499755859375,782.1500244140625,790.0,741.2000122070312,745.2000122070312,986757
2024-03-01,771.232177734375,774.5,798.4500122070312,769.0,790.0,330362
2024-03-04,754.8018188476562,758.0,790.0,755.0499877929688,789.6500244140625,290792
2024-03-05,742.8524169921875,746.0,760.9500122070312,735.3499755859375,755.0,427149
2024-03-06,718.9039916992188,721.9500122070312,752.0,710.0,749.9500122070312,549076
2024-03-07,721.0448608398438,724.0999755859375,738.75,718.5999755859375,728.0,369852
2024-03-11,726.6710205078125,729.75,734.2000122070312,711.0999755859375,724.4500122070312,405522
2024-03-12,684.7984619140625,687.7000122070312,733.2999877929688,680.7000122070312,733.2999877929688,386100
2024-03-13,624.2051391601562,626.8499755859375,684.9500122070312,612.0,677.4000244140625,1404433
2024-03-14,616.1393432617188,618.75,637.4500122070312,602.0499877929688,630.4000244140625,2017845
2024-03-15,616.73681640625,619.3499755859375,635.75,611.1500244140625,622.0,1692857
2024-03-18,624.3546142578125,627.0,647.0499877929688,612.2999877929688,620.0,877021
2024-03-19,635.2583618164062,637.9500122070312,648.4500122070312,625.5,631.0,534305
2024-03-20,661.4474487304688,664.25,674.7000122070312,637.9500122070312,641.4000244140625,634879
