date_,adj close_ltf.ns,close_ltf.ns,high_ltf.ns,low_ltf.ns,open_ltf.ns,volume_ltf.ns
2024-01-16,162.5909881591797,167.5,171.0,165.8000030517578,169.89999389648438,3398217
2024-01-17,164.7265167236328,169.6999969482422,170.89999389648438,164.0,165.5500030517578,6209769
2024-01-18,161.57176208496094,166.4499969482422,171.5,164.89999389648438,170.0,6240372
2024-01-19,163.3675537109375,168.3000030517578,169.0500030517578,166.0,168.39999389648438,4699819
2024-01-23,154.87399291992188,159.5500030517578,168.64999389648438,157.85000610351562,167.89999389648438,9237297
2024-01-24,156.524169921875,161.25,163.4499969482422,157.14999389648438,162.89999389648438,9499033
2024-01-25,162.00857543945312,166.89999389648438,167.35000610351562,161.39999389648438,162.0,5513833
2024-01-29,162.68807983398438,167.60000610351562,169.0,166.9499969482422,167.64999389648438,4525741
2024-01-30,162.8822021484375,167.8000030517578,171.5500030517578,165.3000030517578,169.0,6096993
2024-01-31,168.12393188476562,173.1999969482422,174.85000610351562,168.39999389648438,168.8000030517578,10043104
2024-02-01,167.2017822265625,172.25,175.5500030517578,169.0,175.14999389648438,5609948
2024-02-02,169.57997131347656,174.6999969482422,176.1999969482422,173.0500030517578,173.1999969482422,6156504
2024-02-05,168.07540893554688,173.14999389648438,179.0,172.4499969482422,175.6999969482422,10954847
2024-02-06,165.30894470214844,170.3000030517578,174.39999389648438,168.39999389648438,173.5,6080452
2024-02-07,171.0845489501953,176.25,178.25,171.25,171.25,8363762
2024-02-08,167.8327178955078,172.89999389648438,178.0,172.0,176.9499969482422,6031328
2024-02-09,166.47377014160156,171.5,173.14999389648438,165.75,173.0,5026790
2024-02-12,161.86297607421875,166.75,172.5,165.5500030517578,172.0,3555814
2024-02-13,165.60015869140625,170.60000610351562,171.10000610351562,164.6999969482422,167.0,3999511
2024-02-14,167.0561981201172,172.10000610351562,172.85000610351562,167.10000610351562,168.85000610351562,2581597
2024-02-15,166.5708465576172,171.60000610351562,173.85000610351562,169.89999389648438,172.85000610351562,2159944
2024-02-16,168.70635986328125,173.8000030517578,175.6999969482422,171.6999969482422,171.8000030517578,3393581
2024-02-19,170.11386108398438,175.25,177.4499969482422,173.89999389648438,175.0500030517578,3858389
2024-02-20,169.33731079101562,174.4499969482422,176.35000610351562,172.8000030517578,176.0500030517578,2396467
2024-02-21,165.4545440673828,170.4499969482422,175.5,169.64999389648438,174.75,2695176
2024-02-22,166.5708465576172,171.60000610351562,172.39999389648438,168.75,170.5,2537252
2024-02-23,166.5708465576172,171.60000610351562,173.25,171.0,172.4499969482422,1386896
2024-02-26,166.03695678710938,171.0500030517578,173.4499969482422,170.64999389648438,171.89999389648438,2001242
2024-02-27,164.09556579589844,169.0500030517578,172.0,168.1999969482422,171.5,2333404
2024-02-28,160.26133728027344,165.10000610351562,172.1999969482422,164.0500030517578,170.0500030517578,3378066
2024-02-29,162.25125122070312,167.14999389648438,167.60000610351562,162.5,164.0,4119728
2024-03-01,165.64866638183594,170.64999389648438,171.1999969482422,167.1999969482422,168.0500030517578,2895970
2024-03-04,169.19171142578125,174.3000030517578,175.5500030517578,171.1999969482422,172.0,3999129
