date_,adj close_sonacoms.ns,close_sonacoms.ns,high_sonacoms.ns,low_sonacoms.ns,open_sonacoms.ns,volume_sonacoms.ns
2024-01-16,583.0167846679688,589.6500244140625,599.7999877929688,585.0,597.9500122070312,1419145
2024-01-17,570.60791015625,577.0999755859375,588.75,575.0,587.5,1370375
2024-01-18,570.4595947265625,576.9500122070312,581.25,562.0999755859375,577.0,1231476
2024-01-19,578.36962890625,584.9500122070312,587.6500244140625,574.0,581.5999755859375,1622887
2024-01-23,573.4259033203125,579.9500122070312,591.5,571.25,590.0999755859375,1948854
2024-01-24,579.1112060546875,585.7000122070312,599.0,578.5,599.0,2193213
2024-01-25,578.8146362304688,585.4000244140625,590.5499877929688,578.5,585.25,1029950
2024-01-29,590.5807495117188,597.2999877929688,599.0,587.0,590.0,1113808
2024-01-30,590.1852416992188,596.9000244140625,608.4000244140625,591.6500244140625,597.3499755859375,1891243
2024-01-31,611.24560546875,618.2000122070312,620.0999755859375,593.1500244140625,596.9000244140625,2892565
2024-02-01,622.1713256835938,629.25,632.7000122070312,620.0,622.1500244140625,1660958
2024-02-02,623.2588500976562,630.3499755859375,641.0,619.25,629.4000244140625,1737527
2024-02-05,633.8445434570312,639.5,646.2000122070312,626.1500244140625,630.3499755859375,1141079
2024-02-06,625.717041015625,631.2999877929688,646.9000244140625,625.0,635.0999755859375,1086519
2024-02-07,621.8515014648438,627.4000244140625,636.5,621.8499755859375,635.0,567480
2024-02-08,602.177001953125,607.5499877929688,629.9500122070312,603.25,629.5,761555
2024-02-09,613.8726196289062,619.3499755859375,621.8499755859375,590.7000122070312,607.0,794470
2024-02-12,588.6973266601562,593.9500122070312,627.9000244140625,585.0,627.0,613057
2024-02-13,578.2406616210938,583.4000244140625,599.1500244140625,581.25,593.9500122070312,544785
2024-02-14,600.9380493164062,606.2999877929688,613.5,580.0,580.0,1259798
2024-02-15,607.777099609375,613.2000122070312,617.5,608.3499755859375,616.1500244140625,566335
2024-02-16,608.4708862304688,613.9000244140625,626.0999755859375,611.4500122070312,616.0,724514
2024-02-19,609.3629150390625,614.7999877929688,623.2999877929688,612.0499877929688,618.0,743984
2024-02-20,634.1913452148438,639.8499755859375,656.5,618.5999755859375,619.8499755859375,5326806
2024-02-21,606.885009765625,612.2999877929688,642.0,608.5,642.0,1516659
2024-02-22,607.5292358398438,612.9500122070312,616.9500122070312,605.7000122070312,615.0,1034652
2024-02-23,643.5082397460938,649.25,652.0,617.2999877929688,642.7999877929688,4777513
2024-02-26,658.2269287109375,664.0999755859375,669.8499755859375,643.0499877929688,650.0,2873080
2024-02-27,682.0146484375,688.0999755859375,694.7999877929688,665.0,666.0,4604527
2024-02-28,654.9560546875,660.7999877929688,691.5,655.0,689.0,2014512
2024-02-29,683.2536010742188,689.3499755859375,718.8499755859375,653.0499877929688,654.0,8128571
2024-03-01,665.4127807617188,671.3499755859375,696.0,668.2000122070312,693.3499755859375,1345119
2024-03-04,666.9985961914062,672.9500122070312,694.2000122070312,671.0,694.2000122070312,1516854
2024-03-05,674.1845092773438,680.2000122070312,687.0,671.25,677.0,1165243
2024-03-06,675.2747802734375,681.2999877929688,686.7000122070312,663.1500244140625,681.0,1282712
2024-03-07,678.2977905273438,684.3499755859375,695.25,678.5,680.5,2177919
2024-03-11,695.1474609375,701.3499755859375,715.2000122070312,682.5499877929688,690.0,2312254
2024-03-12,680.8748779296875,686.9500122070312,708.0,679.5,703.4500122070312,1391629
2024-03-13,636.8179321289062,642.5,688.0499877929688,603.6500244140625,684.0,6954030
2024-03-14,633.2498168945312,638.9000244140625,648.0,622.0499877929688,629.2999877929688,2642690
2024-03-15,635.9258422851562,641.5999755859375,647.1500244140625,626.4000244140625,639.0,1970945
2024-03-18,657.1862182617188,663.0499877929688,669.0999755859375,645.0,645.0,2360158
2024-03-19,648.0180053710938,653.7999877929688,664.4000244140625,648.0,664.0,1064611
2024-03-20,632.2090454101562,637.8499755859375,653.5499877929688,631.0999755859375,649.9000244140625,1353887
2024-03-21,672.8960571289062,678.9000244140625,687.7000122070312,644.5999755859375,644.8499755859375,3073721
2024-03-22,685.3350219726562,691.4500122070312,698.7000122070312,674.0499877929688,676.7999877929688,2338126
2024-03-26,693.4129638671875,699.5999755859375,704.7000122070312,685.0999755859375,689.9000244140625,2601520
2024-03-27,675.4235229492188,681.4500122070312,716.0,678.0,703.0,1814402
2024-03-28,699.706787109375,705.9500122070312,711.9000244140625,671.9500122070312,685.5999755859375,1914651
2024-04-01,678.149169921875,684.2000122070312,714.0,682.9000244140625,709.9500122070312,1313357
2024-04-02,672.2022094726562,678.2000122070312,697.6500244140625,675.0,689.5999755859375,1237754
2024-04-03,664.5703125,670.5,689.0,662.75,684.0999755859375,1790061
2024-04-04,657.2853393554688,663.1500244140625,680.6500244140625,662.0,680.5499877929688,1361499
2024-04-05,656.7401123046875,662.5999755859375,678.9000244140625,659.2000122070312,665.0,1073942
2024-04-08,640.0887451171875,645.7999877929688,667.0,642.5,667.0,1321109
2024-04-09,638.3046875,644.0,663.3499755859375,643.0,649.4000244140625,1378613
2024-04-10,645.9365844726562,651.7000122070312,673.2000122070312,645.0,650.0,2534713
2024-04-12,673.9862670898438,680.0,706.0999755859375,660.0999755859375,665.0,9623414
2024-04-15,660.0606079101562,665.9500122070312,679.0,652.0,662.0499877929688,1527913
2024-04-16,671.4093017578125,677.4000244140625,687.9000244140625,658.0999755859375,660.0,1533800
2024-04-18,671.5084228515625,677.5,691.0,673.5999755859375,688.0,1354164
2024-04-19,675.2252197265625,681.25,687.7000122070312,660.0499877929688,669.9500122070312,1542489
