date_,adj close_deepakfert.ns,close_deepakfert.ns,high_deepakfert.ns,low_deepakfert.ns,open_deepakfert.ns,volume_deepakfert.ns
2024-01-16,652.3267211914062,662.25,677.0,647.5999755859375,653.3499755859375,710743
2024-01-17,643.8063354492188,653.5999755859375,661.9000244140625,649.0499877929688,660.0,362609
2024-01-18,638.0932006835938,647.7999877929688,657.9500122070312,630.5,653.0,436946
2024-01-19,635.0889282226562,644.75,664.7999877929688,643.5,651.0499877929688,495667
2024-01-23,619.4765014648438,628.9000244140625,658.0,625.0,658.0,485414
2024-01-24,628.1445922851562,637.7000122070312,641.5499877929688,621.0,627.0,360879
2024-01-25,627.8490600585938,637.4000244140625,651.2999877929688,630.0499877929688,637.7000122070312,579382
2024-01-29,618.6884155273438,628.0999755859375,643.2999877929688,626.0,638.0499877929688,436421
2024-01-30,606.6712646484375,615.9000244140625,632.9500122070312,614.0,628.1500244140625,461362
2024-01-31,608.8875732421875,618.1500244140625,627.2999877929688,612.75,615.9000244140625,487417
2024-02-01,571.0629272460938,579.75,624.9000244140625,570.5999755859375,618.1500244140625,1980261
2024-02-02,565.4483032226562,574.0499877929688,594.4500122070312,570.0,575.0,1318929
2024-02-05,532.6472778320312,540.75,577.0999755859375,537.5,574.7999877929688,1495356
2024-02-06,529.8892822265625,537.9500122070312,550.5999755859375,532.5999755859375,535.0999755859375,1165819
2024-02-07,527.0819091796875,535.0999755859375,549.2999877929688,532.7999877929688,547.0,628167
2024-02-08,516.4930419921875,524.3499755859375,542.5,519.7999877929688,535.9500122070312,678965
2024-02-09,507.57861328125,515.2999877929688,529.5,512.5499877929688,528.9500122070312,560987
2024-02-12,492.55712890625,500.04998779296875,517.0999755859375,497.8500061035156,515.5,654659
2024-02-13,487.632080078125,495.04998779296875,503.79998779296875,483.3500061035156,500.1000061035156,827799
2024-02-14,483.44573974609375,490.79998779296875,499.70001220703125,488.5,495.0,633883
2024-02-15,500.2895202636719,507.8999938964844,515.2999877929688,491.95001220703125,493.5,995334
2024-02-16,487.09033203125,494.5,514.4000244140625,492.70001220703125,506.5,777790
