date_,adj close_hcltech.ns,close_hcltech.ns,high_hcltech.ns,low_hcltech.ns,open_hcltech.ns,volume_hcltech.ns
2024-01-16,1436.253662109375,1555.449951171875,1587.0,1538.0,1587.0,4459799
2024-01-17,1455.13671875,1575.9000244140625,1585.0,1516.550048828125,1520.0,3846289
2024-01-18,1447.426513671875,1567.550048828125,1584.199951171875,1537.050048828125,1577.0,3205598
2024-01-19,1458.964599609375,1567.949951171875,1590.0,1558.050048828125,1570.0,2374099
2024-01-23,1417.743896484375,1523.6500244140625,1567.9000244140625,1517.050048828125,1558.9000244140625,3196630
2024-01-24,1466.8271484375,1576.4000244140625,1581.199951171875,1523.699951171875,1530.0999755859375,2136023
2024-01-25,1442.4949951171875,1550.25,1570.0,1536.75,1570.0,2641656
2024-01-29,1465.105712890625,1574.550048828125,1588.5999755859375,1550.25,1565.0,2521598
2024-01-30,1450.9161376953125,1559.300048828125,1592.449951171875,1555.0,1580.0,1939386
2024-01-31,1466.4549560546875,1576.0,1581.300048828125,1546.3499755859375,1559.300048828125,7025931
2024-02-01,1467.7578125,1577.4000244140625,1597.0,1566.3499755859375,1576.0,2845408
2024-02-02,1473.66650390625,1583.75,1613.9000244140625,1575.0,1584.800048828125,2337374
2024-02-05,1447.240478515625,1555.3499755859375,1588.5,1551.449951171875,1584.949951171875,1452864
2024-02-06,1510.8861083984375,1623.75,1627.0,1558.050048828125,1566.0,4988311
2024-02-07,1503.0699462890625,1615.3499755859375,1629.9000244140625,1598.949951171875,1628.0,3320199
2024-02-08,1520.237548828125,1633.800048828125,1647.699951171875,1617.300048828125,1626.0,3496692
2024-02-09,1517.259765625,1630.5999755859375,1646.75,1614.6500244140625,1640.0,3341297
2024-02-12,1551.08349609375,1666.949951171875,1685.0,1639.0,1639.0,4885445
2024-02-13,1549.8272705078125,1665.5999755859375,1675.0,1648.5999755859375,1675.0,3129897
2024-02-14,1555.3170166015625,1671.5,1676.9000244140625,1625.449951171875,1649.75,1386643
2024-02-15,1546.9891357421875,1662.550048828125,1696.5,1650.0999755859375,1678.0,2555162
2024-02-16,1551.5484619140625,1667.449951171875,1677.0,1650.050048828125,1675.0,1776881
2024-02-19,1558.8065185546875,1675.25,1682.949951171875,1659.6500244140625,1670.0,762624
2024-02-20,1547.45458984375,1663.050048828125,1672.75,1645.0,1661.0,2240414
2024-02-21,1522.563720703125,1636.300048828125,1664.800048828125,1632.050048828125,1655.550048828125,2890991
2024-02-22,1569.1812744140625,1686.4000244140625,1691.4000244140625,1639.0,1644.0,3820901
2024-02-23,1549.9669189453125,1665.75,1697.3499755859375,1663.449951171875,1697.0,2191549
2024-02-26,1535.12548828125,1649.800048828125,1668.8499755859375,1639.5,1665.75,1844253
2024-02-27,1543.4998779296875,1658.800048828125,1673.4000244140625,1648.0,1649.0,2049420
2024-02-28,1537.07958984375,1651.9000244140625,1672.0,1644.199951171875,1664.699951171875,936575
2024-02-29,1548.19873046875,1663.8499755859375,1677.75,1636.6500244140625,1642.1500244140625,3532888
2024-03-01,1529.821533203125,1644.0999755859375,1679.199951171875,1639.0999755859375,1675.449951171875,2371138
2024-03-04,1524.0989990234375,1637.949951171875,1654.0,1635.0,1649.0,1788071
2024-03-05,1506.7919921875,1619.3499755859375,1629.949951171875,1607.050048828125,1624.0,3339546
2024-03-06,1529.9146728515625,1644.199951171875,1650.0,1603.8499755859375,1613.0,2366177
2024-03-07,1523.8199462890625,1637.6500244140625,1654.550048828125,1630.0999755859375,1650.0,3181239
2024-03-11,1524.75048828125,1638.6500244140625,1659.800048828125,1632.050048828125,1655.0,2970902
2024-03-12,1521.9124755859375,1635.5999755859375,1665.0,1633.050048828125,1635.9000244140625,2414182
2024-03-13,1518.0972900390625,1631.5,1651.25,1610.3499755859375,1638.75,2564135
2024-03-14,1562.528564453125,1679.25,1683.0,1610.0,1634.0,3513306
2024-03-15,1532.799072265625,1647.300048828125,1677.0,1642.8499755859375,1677.0,3931561
2024-03-18,1529.17041015625,1643.4000244140625,1663.300048828125,1634.25,1649.9000244140625,1183544
2024-03-19,1487.9959716796875,1599.1500244140625,1641.550048828125,1594.0999755859375,1641.550048828125,1915379
2024-03-20,1476.7835693359375,1587.0999755859375,1619.0999755859375,1578.0999755859375,1604.75,1815178
2024-03-21,1484.87890625,1595.800048828125,1619.949951171875,1583.3499755859375,1608.0,2684744
2024-03-22,1449.566650390625,1557.8499755859375,1571.449951171875,1508.199951171875,1560.0,7468824
2024-03-26,1453.6607666015625,1562.25,1592.550048828125,1555.550048828125,1562.25,4496344
2024-03-27,1438.7264404296875,1546.199951171875,1576.8499755859375,1540.0,1569.0,2589697
2024-03-28,1436.2606201171875,1543.550048828125,1561.050048828125,1531.0,1549.0,5301493
2024-04-01,1448.4967041015625,1556.699951171875,1569.0,1548.0,1549.0,1014857
2024-04-02,1422.070556640625,1528.300048828125,1565.0,1525.0999755859375,1559.0,2031775
2024-04-03,1429.0955810546875,1535.8499755859375,1558.449951171875,1518.0,1525.3499755859375,3343884
2024-04-04,1432.6317138671875,1539.6500244140625,1552.5,1518.699951171875,1540.800048828125,3388449
2024-04-05,1437.842529296875,1545.25,1547.699951171875,1523.800048828125,1542.449951171875,2773570
