date_,adj close_pcbl.ns,close_pcbl.ns,high_pcbl.ns,low_pcbl.ns,open_pcbl.ns,volume_pcbl.ns
2024-01-16,268.13018798828125,281.6000061035156,283.70001220703125,276.29998779296875,279.0,6171026
2024-01-17,265.464111328125,278.79998779296875,290.8500061035156,274.3999938964844,280.3999938964844,7346198
2024-01-18,296.1238708496094,311.0,317.95001220703125,278.5,278.79998779296875,37563894
2024-01-19,295.3621826171875,310.20001220703125,316.8999938964844,308.0,314.0,7253080
2024-01-23,289.982421875,304.54998779296875,329.6499938964844,302.0,328.45001220703125,5594427
2024-01-24,305.88360595703125,321.25,326.20001220703125,305.29998779296875,306.1000061035156,9183874
2024-01-25,306.8833923339844,322.29998779296875,328.0,317.0,321.04998779296875,5150042
2024-01-29,313.3252258300781,323.45001220703125,332.5,317.3999938964844,322.1000061035156,4752135
2024-01-30,309.98321533203125,320.0,336.29998779296875,316.5,323.45001220703125,3572417
2024-01-31,308.67547607421875,318.6499938964844,321.79998779296875,310.1000061035156,320.0,2885469
2024-02-01,307.7552490234375,317.70001220703125,322.75,313.0,319.8999938964844,1913562
2024-02-02,309.98321533203125,320.0,325.95001220703125,318.1000061035156,320.79998779296875,2011397
2024-02-05,311.48468017578125,321.54998779296875,335.0,315.04998779296875,315.04998779296875,5830378
2024-02-06,313.95489501953125,324.1000061035156,335.0,319.95001220703125,322.5,3318939
2024-02-07,314.6814270019531,324.8500061035156,328.79998779296875,317.75,326.8999938964844,2197309
2024-02-08,323.7871398925781,334.25,343.5,326.29998779296875,327.8500061035156,7899121
2024-02-09,309.6441650390625,319.6499938964844,338.45001220703125,313.6000061035156,336.6000061035156,3280483
2024-02-12,286.39544677734375,295.6499938964844,321.3999938964844,291.6000061035156,320.8999938964844,3696575
2024-02-13,288.52655029296875,297.8500061035156,302.0,283.29998779296875,295.6499938964844,3291591
2024-02-14,292.4497985839844,301.8999938964844,305.0,291.29998779296875,294.8500061035156,1853659
2024-02-15,297.002685546875,306.6000061035156,314.29998779296875,304.1000061035156,304.25,2019685
2024-02-16,316.2797546386719,326.5,332.70001220703125,309.5,309.8999938964844,7393381
2024-02-19,308.1911315917969,318.1499938964844,328.3500061035156,315.04998779296875,328.0,2662389
2024-02-20,303.34765625,313.1499938964844,318.5,312.25,317.6499938964844,1778233
2024-02-21,293.17633056640625,302.6499938964844,316.8999938964844,301.25,315.70001220703125,2088215
2024-02-22,296.3730163574219,305.95001220703125,314.6000061035156,303.0,303.0,2736537
2024-02-23,291.529541015625,300.95001220703125,308.1000061035156,300.04998779296875,308.0,1802078
2024-02-26,295.0652770996094,304.6000061035156,310.0,300.5,301.0,1369078
2024-02-27,293.0794372558594,302.54998779296875,307.0,301.0,305.8999938964844,1014418
2024-02-28,277.5318603515625,286.5,303.79998779296875,285.20001220703125,302.54998779296875,3147322
2024-02-29,277.095947265625,286.04998779296875,289.70001220703125,278.0,288.04998779296875,3472282
2024-03-01,285.6689147949219,294.8999938964844,297.45001220703125,288.1000061035156,288.1000061035156,1428179
2024-03-04,280.583251953125,289.6499938964844,300.70001220703125,287.8999938964844,299.70001220703125,1469577
2024-03-05,273.89923095703125,282.75,290.25,282.1000061035156,289.0,1701491
2024-03-06,266.9245910644531,275.54998779296875,281.79998779296875,271.70001220703125,280.04998779296875,2073543
2024-03-07,260.1921691894531,268.6000061035156,279.70001220703125,268.04998779296875,277.75,2507997
2024-03-11,242.41656494140625,250.25,269.1000061035156,245.4499969482422,268.6000061035156,7451003
2024-03-12,237.282470703125,244.9499969482422,255.0,238.5500030517578,252.6999969482422,6542920
2024-03-13,223.76913452148438,231.0,253.25,225.1999969482422,245.0,4814925
2024-03-14,246.14605712890625,254.10000610351562,257.29998779296875,230.5,232.89999389648438,6520122
2024-03-15,237.33090209960938,245.0,255.1999969482422,240.1999969482422,250.0,3481021
2024-03-18,239.94638061523438,247.6999969482422,258.75,246.0,248.0,4610189
2024-03-19,239.17141723632812,246.89999389648438,253.35000610351562,244.60000610351562,247.75,2105836
2024-03-20,237.5730743408203,245.25,252.1999969482422,241.5500030517578,247.64999389648438,1204914
2024-03-21,242.12596130371094,249.9499969482422,254.89999389648438,248.3000030517578,249.0,1889687
2024-03-22,254.33152770996094,262.54998779296875,264.6000061035156,251.6999969482422,251.89999389648438,4380747
2024-03-26,253.41128540039062,261.6000061035156,265.6499938964844,256.54998779296875,263.29998779296875,2315978
2024-03-27,256.5595397949219,264.8500061035156,269.29998779296875,261.79998779296875,263.0,2230834
2024-03-28,259.32037353515625,267.70001220703125,280.0,265.20001220703125,275.5,8298643
2024-04-01,266.68243408203125,275.29998779296875,276.5,268.8500061035156,271.0,1815760
2024-04-02,269.4916687011719,278.20001220703125,281.8500061035156,273.0,277.0,2808162
2024-04-03,273.26959228515625,282.1000061035156,284.6000061035156,274.8500061035156,278.20001220703125,2846112
2024-04-04,270.5087890625,279.25,286.20001220703125,277.1499938964844,284.75,2057403
2024-04-05,273.3179931640625,282.1499938964844,284.95001220703125,274.54998779296875,278.8999938964844,1868231
2024-04-08,266.10125732421875,274.70001220703125,283.8999938964844,273.3500061035156,283.8999938964844,2345543
