date_,adj close_hindcopper.ns,close_hindcopper.ns,high_hindcopper.ns,low_hindcopper.ns,open_hindcopper.ns,volume_hindcopper.ns
2024-01-16,264.8175354003906,266.95001220703125,275.0,260.0,263.0,17876839
2024-01-17,257.1294250488281,259.20001220703125,267.8999938964844,258.0,263.0,5661863
2024-01-18,251.92135620117188,253.9499969482422,261.70001220703125,245.0,259.3500061035156,8060046
2024-01-19,262.7342834472656,264.8500061035156,266.0,255.89999389648438,256.70001220703125,7825737
2024-01-23,256.6334228515625,258.70001220703125,273.0,255.60000610351562,273.0,14571045
2024-01-24,271.4639587402344,273.6499938964844,275.0,257.3500061035156,258.75,15640330
2024-01-25,279.69769287109375,281.95001220703125,285.5,271.5,275.45001220703125,19879601
2024-01-29,281.2848815917969,283.54998779296875,288.5,274.3500061035156,284.6000061035156,14765969
2024-01-30,283.3185119628906,285.6000061035156,292.75,284.3500061035156,285.0,13178452
2024-01-31,286.7409362792969,289.04998779296875,295.5,285.0,285.8999938964844,8872673
2024-02-01,290.0146179199219,292.3500061035156,293.70001220703125,280.95001220703125,290.6499938964844,8338469
2024-02-02,298.6947021484375,301.1000061035156,306.8500061035156,289.1000061035156,294.5,20196955
2024-02-05,291.05621337890625,293.3999938964844,304.8500061035156,287.04998779296875,302.25,9518730
2024-02-06,295.6690368652344,298.04998779296875,300.20001220703125,289.1000061035156,295.54998779296875,6043988
2024-02-07,293.5858459472656,295.95001220703125,306.29998779296875,294.54998779296875,301.1000061035156,5534031
2024-02-08,287.2369384765625,289.54998779296875,297.75,286.6499938964844,297.0,4610174
2024-02-09,267.9919128417969,270.1499938964844,289.95001220703125,264.1000061035156,289.6000061035156,12221359
2024-02-12,239.0251922607422,240.9499969482422,274.04998779296875,234.0,272.5,12588330
2024-02-13,248.79652404785156,250.8000030517578,252.5500030517578,237.0,240.75,14133581
2024-02-14,257.37744140625,259.45001220703125,263.29998779296875,237.6999969482422,239.10000610351562,18172415
2024-02-15,254.35177612304688,256.3999938964844,264.5,252.1999969482422,264.5,6757137
2024-02-16,256.2366027832031,258.29998779296875,263.8999938964844,256.6000061035156,258.20001220703125,3579879
2024-02-19,253.0125732421875,255.0500030517578,263.79998779296875,254.1999969482422,258.6499938964844,4400815
2024-02-20,248.10211181640625,250.10000610351562,257.70001220703125,249.1999969482422,255.0,3757137
2024-02-21,244.0348663330078,246.0,262.20001220703125,243.60000610351562,251.0,8668831
2024-02-22,260.9982604980469,263.1000061035156,264.79998779296875,247.0,249.0,15152414
2024-02-23,260.9486389160156,263.04998779296875,266.1499938964844,260.29998779296875,265.1499938964844,4675158
2024-02-26,260.35345458984375,262.45001220703125,267.79998779296875,257.25,263.6000061035156,5453854
2024-02-27,250.97894287109375,253.0,264.3999938964844,251.60000610351562,261.8500061035156,9683917
2024-02-28,251.92135620117188,253.9499969482422,260.8999938964844,252.60000610351562,254.39999389648438,10882873
2024-02-29,267.64471435546875,269.79998779296875,271.8999938964844,251.0500030517578,254.0,23977798
2024-03-01,269.9263610839844,272.1000061035156,274.95001220703125,267.6000061035156,271.8999938964844,7848874
2024-03-04,281.7313232421875,284.0,290.0,281.6000061035156,284.5,11993501
2024-03-05,282.9713134765625,285.25,289.29998779296875,283.20001220703125,284.3999938964844,6109772
2024-03-06,278.7056884765625,280.95001220703125,286.5,271.25,283.95001220703125,7799665
2024-03-07,277.76324462890625,280.0,286.0,278.5,282.0,4698074
2024-03-11,266.9503173828125,269.1000061035156,281.54998779296875,267.04998779296875,281.54998779296875,4953456
2024-03-12,254.05418395996094,256.1000061035156,269.1000061035156,253.64999389648438,269.04998779296875,7588996
2024-03-13,233.17233276367188,235.0500030517578,258.79998779296875,231.0,256.70001220703125,12151483
2024-03-14,260.6014709472656,262.70001220703125,265.54998779296875,237.10000610351562,242.5,23144188
2024-03-15,268.98394775390625,271.1499938964844,275.6000061035156,255.75,262.0,39164127
2024-03-18,267.09912109375,269.25,273.8999938964844,263.70001220703125,271.20001220703125,7535501
2024-03-19,258.4685974121094,260.54998779296875,272.8500061035156,259.25,270.0,5949736
2024-03-20,253.85577392578125,255.89999389648438,264.8999938964844,250.89999389648438,261.75,7715028
2024-03-21,271.2159729003906,273.3999938964844,275.0,261.45001220703125,262.0,12123658
2024-03-22,266.70233154296875,268.8500061035156,275.25,267.0,273.79998779296875,11447912
2024-03-26,280.2928771972656,282.54998779296875,285.75,267.25,268.8500061035156,20516082
2024-03-27,282.72332763671875,285.0,291.70001220703125,283.0,283.95001220703125,20697044
2024-03-28,275.8288269042969,278.04998779296875,290.45001220703125,273.29998779296875,287.0,14832318
2024-04-01,307.3747863769531,309.8500061035156,312.6499938964844,280.1499938964844,280.1499938964844,35423166
2024-04-02,306.5315856933594,309.0,313.70001220703125,304.70001220703125,309.0,21092431
2024-04-03,308.9620361328125,311.45001220703125,314.29998779296875,306.1000061035156,307.45001220703125,12997372
2024-04-04,311.4420471191406,313.95001220703125,324.0,311.5,321.0,14501703
2024-04-05,319.8245544433594,322.3999938964844,326.3999938964844,307.0,312.8999938964844,20958999
2024-04-08,328.7030334472656,331.3500061035156,332.75,320.25,326.04998779296875,17356080
2024-04-09,355.48736572265625,358.3500061035156,366.3999938964844,331.45001220703125,334.1000061035156,60120542
2024-04-10,354.9913635253906,357.8500061035156,363.70001220703125,351.3999938964844,359.70001220703125,18813514
2024-04-12,359.5050048828125,362.3999938964844,377.0,355.0,357.3500061035156,24343182
2024-04-15,350.9241027832031,353.75,365.29998779296875,349.8500061035156,360.0,15741753
2024-04-16,354.5945739746094,357.45001220703125,367.8999938964844,349.45001220703125,351.0,11856229
2024-04-18,352.6601257324219,355.5,366.95001220703125,352.1499938964844,360.5,10582705
2024-04-19,361.19146728515625,364.1000061035156,365.0,346.5,355.0,13850416
2024-04-22,376.02197265625,379.04998779296875,394.0,371.29998779296875,371.29998779296875,38708175
2024-04-23,369.0779113769531,372.04998779296875,381.70001220703125,371.1000061035156,381.54998779296875,8476391
2024-04-24,376.6172180175781,379.6499938964844,381.8999938964844,372.20001220703125,374.8999938964844,11212331
2024-04-25,377.75799560546875,380.79998779296875,386.8999938964844,374.70001220703125,380.20001220703125,14965329
2024-04-26,387.87652587890625,391.0,397.0,384.1000061035156,384.75,29035791
2024-04-29,385.7933044433594,388.8999938964844,401.6499938964844,386.0,395.0,13277520
2024-04-30,382.9164733886719,386.0,397.3999938964844,384.75,395.0,7723438
2024-05-02,388.3229675292969,391.45001220703125,395.0,384.79998779296875,386.0,9706243
2024-05-03,384.5036926269531,387.6000061035156,393.3500061035156,374.6000061035156,393.0,12628632
2024-05-06,374.68280029296875,377.70001220703125,392.5,370.04998779296875,390.6000061035156,14724178
2024-05-07,363.4730529785156,366.3999938964844,380.79998779296875,361.79998779296875,379.0,10200797
2024-05-08,366.9947204589844,369.95001220703125,376.79998779296875,363.6000061035156,365.79998779296875,6802052
2024-05-09,354.6937255859375,357.54998779296875,373.1000061035156,355.0,371.0,5815664
2024-05-10,369.9707336425781,372.95001220703125,374.79998779296875,356.1499938964844,361.04998779296875,10615790
2024-05-13,363.8698425292969,366.79998779296875,370.45001220703125,354.45001220703125,370.45001220703125,9525604
2024-05-14,376.22039794921875,379.25,383.1000061035156,370.6000061035156,370.6000061035156,9772990
2024-05-15,380.5356750488281,383.6000061035156,389.0,377.6499938964844,384.8999938964844,10330102
2024-05-16,374.781982421875,377.79998779296875,387.3999938964844,373.5,386.95001220703125,6102087
2024-05-17,380.88287353515625,383.95001220703125,386.20001220703125,376.8500061035156,378.5,10061695
2024-05-21,395.96142578125,399.1499938964844,401.3999938964844,387.6000061035156,395.0,23674398
2024-05-22,379.9404296875,383.0,415.79998779296875,381.1499938964844,405.6499938964844,53472984
2024-05-23,371.21075439453125,374.20001220703125,380.8999938964844,369.25,380.8999938964844,11769601
2024-05-24,368.63153076171875,371.6000061035156,381.8999938964844,370.04998779296875,375.0,7119785
2024-05-27,365.45709228515625,368.3999938964844,379.5,362.20001220703125,375.0,10914259
2024-05-28,370.8635559082031,373.8500061035156,377.3500061035156,369.6000061035156,371.79998779296875,8670446
2024-05-29,374.0379638671875,377.04998779296875,381.0,367.6499938964844,372.79998779296875,8270469
2024-05-30,351.56890869140625,354.3999938964844,375.25,351.6000061035156,373.0,17523289
2024-05-31,353.0569152832031,355.8999938964844,364.3999938964844,353.5,359.0,16814960
2024-06-03,367.5403137207031,370.5,377.0,358.6499938964844,374.0,13759533
2024-06-04,296.21466064453125,298.6000061035156,370.0,277.8999938964844,370.0,35052909
2024-06-05,318.3861389160156,320.95001220703125,326.6499938964844,286.70001220703125,305.0,16878845
2024-06-06,334.6054992675781,337.29998779296875,350.70001220703125,324.3500061035156,325.0,17041987
2024-06-07,337.58154296875,340.29998779296875,343.5,332.20001220703125,337.70001220703125,8659828
