date_,adj close_pghh.ns,close_pghh.ns,high_pghh.ns,low_pghh.ns,open_pghh.ns,volume_pghh.ns
2024-01-16,16739.755859375,17225.75,17432.900390625,17115.0,17330.0,2434
2024-01-17,16760.310546875,17246.900390625,17329.94921875,17118.0,17256.0,2957
2024-01-18,16822.01953125,17310.400390625,17335.849609375,17076.900390625,17240.0,2231
2024-01-19,16800.15625,17287.900390625,17420.05078125,17177.75,17310.400390625,1948
2024-01-23,16567.169921875,17048.150390625,17361.099609375,17003.099609375,17350.0,2706
2024-01-24,16778.677734375,17265.80078125,17280.400390625,17001.099609375,17048.0,3377
2024-01-25,16601.521484375,17083.5,17260.05078125,17040.0,17260.0,2350
2024-01-29,16779.79296875,17266.94921875,17317.0,17052.55078125,17169.0,2747
2024-01-30,16664.587890625,17148.400390625,17266.94921875,17055.0,17266.94921875,3528
2024-01-31,16758.609375,17245.150390625,17300.0,17062.599609375,17148.0,26730
2024-02-01,16544.0390625,17024.349609375,17298.0,17002.0,17262.0,2993
2024-02-02,16419.990234375,16896.69921875,17181.0,16830.30078125,17124.0,6950
2024-02-05,16266.9833984375,16739.25,16993.650390625,16722.400390625,16900.0,5148
2024-02-06,16281.560546875,16754.25,16900.0,16612.099609375,16823.25,4844
2024-02-07,16242.5419921875,16714.099609375,16889.94921875,16530.0,16889.94921875,8917
2024-02-08,16113.8759765625,16581.69921875,16802.099609375,16556.05078125,16763.05078125,17229
2024-02-09,16242.1767578125,16552.44921875,16774.900390625,16299.0,16580.0,3920
2024-02-12,16080.0244140625,16387.19921875,16615.94921875,16301.25,16554.0,2916
2024-02-13,16088.169921875,16395.5,16443.94921875,16290.349609375,16387.19921875,4343
2024-02-14,16294.3818359375,16605.650390625,16680.05078125,16364.7998046875,16388.0,2423
2024-02-15,16176.4326171875,16485.44921875,16699.849609375,16430.0,16699.849609375,1704
2024-02-16,16155.826171875,16464.44921875,16579.94921875,16343.5,16485.44921875,2810
2024-02-19,16244.0400390625,16554.349609375,16648.900390625,16450.400390625,16500.0,2788
2024-02-20,16244.6298828125,16554.94921875,16621.44921875,16370.0,16555.0,2146
2024-02-21,16463.599609375,16778.099609375,16816.0,16569.94921875,16570.0,3602
2024-02-22,16480.623046875,16795.44921875,16840.0,16725.0,16778.099609375,7635
2024-02-23,16401.189453125,16714.5,16825.0,16651.44921875,16800.0,25075
2024-02-26,16167.1103515625,16475.94921875,16798.099609375,16300.0,16798.099609375,22011
