date_,adj close_angelone.ns,close_angelone.ns,high_angelone.ns,low_angelone.ns,open_angelone.ns,volume_angelone.ns
2024-01-16,3258.26318359375,3329.89990234375,3605.0,3280.0,3500.0,2784753
2024-01-17,3261.639404296875,3333.35009765625,3494.0,3240.14990234375,3390.0,1415266
2024-01-18,3223.722900390625,3294.60009765625,3388.0,3270.0,3371.0,462958
2024-01-19,3266.18896484375,3338.0,3377.60009765625,3297.0,3349.89990234375,241730
2024-01-23,2919.611328125,2972.449951171875,3296.449951171875,2930.0,3275.0,618379
2024-01-24,2884.44775390625,2936.64990234375,3044.0,2876.050048828125,2995.0,843096
2024-01-25,2869.2724609375,2921.199951171875,2981.0,2843.5,2960.0,658771
2024-01-29,2897.85498046875,2950.300048828125,2959.0,2846.25,2921.199951171875,776276
2024-01-30,3038.755126953125,3093.75,3114.39990234375,2951.050048828125,2967.949951171875,661400
2024-01-31,3226.949462890625,3285.35009765625,3299.0,3071.300048828125,3117.0,558315
2024-02-01,3299.142822265625,3358.85009765625,3377.89990234375,3285.0,3290.0,489470
2024-02-02,3279.00732421875,3338.35009765625,3436.10009765625,3221.0,3399.89990234375,424636
2024-02-05,3155.443115234375,3212.550048828125,3354.550048828125,3192.0,3325.0,244132
2024-02-06,3076.81640625,3132.5,3253.199951171875,3060.199951171875,3212.64990234375,337693
2024-02-07,3285.538818359375,3345.0,3363.449951171875,3202.800048828125,3219.0,457752
2024-02-08,3337.989501953125,3398.39990234375,3438.199951171875,3363.0,3363.0,366387
2024-02-09,3334.011962890625,3394.35009765625,3437.60009765625,3301.0,3418.699951171875,206713
2024-02-12,3147.241943359375,3204.199951171875,3418.14990234375,3180.0,3400.0,209280
2024-02-13,3205.045654296875,3263.050048828125,3283.39990234375,3117.050048828125,3204.199951171875,172574
2024-02-14,3217.6181640625,3275.85009765625,3293.449951171875,3192.75,3225.0,138884
2024-02-15,3211.62646484375,3269.75,3318.449951171875,3251.60009765625,3305.300048828125,136826
2024-02-16,3216.930419921875,3275.14990234375,3308.949951171875,3235.25,3287.0,94931
2024-02-19,3171.94482421875,3229.35009765625,3304.10009765625,3156.949951171875,3295.0,123064
2024-02-20,3093.12109375,3149.10009765625,3270.0,3124.449951171875,3239.39990234375,218690
2024-02-21,3034.433349609375,3089.35009765625,3185.800048828125,3080.0,3170.0,131298
2024-02-22,3009.14111328125,3063.60009765625,3143.449951171875,3036.0,3127.449951171875,282345
2024-02-23,2984.340087890625,3038.35009765625,3125.0,3022.10009765625,3120.0,320652
2024-02-26,2920.05322265625,2972.89990234375,3092.10009765625,2956.10009765625,3040.0,310403
2024-02-27,2865.93310546875,2917.800048828125,3025.0,2910.0,3025.0,365886
2024-02-28,2816.232177734375,2867.199951171875,2945.0,2856.550048828125,2944.0,223116
2024-02-29,2733.234375,2782.699951171875,2900.0,2750.5,2869.0,685326
