date_,adj close_astrazen.ns,close_astrazen.ns,high_astrazen.ns,low_astrazen.ns,open_astrazen.ns,volume_astrazen.ns
2024-01-16,6247.17236328125,6289.7001953125,6487.9501953125,6101.0,6154.75,23414
2024-01-17,6279.2041015625,6321.9501953125,6384.4501953125,6187.5498046875,6289.0498046875,10305
2024-01-18,6271.55615234375,6314.25,6365.2998046875,6174.9501953125,6319.0,7829
2024-01-19,6256.35986328125,6298.9501953125,6366.0,6250.2998046875,6300.25,3264
2024-01-23,6281.43896484375,6324.2001953125,6600.0,6178.9501953125,6567.64990234375,10560
2024-01-24,6368.6943359375,6412.0498046875,6488.9501953125,6297.7001953125,6399.0,4962
2024-01-25,6259.0908203125,6301.7001953125,6430.0,6289.35009765625,6430.0,3675
2024-01-29,6276.125,6318.85009765625,6394.9501953125,6275.5498046875,6394.9501953125,3129
2024-01-30,6306.3193359375,6349.25,6360.0,6270.2998046875,6300.25,5800
2024-01-31,6571.861328125,6616.60009765625,6872.0,6399.85009765625,6400.0,47932
2024-02-01,6453.8154296875,6497.75,6648.7001953125,6405.0,6616.60009765625,6032
2024-02-02,6431.61669921875,6475.39990234375,6561.60009765625,6401.5498046875,6425.0,4032
2024-02-05,6611.19384765625,6656.2001953125,6723.0,6460.0,6460.0,6162
2024-02-06,6880.21240234375,6927.0498046875,7220.9501953125,6656.9501953125,6669.7998046875,46969
2024-02-07,6737.13671875,6783.0,6925.0,6750.0,6835.0,12116
2024-02-08,6525.52734375,6569.9501953125,6950.0,6482.64990234375,6920.0,18692
2024-02-09,5683.658203125,5722.35009765625,5928.4501953125,5550.0,5905.60009765625,222259
2024-02-12,5406.84228515625,5443.64990234375,5798.85009765625,5363.85009765625,5722.35009765625,29366
2024-02-13,5368.15625,5404.7001953125,5590.0,5228.4501953125,5452.9501953125,30341
2024-02-14,5321.87109375,5358.10009765625,5489.7998046875,5322.5,5439.0,13335
2024-02-15,5473.19091796875,5510.4501953125,5538.0,5362.25,5369.7998046875,13045
2024-02-16,5465.8408203125,5503.0498046875,5565.4501953125,5454.0,5565.39990234375,13789
2024-02-19,5463.60595703125,5500.7998046875,5550.0,5480.25,5500.0,9794
2024-02-20,5440.31494140625,5477.35009765625,5557.5,5455.0,5520.89990234375,6951
2024-02-21,5458.93798828125,5496.10009765625,5527.2998046875,5423.2998046875,5515.7001953125,11466
2024-02-22,5464.00390625,5501.2001953125,5533.0,5396.10009765625,5499.7998046875,24022
2024-02-23,5470.50927734375,5507.75,5539.7998046875,5478.14990234375,5519.39990234375,5372
2024-02-26,5424.62109375,5461.5498046875,5541.5498046875,5442.5,5507.0,2850
2024-02-27,5533.728515625,5571.39990234375,5586.0,5445.0,5461.5498046875,17811
2024-02-28,5475.078125,5512.35009765625,5630.0,5445.14990234375,5578.0,10827
2024-02-29,5479.24951171875,5516.5498046875,5590.0,5405.0,5524.85009765625,11820
2024-03-01,5412.35546875,5449.2001953125,5542.9501953125,5425.0,5521.25,5777
2024-03-04,5413.05029296875,5449.89990234375,5478.9501953125,5397.39990234375,5450.2001953125,24663
2024-03-05,5415.58349609375,5452.4501953125,5483.89990234375,5373.10009765625,5440.0,16777
2024-03-06,5358.869140625,5395.35009765625,5470.0,5355.0,5470.0,15289
2024-03-07,5386.48095703125,5423.14990234375,5489.0,5328.75,5399.7998046875,8954
2024-03-11,5338.5576171875,5374.89990234375,5449.0,5310.0,5449.0,7046
2024-03-12,5135.29150390625,5170.25,5396.7998046875,5135.0498046875,5374.89990234375,30248
2024-03-13,5059.01025390625,5093.4501953125,5174.7001953125,4993.9501953125,5170.25,39822
2024-03-14,4894.728515625,4928.0498046875,5149.9501953125,4785.0,5099.7998046875,13676
2024-03-15,5025.6376953125,5059.85009765625,5194.7001953125,4928.0498046875,5001.9501953125,27399
2024-03-18,5062.78466796875,5097.25,5120.0,5020.0,5059.89990234375,3597
2024-03-19,5037.30859375,5071.60009765625,5133.0,5022.2001953125,5097.25,4297
2024-03-20,4999.71435546875,5033.75,5129.9501953125,5008.25,5087.89990234375,10067
2024-03-21,4997.1318359375,5031.14990234375,5145.0,5025.0,5049.75,4092
2024-03-22,5095.7109375,5130.39990234375,5161.5498046875,5018.0498046875,5039.7998046875,6751
2024-03-26,5048.3330078125,5082.7001953125,5194.7001953125,5025.0,5175.25,5287
2024-03-27,5278.814453125,5314.75,5380.0,5082.64990234375,5159.0,43002
2024-03-28,5292.421875,5328.4501953125,5380.0,5255.0,5329.7998046875,7994
2024-04-01,5165.43603515625,5200.60009765625,5400.0,5150.0,5256.2998046875,9793
2024-04-02,5116.2705078125,5151.10009765625,5261.89990234375,5096.0,5215.0,7311
2024-04-03,5055.583984375,5090.0,5199.85009765625,5061.0,5199.85009765625,8345
2024-04-04,5046.14794921875,5080.5,5251.39990234375,5039.0,5130.0,147186
2024-04-05,5111.9501953125,5146.75,5199.0,5073.25,5080.5,7395
2024-04-08,5352.95947265625,5389.39990234375,5595.85009765625,5124.14990234375,5155.0,73312
2024-04-09,5321.02685546875,5357.25,5408.39990234375,5281.5498046875,5399.85009765625,8477
2024-04-10,5361.99755859375,5398.5,5424.0,5337.85009765625,5357.25,20691
2024-04-12,5271.81201171875,5307.7001953125,5440.89990234375,5291.0498046875,5420.7998046875,5214
2024-04-15,5164.79052734375,5199.9501953125,5272.2998046875,5122.5498046875,5253.0,25650
2024-04-16,5249.36474609375,5285.10009765625,5304.89990234375,5168.9501953125,5198.0,5299
2024-04-18,5188.82666015625,5224.14990234375,5285.10009765625,5186.0,5285.10009765625,13097
2024-04-19,5154.60986328125,5189.7001953125,5212.89990234375,5130.5,5202.5498046875,22305
2024-04-22,5208.443359375,5243.89990234375,5330.0,5192.35009765625,5252.9501953125,4879
2024-04-23,5209.98291015625,5245.4501953125,5292.0,5202.9501953125,5239.89990234375,3835
2024-04-24,5249.06689453125,5284.7998046875,5324.14990234375,5245.0,5324.14990234375,2128
2024-04-25,5296.1962890625,5332.25,5374.0,5288.10009765625,5321.75,3817
2024-04-26,5389.11328125,5425.7998046875,5520.0,5335.35009765625,5377.0,11479
2024-04-29,5517.19140625,5554.75,5589.0,5430.0,5444.0,17274
2024-04-30,5299.22509765625,5335.2998046875,5547.9501953125,5301.0498046875,5475.10009765625,65392
2024-05-02,5321.57275390625,5357.7998046875,5374.5,5100.0,5206.0,57226
2024-05-03,5398.44970703125,5435.2001953125,5460.0,5320.2998046875,5400.0,24022
2024-05-06,5382.35888671875,5419.0,5499.0,5352.5498046875,5466.0,10954
2024-05-07,5204.619140625,5240.0498046875,5419.9501953125,5172.0,5380.0498046875,23939
2024-05-08,5278.3671875,5314.2998046875,5324.89990234375,4800.14990234375,4800.14990234375,61456
2024-05-09,5098.14453125,5132.85009765625,5321.89990234375,5071.85009765625,5310.5,10462
2024-05-10,5223.9873046875,5259.5498046875,5296.0,5068.60009765625,5106.0498046875,9720
2024-05-13,5276.62890625,5312.5498046875,5344.5498046875,5140.0,5259.0,6979
2024-05-14,5420.30126953125,5457.2001953125,5482.5,5311.2998046875,5325.0,6449
2024-05-15,5454.0712890625,5491.2001953125,5505.0,5405.60009765625,5457.2001953125,6109
2024-05-16,5613.6845703125,5651.89990234375,5713.14990234375,5472.0498046875,5509.0,17962
2024-05-17,5720.06005859375,5759.0,5841.0498046875,5500.0,5664.9501953125,18614
2024-05-21,5743.64990234375,5782.75,5827.9501953125,5724.10009765625,5785.0,8084
2024-05-22,5714.20068359375,5753.10009765625,5799.7998046875,5675.10009765625,5799.7998046875,4265
2024-05-23,5638.21728515625,5676.60009765625,5793.35009765625,5633.0,5793.35009765625,5153
2024-05-24,5984.01318359375,6024.75,6129.9501953125,5650.25,5679.89990234375,71056
2024-05-27,6389.30419921875,6432.7998046875,6596.0,6041.0,6055.10009765625,164969
2024-05-28,6419.30029296875,6463.0,6697.0,6278.10009765625,6430.4501953125,108427
2024-05-29,6329.56103515625,6372.64990234375,6461.89990234375,6241.2998046875,6241.2998046875,21320
2024-05-30,6317.791015625,6360.7998046875,6389.9501953125,6259.5498046875,6352.0,8075
2024-05-31,6137.46923828125,6179.25,6368.2998046875,6140.0,6357.9501953125,8688
2024-06-03,6026.126953125,6067.14990234375,6379.0,6055.5498046875,6379.0,8461
2024-06-04,5601.666015625,5639.7998046875,6150.0,5468.0498046875,6100.0498046875,23469
2024-06-05,5971.796875,6012.4501953125,6159.39990234375,5609.5498046875,5660.4501953125,14974
2024-06-06,6163.19384765625,6205.14990234375,6230.0,6008.4501953125,6048.0,6589
2024-06-07,6213.15380859375,6255.4501953125,6330.0,6167.7001953125,6200.0,7083
2024-06-10,6188.869140625,6231.0,6313.64990234375,6185.10009765625,6306.39990234375,4731
2024-06-11,6290.0302734375,6332.85009765625,6488.2998046875,6219.5,6239.7998046875,11040
2024-06-12,6299.615234375,6342.5,6399.0,6303.14990234375,6399.0,3792
2024-06-13,6330.30615234375,6373.39990234375,6470.10009765625,6259.5498046875,6349.7998046875,6031
2024-06-14,6414.8798828125,6458.5498046875,6625.0,6320.0,6320.0,14503
2024-06-18,6395.76025390625,6439.2998046875,6549.0,6380.25,6549.0,4088
2024-06-19,6336.3154296875,6379.4501953125,6538.9501953125,6302.0,6535.89990234375,16942
2024-06-20,6339.2451171875,6382.39990234375,6444.75,6345.35009765625,6380.0,2720
2024-06-21,6314.11669921875,6357.10009765625,6500.0,6330.0,6380.0,16240
2024-06-24,6274.83349609375,6317.5498046875,6490.0,6252.5,6340.25,11323
2024-06-25,6286.15673828125,6328.9501953125,6385.0,6277.64990234375,6369.0,7945
2024-06-26,6345.75146484375,6388.9501953125,6449.9501953125,6069.7001953125,6280.0498046875,12596
2024-06-27,6336.71240234375,6379.85009765625,6444.0,6280.0,6435.60009765625,7387
2024-06-28,6208.4853515625,6250.75,6999.0,6206.25,6429.0,26116
2024-07-01,6350.1708984375,6393.39990234375,6482.0,6150.0,6225.0,9894
2024-07-02,6320.8701171875,6363.89990234375,6540.89990234375,6300.2998046875,6408.25,16742
2024-07-03,6354.83935546875,6398.10009765625,6514.89990234375,6350.0,6369.0,15550
2024-07-04,7080.6484375,7128.85009765625,7572.2001953125,6398.10009765625,6399.0,458354
2024-07-05,6872.26025390625,6895.75,7190.0,6849.14990234375,7190.0,65575
2024-07-08,6714.8984375,6737.85009765625,6860.0,6725.5498046875,6860.0,16790
2024-07-09,6900.9619140625,6924.5498046875,6949.0,6696.25,6800.0,23123
2024-07-10,6730.34521484375,6753.35009765625,6932.5498046875,6720.5,6932.5498046875,8982
2024-07-11,6854.91943359375,6878.35009765625,6999.89990234375,6741.5,6815.0,14215
2024-07-12,6727.255859375,6750.25,6896.60009765625,6700.0,6878.35009765625,6222
2024-07-15,6588.23095703125,6610.75,6790.0,6575.5498046875,6750.2001953125,8779
2024-07-16,6543.43408203125,6565.7998046875,6850.0,6551.0,6610.7001953125,15691
2024-07-18,6430.0712890625,6452.0498046875,6615.5498046875,6431.9501953125,6565.7998046875,13571
2024-07-19,6326.1767578125,6347.7998046875,6510.2998046875,6307.39990234375,6469.7998046875,7634
2024-07-22,6225.77001953125,6247.0498046875,6338.0,6230.0,6289.0498046875,11968
2024-07-23,7043.52490234375,7067.60009765625,7361.9501953125,6225.0,6249.7998046875,354543
2024-07-24,7057.5771484375,7081.7001953125,7189.0,6875.10009765625,7099.7001953125,117813
2024-07-25,6916.0107421875,6939.64990234375,7085.0,6888.0,6939.89990234375,22659
2024-07-26,7148.16748046875,7172.60009765625,7388.60009765625,6946.9501953125,6997.9501953125,65755
2024-07-29,7003.91015625,7027.85009765625,7234.35009765625,6975.39990234375,7181.0,18678
2024-07-30,6967.93310546875,6991.75,7062.4501953125,6953.85009765625,7027.85009765625,9016
2024-07-31,7012.48095703125,7036.4501953125,7180.0,6931.0,6931.0,19698
2024-08-01,7020.4541015625,7044.4501953125,7123.7001953125,6968.85009765625,7108.0498046875,7379
2024-08-02,7015.8193359375,7039.7998046875,7099.0,6925.0,7000.25,9235
2024-08-05,6785.6064453125,6808.7998046875,6985.0,6701.0,6985.0,17107
2024-08-06,6943.8154296875,6967.5498046875,7134.89990234375,6808.7998046875,6808.7998046875,20565
2024-08-07,7066.6455078125,7090.7998046875,7133.0,6995.0,7115.0,7964
2024-08-08,6600.09033203125,6622.64990234375,7250.0498046875,6540.0,7100.0498046875,79675
2024-08-09,6682.20947265625,6705.0498046875,6799.0,6625.10009765625,6640.0,29800
2024-08-12,6513.287109375,6535.5498046875,6720.0,6501.0,6705.0498046875,8772
2024-08-13,6572.78369140625,6595.25,7196.39990234375,6525.0,7196.39990234375,40888
2024-08-14,6547.12158203125,6569.5,6639.7998046875,6464.64990234375,6574.35009765625,10811
2024-08-16,6614.59130859375,6637.2001953125,6656.0,6531.0498046875,6589.7001953125,6372
2024-08-19,6602.9306640625,6625.5,6705.0498046875,6596.39990234375,6659.0,4087
2024-08-20,6533.11962890625,6555.4501953125,6671.85009765625,6520.35009765625,6621.0,4082
2024-08-21,6605.17333984375,6627.75,6671.4501953125,6540.7998046875,6599.89990234375,5013
2024-08-22,6757.25341796875,6780.35009765625,6886.5,6565.0,6627.75,16073
2024-08-23,6827.01513671875,6850.35009765625,6915.64990234375,6780.35009765625,6780.35009765625,12258
2024-08-26,6849.587890625,6873.0,6983.9501953125,6829.2001953125,6850.5,6752
2024-08-27,6731.640625,6754.64990234375,6899.75,6727.64990234375,6873.0,10168
2024-08-28,6714.349609375,6737.2998046875,6860.0,6719.9501953125,6795.0,3672
2024-08-29,6638.80810546875,6661.5,6748.9501953125,6632.89990234375,6710.0,4288
2024-08-30,6564.212890625,6586.64990234375,6718.7998046875,6534.0,6661.5,6172
2024-09-02,6685.00048828125,6707.85009765625,6795.0,6367.5498046875,6594.9501953125,13438
2024-09-03,6853.474609375,6876.89990234375,6989.0,6714.0498046875,6746.64990234375,23194
2024-09-04,6876.6953125,6900.2001953125,7060.0,6844.5,6880.0,16781
2024-09-05,6866.18115234375,6889.64990234375,7123.4501953125,6867.5498046875,6950.2001953125,20395
2024-09-06,6860.94873046875,6884.39990234375,7309.89990234375,6845.60009765625,6875.39990234375,67592
2024-09-09,6769.7109375,6792.85009765625,6878.0498046875,6719.64990234375,6878.0498046875,7583
2024-09-10,6857.560546875,6881.0,7089.9501953125,6802.85009765625,7089.9501953125,41787
2024-09-11,6879.236328125,6902.75,6995.0,6846.2001953125,6874.7998046875,8407
2024-09-12,6804.64111328125,6827.89990234375,6966.39990234375,6801.35009765625,6951.10009765625,10019
2024-09-13,6776.43798828125,6799.60009765625,6915.0,6771.4501953125,6915.0,4158
2024-09-16,6724.36572265625,6747.35009765625,6832.35009765625,6722.0498046875,6722.0498046875,5166
2024-09-17,6634.7724609375,6657.4501953125,6749.7998046875,6603.5498046875,6749.7998046875,6113
2024-09-18,6692.62451171875,6715.5,6788.85009765625,6619.5498046875,6669.0,4118
2024-09-19,6693.37158203125,6716.25,6785.10009765625,6529.60009765625,6731.4501953125,6386
2024-09-20,6849.5380859375,6872.9501953125,6894.0,6680.0,6785.0,7102
2024-09-23,6725.11328125,6748.10009765625,6974.9501953125,6721.7998046875,6938.89990234375,7924
2024-09-24,7851.41357421875,7878.25,8040.0,6851.2998046875,6900.0,1598702
2024-09-25,7503.20361328125,7528.85009765625,7777.60009765625,7465.75,7635.0498046875,355932
2024-09-26,7315.64453125,7340.64990234375,7533.0,7301.0,7533.0,46228
2024-09-27,7161.123046875,7185.60009765625,7355.7998046875,7155.5498046875,7300.0,36764
2024-09-30,7942.900390625,7970.0498046875,8137.5,7125.0498046875,7150.0,1199287
2024-10-01,7708.1533203125,7734.5,7925.0,7685.0,7735.0498046875,152228
2024-10-03,7610.736328125,7636.75,7880.0,7514.9501953125,7690.0,108059
2024-10-04,7411.36767578125,7436.7001953125,7699.89990234375,7374.89990234375,7636.5498046875,56222
2024-10-07,7818.82470703125,7845.5498046875,8139.0,7440.0,7442.64990234375,1116761
2024-10-08,7758.08251953125,7784.60009765625,7935.0,7661.89990234375,7700.0,153688
2024-10-09,7853.80517578125,7880.64990234375,8094.0,7802.0,7859.89990234375,89896
2024-10-10,7713.33544921875,7739.7001953125,7880.64990234375,7704.0,7879.85009765625,31964
2024-10-11,7762.6669921875,7789.2001953125,7951.0,7722.10009765625,7789.9501953125,60386
2024-10-14,7671.2294921875,7697.4501953125,7914.9501953125,7613.0,7800.0,41693
2024-10-15,7590.00732421875,7615.9501953125,7778.2998046875,7575.0,7778.2998046875,25009
2024-10-16,7623.69189453125,7649.75,7820.0,7592.0498046875,7661.64990234375,35015
2024-10-17,7601.4677734375,7627.4501953125,7773.85009765625,7520.85009765625,7649.75,22136
2024-10-18,7494.6826171875,7520.2998046875,7659.9501953125,7306.0498046875,7642.9501953125,33607
2024-10-21,7366.96923828125,7392.14990234375,7550.0,7311.5,7550.0,20250
2024-10-22,7166.10595703125,7190.60009765625,7421.0,7170.2001953125,7421.0,17412
2024-10-23,7198.64453125,7223.25,7295.0,7075.0,7248.0,17540
2024-10-24,7130.87646484375,7155.25,7229.10009765625,7110.0,7223.25,7086
2024-10-25,7117.87109375,7142.2001953125,7205.2998046875,7025.0,7155.0498046875,22294
2024-10-28,7036.748046875,7060.7998046875,7160.75,7038.10009765625,7142.2001953125,8448
2024-10-29,7314.9970703125,7340.0,7497.4501953125,6955.0,7088.25,14551
2024-10-30,7314.10009765625,7339.10009765625,7434.14990234375,7281.35009765625,7340.7001953125,10587
2024-10-31,7598.92626953125,7624.89990234375,7695.7001953125,7243.4501953125,7305.0,42952
2024-11-01,7525.228515625,7550.9501953125,7600.0,7460.7001953125,7600.0,3678
2024-11-04,7326.408203125,7351.4501953125,7550.0,7215.5498046875,7550.0,11789
2024-11-05,7465.083984375,7490.60009765625,7660.7001953125,7232.0498046875,7325.0,21963
2024-11-06,7585.8212890625,7611.75,7675.0,7425.0498046875,7458.0498046875,17778
2024-11-07,7493.43701171875,7519.0498046875,7680.0,7480.0,7680.0,7365
2024-11-08,7281.90966796875,7306.7998046875,7560.0,7261.5,7519.0498046875,11758
2024-11-11,7231.73193359375,7256.4501953125,7350.0498046875,7215.5498046875,7350.0,16503
2024-11-12,7379.3271484375,7404.5498046875,7777.0,7216.5498046875,7255.0,129683
2024-11-13,7104.36669921875,7128.64990234375,7390.0,7095.35009765625,7390.0,22936
2024-11-14,6749.87890625,6772.9501953125,7130.75,6680.35009765625,7100.0,66156
2024-11-18,6393.79541015625,6415.64990234375,6773.5,6359.10009765625,6735.0498046875,33447
2024-11-19,6474.51953125,6496.64990234375,6599.9501953125,6453.4501953125,6490.5,29174
2024-11-21,6283.97119140625,6305.4501953125,6549.7998046875,6220.0,6549.7998046875,19231
2024-11-22,6298.322265625,6319.85009765625,6449.9501953125,6294.39990234375,6306.2001953125,11763
2024-11-25,6435.154296875,6457.14990234375,6490.0,6309.2998046875,6395.0,14745
2024-11-26,6436.79833984375,6458.7998046875,6580.35009765625,6392.35009765625,6476.0498046875,28819
2024-11-27,6468.4404296875,6490.5498046875,6595.89990234375,6460.0,6545.0,9068
2024-11-28,6479.50244140625,6501.64990234375,6537.9501953125,6442.14990234375,6537.9501953125,8573
2024-11-29,6541.83984375,6564.2001953125,6590.0,6462.7998046875,6547.0,9194
2024-12-02,6689.28564453125,6712.14990234375,6780.4501953125,6585.0498046875,6598.9501953125,14734
2024-12-03,6555.2939453125,6577.7001953125,6863.9501953125,6420.0,6717.25,21704
2024-12-04,6642.89453125,6665.60009765625,6743.60009765625,6526.0,6536.0,11807
2024-12-05,6601.53564453125,6624.10009765625,6733.64990234375,6583.35009765625,6719.89990234375,14353
2024-12-06,6623.36083984375,6646.0,6691.0,6590.0,6605.0,6556
2024-12-09,6616.68359375,6639.2998046875,6741.5498046875,6586.14990234375,6680.5498046875,9803
2024-12-10,6606.46875,6629.0498046875,6745.0,6620.2998046875,6700.0,4461
2024-12-11,6595.45654296875,6618.0,6642.4501953125,6595.0,6625.0,5585
2024-12-12,6627.74609375,6650.39990234375,6674.0,6555.0,6616.0,5012
2024-12-13,6601.884765625,6624.4501953125,6674.5,6500.0498046875,6650.89990234375,6401
2024-12-16,6580.00927734375,6602.5,6724.0,6585.0,6654.0,4435
2024-12-17,6506.859375,6529.10009765625,6663.9501953125,6500.0,6649.0,4760
2024-12-18,6460.06884765625,6482.14990234375,6643.89990234375,6442.5498046875,6548.0,5909
2024-12-19,6478.60595703125,6500.75,6534.89990234375,6378.5,6442.14990234375,5472
2024-12-20,6466.0986328125,6488.2001953125,6534.0,6440.0,6441.0,3430
2024-12-23,6435.45361328125,6457.4501953125,6496.0,6337.7001953125,6490.0,6472
2024-12-24,6401.3203125,6423.2001953125,6498.0,6365.0,6457.4501953125,3918
