date_,adj close_alkem.ns,close_alkem.ns,high_alkem.ns,low_alkem.ns,open_alkem.ns,volume_alkem.ns
2024-01-16,4975.2666015625,5060.60009765625,5080.35009765625,5023.64990234375,5037.9501953125,100552
2024-01-17,4970.8916015625,5056.14990234375,5104.4501953125,5014.0,5060.60009765625,110342
2024-01-18,4850.654296875,4933.85009765625,5072.60009765625,4908.35009765625,5056.14990234375,153745
2024-01-19,4880.58984375,4964.2998046875,4974.9501953125,4904.25,4974.9501953125,114591
2024-01-23,4734.49609375,4815.7001953125,4956.0,4763.25,4878.7001953125,206809
2024-01-24,4915.29541015625,4999.60009765625,5022.10009765625,4816.5,4860.2001953125,230011
2024-01-25,4887.91552734375,4971.75,5044.85009765625,4934.60009765625,4999.60009765625,213702
2024-01-29,4891.45458984375,4975.35009765625,5022.89990234375,4940.4501953125,4998.64990234375,62787
2024-01-30,4862.8935546875,4946.2998046875,4997.4501953125,4906.0,4975.0,164802
2024-01-31,4911.8046875,4996.0498046875,5087.9501953125,4972.0,4990.0,263753
2024-02-01,4772.88818359375,4854.75,5065.0,4834.0,5000.14990234375,173932
2024-02-02,4834.7763671875,4917.7001953125,4931.0,4781.39990234375,4875.0,344636
2024-02-05,4841.01953125,4924.0498046875,5148.60009765625,4870.0,4925.35009765625,305754
2024-02-06,4979.7890625,5065.2001953125,5130.9501953125,4948.9501953125,4949.89990234375,635171
2024-02-07,5041.38330078125,5127.85009765625,5225.0,5100.14990234375,5150.0,484955
2024-02-08,5221.591796875,5311.14990234375,5377.39990234375,5127.85009765625,5154.64990234375,611368
2024-02-09,5238.05908203125,5327.89990234375,5420.0,5226.75,5350.0,570720
2024-02-12,5062.52001953125,5149.35009765625,5320.0,4967.4501953125,5320.0,343095
2024-02-13,5204.18994140625,5293.4501953125,5315.60009765625,5160.0,5199.9501953125,229855
2024-02-14,5149.478515625,5237.7998046875,5293.14990234375,5142.5498046875,5293.14990234375,294883
2024-02-15,5221.001953125,5310.5498046875,5339.0,5180.0,5243.89990234375,251654
2024-02-16,5388.3046875,5444.60009765625,5458.2001953125,5268.60009765625,5340.0,273500
2024-02-19,5415.2724609375,5471.85009765625,5498.64990234375,5405.4501953125,5444.60009765625,76922
2024-02-20,5346.98583984375,5402.85009765625,5470.0,5350.9501953125,5470.0,121950
2024-02-21,5359.50537109375,5415.5,5520.0,5390.10009765625,5425.0,170880
2024-02-22,5367.12548828125,5423.2001953125,5479.4501953125,5367.0498046875,5467.0,232543
2024-02-23,5365.09619140625,5421.14990234375,5472.10009765625,5355.0,5423.2001953125,141155
2024-02-26,5009.51171875,5061.85009765625,5413.7998046875,4659.0,5405.14990234375,2521385
2024-02-27,4991.8955078125,5044.0498046875,5096.35009765625,4934.64990234375,5010.0,678534
2024-02-28,4938.65234375,4990.25,5079.7998046875,4957.60009765625,5079.64990234375,175724
2024-02-29,5074.333984375,5127.35009765625,5148.2998046875,4986.0,5018.0,217756
2024-03-01,5060.03369140625,5112.89990234375,5168.9501953125,5103.0498046875,5150.0,196260
2024-03-04,5071.91015625,5124.89990234375,5169.5,5110.0,5156.5498046875,191376
2024-03-05,5047.61376953125,5100.35009765625,5139.64990234375,5043.60009765625,5139.60009765625,85058
2024-03-06,5158.5546875,5212.4501953125,5221.7001953125,5087.2998046875,5100.10009765625,187217
2024-03-07,5091.10888671875,5144.2998046875,5225.0,5136.9501953125,5222.0,129528
2024-03-11,5103.92529296875,5157.25,5225.0,5138.35009765625,5188.0,151048
2024-03-12,5004.513671875,5056.7998046875,5188.9501953125,5041.2998046875,5173.14990234375,70615
2024-03-13,4894.51318359375,4945.64990234375,5080.89990234375,4895.0498046875,5064.9501953125,240960
2024-03-14,4933.802734375,4985.35009765625,5017.0,4881.10009765625,4915.0,70479
2024-03-15,4993.03369140625,5045.2001953125,5095.64990234375,4857.0498046875,4990.0,342923
2024-03-18,4924.20263671875,4975.64990234375,5068.7998046875,4910.0,5050.0,81473
2024-03-19,4821.42626953125,4871.7998046875,5000.2998046875,4862.85009765625,5000.0,145345
2024-03-20,4734.68310546875,4784.14990234375,4903.10009765625,4767.60009765625,4897.39990234375,183011
