date_,adj close_gravita.ns,close_gravita.ns,high_gravita.ns,low_gravita.ns,open_gravita.ns,volume_gravita.ns
2024-01-16,1053.9771728515625,1063.5999755859375,1071.5,1004.0,1004.0,257707
2024-01-17,1019.1450805664062,1028.449951171875,1069.949951171875,1021.75,1067.0,159788
2024-01-18,1003.0421752929688,1012.2000122070312,1022.2000122070312,977.4000244140625,1020.0,147544
2024-01-19,1013.6949462890625,1022.9500122070312,1027.449951171875,1008.7999877929688,1016.0,100140
2024-01-23,958.6475219726562,967.4000244140625,1030.0,960.0,1020.2999877929688,255523
2024-01-24,892.2040405273438,900.3499755859375,960.0,883.2999877929688,952.3499755859375,625895
2024-01-25,934.6168823242188,943.1500244140625,956.4500122070312,842.2999877929688,900.3499755859375,1026371
2024-01-29,887.9429931640625,896.0499877929688,957.9500122070312,894.5,945.0,510214
2024-01-30,852.9129028320312,860.7000122070312,904.4000244140625,850.0,899.0,604729
2024-01-31,923.3200073242188,931.75,944.0,857.5499877929688,864.9500122070312,462510
2024-02-01,878.2811889648438,886.2999877929688,925.0,863.0,910.7999877929688,836983
2024-02-02,881.0558471679688,889.0999755859375,911.7999877929688,882.0999755859375,890.0,252480
2024-02-05,861.6827392578125,869.5499877929688,901.4000244140625,862.0,889.0999755859375,228614
2024-02-06,887.1007080078125,895.2000122070312,907.5999755859375,858.0,858.0,243858
2024-02-07,897.4561767578125,905.6500244140625,921.4500122070312,894.8499755859375,904.4000244140625,154027
2024-02-08,892.5509033203125,900.7000122070312,917.8499755859375,892.25,900.0499877929688,113659
2024-02-09,883.83056640625,891.9000244140625,904.0999755859375,878.0499877929688,898.5999755859375,125280
2024-02-12,872.0877685546875,880.0499877929688,911.5499877929688,876.0,891.9500122070312,162295
2024-02-13,892.8482055664062,901.0,910.0,867.0999755859375,880.7999877929688,142598
2024-02-14,893.3932495117188,901.5499877929688,914.0,894.0499877929688,901.0999755859375,115989
2024-02-15,928.1757202148438,936.6500244140625,962.0,903.5499877929688,903.5999755859375,335416
2024-02-16,916.8788452148438,925.25,959.8499755859375,918.0,947.4000244140625,205028
2024-02-19,899.9335327148438,908.1500244140625,942.4000244140625,905.0999755859375,930.0,109363
2024-02-20,906.0278930664062,914.2999877929688,923.0,909.25,909.25,79566
2024-02-21,892.0059204101562,900.1500244140625,924.9500122070312,895.0,918.0,75365
2024-02-22,919.6535034179688,928.0499877929688,942.75,912.0,917.9500122070312,183703
2024-02-23,950.47216796875,959.1500244140625,972.7999877929688,931.5499877929688,940.0,241653
2024-02-26,966.6246337890625,975.4500122070312,1010.0,963.2000122070312,969.7000122070312,316086
2024-02-27,953.2963256835938,962.0,1014.2999877929688,950.0,985.9000244140625,140498
2024-02-28,937.193359375,945.75,982.0999755859375,934.8499755859375,960.0499877929688,125111
2024-02-29,943.9813232421875,952.5999755859375,959.9000244140625,935.5,935.5,84252
2024-03-01,932.8331298828125,941.3499755859375,979.0,940.0,964.9500122070312,75025
2024-03-04,907.5143432617188,915.7999877929688,947.9500122070312,910.0,943.0,122212
2024-03-05,887.2988891601562,895.4000244140625,915.7000122070312,882.5499877929688,914.9500122070312,248802
2024-03-06,870.5517578125,878.5,902.5999755859375,875.0,895.4000244140625,186077
2024-03-07,862.7728881835938,870.6500244140625,887.4000244140625,852.4000244140625,879.0,276124
2024-03-11,840.0800170898438,847.75,885.5499877929688,834.7000122070312,871.0499877929688,156444
2024-03-12,804.157958984375,811.5,856.5499877929688,805.5499877929688,853.5,194418
2024-03-13,734.1967163085938,740.9000244140625,825.4500122070312,730.0,815.4000244140625,303499
2024-03-14,796.725830078125,804.0,816.7999877929688,735.25,741.0,353037
2024-03-15,798.3609619140625,805.6500244140625,827.0499877929688,794.1500244140625,810.0999755859375,138923
