date_,adj close_radico.ns,close_radico.ns,high_radico.ns,low_radico.ns,open_radico.ns,volume_radico.ns
2024-01-16,1652.6107177734375,1657.9000244140625,1669.0,1637.25,1653.300048828125,70877
2024-01-17,1605.7108154296875,1610.8499755859375,1655.0,1590.699951171875,1640.0,117408
2024-01-18,1606.8570556640625,1612.0,1624.0,1573.25,1620.0,48396
2024-01-19,1620.7625732421875,1625.949951171875,1635.0,1600.0,1612.0,77799
2024-01-23,1607.5548095703125,1612.699951171875,1627.1500244140625,1576.0999755859375,1620.0,118657
2024-01-24,1663.02734375,1668.3499755859375,1676.5,1604.050048828125,1604.050048828125,303752
2024-01-25,1647.8758544921875,1653.1500244140625,1670.0,1645.0,1668.0,66535
2024-01-29,1606.358642578125,1611.5,1660.3499755859375,1605.75,1653.1500244140625,93572
2024-01-30,1621.260986328125,1626.449951171875,1653.0,1620.0,1621.9000244140625,131921
2024-01-31,1658.591552734375,1663.9000244140625,1667.0,1628.0,1628.0,88314
2024-02-01,1670.4036865234375,1675.75,1680.0,1650.0,1669.949951171875,74858
2024-02-02,1678.976318359375,1684.3499755859375,1692.0,1658.3499755859375,1687.25,85912
2024-02-05,1731.1591796875,1736.699951171875,1820.0,1640.0,1669.0,786550
2024-02-06,1720.3438720703125,1725.8499755859375,1797.0,1710.0,1768.0,294893
2024-02-07,1739.3829345703125,1744.949951171875,1797.0,1730.699951171875,1791.199951171875,427694
2024-02-08,1737.0902099609375,1742.6500244140625,1762.0,1720.0,1725.0,150004
2024-02-09,1719.745849609375,1725.25,1741.699951171875,1692.0,1741.699951171875,184314
2024-02-12,1723.68310546875,1729.199951171875,1740.0,1670.050048828125,1723.800048828125,84136
2024-02-13,1694.1776123046875,1699.5999755859375,1737.800048828125,1694.0,1729.199951171875,246039
2024-02-14,1704.54443359375,1710.0,1730.0,1692.199951171875,1699.800048828125,91250
2024-02-15,1719.845458984375,1725.3499755859375,1735.949951171875,1707.300048828125,1722.0,102188
2024-02-16,1710.9737548828125,1716.449951171875,1774.5,1708.0999755859375,1739.0,162624
2024-02-19,1715.40966796875,1720.9000244140625,1727.6500244140625,1700.0,1723.0,54618
2024-02-20,1697.8658447265625,1703.300048828125,1725.0,1700.0,1725.0,48378
2024-02-21,1655.4515380859375,1660.75,1715.0,1653.0,1707.0,98168
