date_,adj close_bajaj-auto.ns,close_bajaj-auto.ns,high_bajaj-auto.ns,low_bajaj-auto.ns,open_bajaj-auto.ns,volume_bajaj-auto.ns
2024-01-16,7056.3134765625,7293.9501953125,7356.14990234375,7244.0,7339.0,272181
2024-01-17,6932.4833984375,7165.9501953125,7210.0,7081.0,7112.0,619338
2024-01-18,6852.81640625,7083.60009765625,7189.25,7071.14990234375,7148.0,557084
2024-01-19,6904.04052734375,7136.5498046875,7180.0,7105.0,7138.7998046875,327976
2024-01-23,6864.71533203125,7095.89990234375,7210.0,6936.5498046875,7075.0,953921
2024-01-24,6977.85546875,7212.85009765625,7237.0,7028.2001953125,7075.10009765625,467134
2024-01-25,7349.97314453125,7597.5,7625.14990234375,7210.0,7360.0,2065788
2024-01-29,7302.85986328125,7548.7998046875,7640.0,7480.0,7594.0,457853
2024-01-30,7319.88671875,7566.39990234375,7660.0,7543.64990234375,7574.89990234375,266287
2024-01-31,7417.74072265625,7667.5498046875,7686.0,7515.10009765625,7566.39990234375,336874
2024-02-01,7406.32568359375,7655.75,7765.0,7636.35009765625,7680.0,394564
2024-02-02,7486.08935546875,7738.2001953125,7797.5,7665.60009765625,7675.0,197720
2024-02-05,7408.744140625,7658.25,7838.0,7633.5,7800.0,252401
2024-02-06,7468.869140625,7720.39990234375,7747.7001953125,7670.60009765625,7675.0,131992
2024-02-07,7450.97216796875,7701.89990234375,7777.7998046875,7665.60009765625,7745.0,159783
2024-02-08,7504.51904296875,7757.25,7783.4501953125,7668.14990234375,7729.0,282537
2024-02-09,7531.2197265625,7784.85009765625,7790.5,7669.0,7778.7998046875,173555
2024-02-12,7574.85009765625,7829.9501953125,7874.2001953125,7766.0498046875,7775.0,219911
2024-02-13,7659.451171875,7917.39990234375,7935.14990234375,7811.9501953125,7830.0,258767
2024-02-14,7819.94580078125,8083.2998046875,8136.85009765625,7880.0,7899.0,513900
2024-02-15,7858.400390625,8123.0498046875,8156.85009765625,8045.2998046875,8120.60009765625,394525
2024-02-16,8053.81982421875,8325.0498046875,8455.4501953125,8137.10009765625,8185.85009765625,938756
2024-02-19,8232.4541015625,8509.7001953125,8650.0,8361.099609375,8400.0,1044959
2024-02-20,8024.9423828125,8295.2001953125,8505.0,8238.7001953125,8505.0,547082
2024-02-21,7964.04296875,8232.25,8376.849609375,8205.0,8300.0,439817
2024-02-22,8221.5703125,8498.4501953125,8550.0,8220.0,8260.0,548486
2024-02-23,8162.07470703125,8436.9501953125,8531.0,8401.0498046875,8497.5,340749
2024-02-26,8172.76416015625,8448.0,8547.9501953125,8375.0,8458.7998046875,345968
2024-02-27,8187.75927734375,8463.5,8490.0,8383.5,8460.0,392445
2024-02-28,7921.86376953125,8188.64990234375,8486.650390625,8071.85009765625,8470.0,537728
2024-02-29,7651.6630859375,7909.35009765625,8143.5,7890.0,7997.39990234375,1042536
2024-03-01,7778.10498046875,8040.0498046875,8094.0,7945.2998046875,7955.0,399007
2024-03-04,7939.90625,8207.2998046875,8225.0,8046.64990234375,8068.75,410053
2024-03-05,8079.64990234375,8351.75,8388.0,8160.0498046875,8160.0498046875,615117
2024-03-06,8325.4228515625,8605.7998046875,8681.150390625,8364.0,8369.7001953125,959543
2024-03-07,8589.7705078125,8879.0498046875,8972.849609375,8500.0498046875,8638.0,1243547
2024-03-11,8377.2763671875,8659.400390625,9025.0,8630.0,9023.4501953125,631957
2024-03-12,8249.8681640625,8527.7001953125,8699.9501953125,8475.25,8636.9501953125,324864
2024-03-13,8111.72021484375,8384.900390625,8617.2001953125,8296.9501953125,8527.7001953125,430048
2024-03-14,8110.41357421875,8383.5498046875,8400.0,8202.0498046875,8330.5,392634
2024-03-15,8078.63427734375,8350.7001953125,8432.099609375,8110.0,8384.7998046875,676870
2024-03-18,8244.1591796875,8521.7998046875,8547.150390625,8294.2001953125,8343.0,367524
