date_,adj close_jktyre.ns,close_jktyre.ns,high_jktyre.ns,low_jktyre.ns,open_jktyre.ns,volume_jktyre.ns
2024-01-16,397.6849060058594,405.25,412.79998779296875,397.54998779296875,406.8500061035156,1010796
2024-01-17,395.5750427246094,403.1000061035156,415.79998779296875,397.0,400.0,1825301
2024-01-18,420.0102233886719,428.0,430.8500061035156,402.3999938964844,404.3999938964844,4779277
2024-01-19,434.6320495605469,442.8999938964844,446.1000061035156,430.5,431.45001220703125,3114685
2024-01-23,463.58135986328125,472.3999938964844,488.25,453.3999938964844,470.0,3048362
2024-01-24,482.5211181640625,491.70001220703125,494.70001220703125,469.5,474.8999938964844,2279926
2024-01-25,492.089111328125,501.45001220703125,517.9500122070312,490.75,494.6000061035156,2018018
2024-01-29,505.97491455078125,515.5999755859375,522.9500122070312,501.45001220703125,501.45001220703125,1407332
2024-01-30,505.9258117675781,515.5499877929688,530.9500122070312,510.04998779296875,519.9500122070312,930654
2024-01-31,517.014892578125,526.8499755859375,528.7000122070312,515.5,515.5499877929688,707620
2024-02-01,512.5007934570312,522.25,529.6500244140625,515.1500244140625,528.0,506197
2024-02-02,514.7578735351562,524.5499877929688,530.9500122070312,520.3499755859375,525.0,582995
2024-02-05,523.933349609375,533.9000244140625,553.9500122070312,526.1500244140625,528.7000122070312,1361287
2024-02-06,525.7977905273438,535.7999877929688,552.4000244140625,516.0,538.4000244140625,1880559
2024-02-07,499.0074768066406,508.5,533.9000244140625,505.29998779296875,533.9000244140625,1633604
2024-02-08,501.5589599609375,511.1000061035156,515.0,503.29998779296875,514.9000244140625,936721
2024-02-09,486.5936279296875,495.8500061035156,514.7999877929688,480.0,514.0,656735
2024-02-12,475.40643310546875,484.45001220703125,503.95001220703125,477.5,498.0,985368
2024-02-13,459.31256103515625,468.04998779296875,487.20001220703125,445.0,484.45001220703125,993641
2024-02-14,482.2266845703125,491.3999938964844,495.1000061035156,460.70001220703125,464.75,520662
2024-02-15,489.881103515625,499.20001220703125,516.8499755859375,493.6000061035156,494.5,815807
2024-02-16,506.1055603027344,514.7000122070312,516.0,501.75,515.0,447855
2024-02-19,504.28643798828125,512.8499755859375,519.3499755859375,501.95001220703125,517.0,532398
2024-02-20,504.2372741699219,512.7999877929688,519.0,506.45001220703125,512.8499755859375,653476
2024-02-21,500.00909423828125,508.5,518.5,507.0,515.75,743838
2024-02-22,494.4042663574219,502.79998779296875,512.0999755859375,495.54998779296875,512.0999755859375,461074
