date_,adj close_campus.ns,close_campus.ns,high_campus.ns,low_campus.ns,open_campus.ns,volume_campus.ns
2024-01-16,284.043701171875,285.1000061035156,288.0,283.29998779296875,285.3500061035156,643200
2024-01-17,283.1968688964844,284.25,285.3999938964844,281.0,281.75,454225
2024-01-18,275.4755859375,276.5,284.1000061035156,274.75,283.0,536877
2024-01-19,276.3722229003906,277.3999938964844,284.3500061035156,276.75,278.6000061035156,577273
2024-01-23,267.8539123535156,268.8500061035156,277.75,267.3999938964844,277.20001220703125,484022
2024-01-24,268.05316162109375,269.04998779296875,273.0,266.8999938964844,272.0,287340
2024-01-25,266.75799560546875,267.75,271.0,266.04998779296875,271.0,325258
2024-01-29,271.04205322265625,272.04998779296875,275.0,268.5,269.20001220703125,371172
2024-01-30,269.3483581542969,270.3500061035156,276.3500061035156,269.45001220703125,273.70001220703125,369154
2024-01-31,274.7781677246094,275.79998779296875,277.6499938964844,269.95001220703125,270.0,541273
2024-02-01,268.55133056640625,269.54998779296875,275.95001220703125,268.79998779296875,275.95001220703125,451004
2024-02-02,263.37060546875,264.3500061035156,271.70001220703125,263.6000061035156,271.70001220703125,588907
2024-02-05,259.2359619140625,260.20001220703125,265.45001220703125,259.3500061035156,264.6000061035156,610401
2024-02-06,255.8485565185547,256.79998779296875,262.5,254.85000610351562,260.20001220703125,743304
2024-02-07,257.04412841796875,258.0,263.8500061035156,255.0500030517578,261.0,926284
2024-02-08,257.64190673828125,258.6000061035156,264.70001220703125,256.1000061035156,260.79998779296875,579369
2024-02-09,255.7987518310547,256.75,263.5,254.1999969482422,259.95001220703125,507594
2024-02-12,249.82098388671875,250.75,260.54998779296875,248.10000610351562,256.0,853394
2024-02-13,243.99264526367188,244.89999389648438,250.8000030517578,242.75,250.0500030517578,602354
2024-02-14,241.8506317138672,242.75,249.35000610351562,242.4499969482422,244.0,607073
2024-02-15,239.01116943359375,239.89999389648438,246.0,239.0,244.60000610351562,924234
2024-02-16,239.26023864746094,240.14999389648438,242.89999389648438,239.5500030517578,242.60000610351562,1322172
2024-02-19,244.59043884277344,245.5,246.89999389648438,241.60000610351562,243.39999389648438,903783
2024-02-20,244.14210510253906,245.0500030517578,248.0,244.0,246.5,360213
2024-02-21,251.0663604736328,252.0,275.79998779296875,249.0500030517578,257.25,24530536
2024-02-22,251.66412353515625,252.60000610351562,265.8500061035156,251.0,256.3999938964844,10086393
2024-02-23,247.1309814453125,248.0500030517578,258.8999938964844,247.14999389648438,255.4499969482422,2530374
2024-02-26,250.3191375732422,251.25,253.4499969482422,246.5,249.9499969482422,1445075
2024-02-27,248.42617797851562,249.35000610351562,252.5,248.64999389648438,251.3000030517578,623361
2024-02-28,242.24913024902344,243.14999389648438,251.5,242.0,251.5,798704
2024-02-29,242.79710388183594,243.6999969482422,246.4499969482422,242.0,243.14999389648438,753868
2024-03-01,243.94284057617188,244.85000610351562,246.6999969482422,244.0,244.0,361719
2024-03-04,243.99264526367188,244.89999389648438,248.3000030517578,244.10000610351562,248.3000030517578,438836
2024-03-05,251.51467895507812,252.4499969482422,259.20001220703125,245.60000610351562,246.1999969482422,2857432
2024-03-06,245.8856201171875,246.8000030517578,252.5,244.10000610351562,252.4499969482422,680997
2024-03-07,245.8856201171875,246.8000030517578,249.39999389648438,246.0,247.0,397520
2024-03-11,239.4097137451172,240.3000030517578,248.25,237.1999969482422,247.0,1367543
2024-03-12,235.52413940429688,236.39999389648438,242.60000610351562,235.10000610351562,241.3000030517578,871528
2024-03-13,221.4763946533203,222.3000030517578,239.0,220.0500030517578,236.75,1491513
2024-03-14,219.88232421875,220.6999969482422,226.85000610351562,219.14999389648438,223.89999389648438,1566799
2024-03-15,231.3895263671875,232.25,239.85000610351562,223.0500030517578,223.0500030517578,12689044
2024-03-18,227.8028564453125,228.64999389648438,234.35000610351562,227.5500030517578,231.75,787596
