date_,adj close_jsl.ns,close_jsl.ns,high_jsl.ns,low_jsl.ns,open_jsl.ns,volume_jsl.ns
2024-01-16,600.4546508789062,604.5999755859375,606.9500122070312,588.75,591.9000244140625,1412873
2024-01-17,579.8966064453125,583.9000244140625,605.7999877929688,581.0,590.2000122070312,3683949
2024-01-18,563.410400390625,567.2999877929688,589.5499877929688,562.5999755859375,583.0,5393895
2024-01-19,578.6552124023438,582.6500244140625,606.5,557.25,572.0,7530335
2024-01-23,526.3164672851562,529.9500122070312,576.1500244140625,514.5999755859375,575.0,10460489
2024-01-24,544.7393188476562,548.5,553.25,513.5,520.25,7251008
2024-01-25,534.6588134765625,538.3499755859375,559.0,531.0999755859375,547.9000244140625,3130536
2024-01-29,549.2084350585938,553.0,565.5,536.0,538.6500244140625,2451277
2024-01-30,567.92919921875,571.8499755859375,583.5999755859375,555.0,559.2000122070312,2111062
2024-01-31,572.84521484375,576.7999877929688,585.5,567.4000244140625,572.0499877929688,1553754
2024-02-01,560.7289428710938,564.5999755859375,572.6500244140625,553.0999755859375,568.2000122070312,2175277
2024-02-02,592.4598388671875,596.5499877929688,610.0,568.5499877929688,572.5999755859375,4018844
2024-02-05,602.44091796875,606.5999755859375,626.4000244140625,593.75,605.5999755859375,3229617
2024-02-06,611.8758544921875,616.0999755859375,638.0,603.0,606.5999755859375,2219382
2024-02-07,624.6376953125,628.9500122070312,639.0,612.4500122070312,624.7999877929688,3925907
2024-02-08,623.3466796875,627.6500244140625,634.9500122070312,614.2999877929688,631.25,1667942
2024-02-09,603.185791015625,607.3499755859375,634.0,596.5499877929688,627.0,1764826
2024-02-12,586.2030639648438,590.25,619.7999877929688,581.7000122070312,616.25,2220595
2024-02-13,571.2562255859375,575.2000122070312,595.4000244140625,527.0999755859375,564.0,7243293
2024-02-14,564.701416015625,568.5999755859375,584.9000244140625,560.0999755859375,562.0,2459593
2024-02-15,595.141357421875,599.25,606.5,572.0999755859375,574.0,2339196
2024-02-16,626.9219970703125,631.25,643.2999877929688,601.2999877929688,606.4000244140625,3648096
2024-02-19,631.4407348632812,635.7999877929688,639.0,622.0,633.9500122070312,1565189
2024-02-20,638.4423828125,642.8499755859375,651.8499755859375,631.25,635.7999877929688,2014831
2024-02-21,633.5263671875,637.9000244140625,649.0,631.0999755859375,648.0,3027198
2024-02-22,637.94580078125,642.3499755859375,654.0,635.75,638.0,2052775
2024-02-23,638.3927612304688,642.7999877929688,646.3499755859375,639.9000244140625,642.3499755859375,747457
2024-02-26,657.7094116210938,662.25,669.4000244140625,636.1500244140625,636.1500244140625,1770691
2024-02-27,658.6528930664062,663.2000122070312,673.9500122070312,657.8499755859375,669.9000244140625,1478526
2024-02-28,655.5740966796875,660.0999755859375,667.75,653.0,665.9000244140625,911248
2024-02-29,636.1581420898438,640.5499877929688,664.0499877929688,628.2000122070312,658.0499877929688,1553314
2024-03-01,645.8909912109375,650.3499755859375,662.9000244140625,647.0,655.9000244140625,877113
2024-03-04,677.2246704101562,681.9000244140625,685.4500122070312,658.0,662.0499877929688,1991820
2024-03-05,680.0054931640625,684.7000122070312,693.9000244140625,675.2999877929688,684.7999877929688,2376664
