date_,adj close_metropolis.ns,close_metropolis.ns,high_metropolis.ns,low_metropolis.ns,open_metropolis.ns,volume_metropolis.ns
2024-01-16,1552.5338134765625,1555.75,1560.0,1532.300048828125,1558.0,222928
2024-01-17,1564.06005859375,1567.300048828125,1572.0,1512.1500244140625,1544.0,191531
2024-01-18,1561.814697265625,1565.050048828125,1576.0,1538.6500244140625,1552.3499755859375,168549
2024-01-19,1600.1851806640625,1603.5,1616.0,1552.5999755859375,1566.0999755859375,305068
2024-01-23,1578.829345703125,1582.0999755859375,1603.5,1560.050048828125,1584.0,373400
2024-01-24,1607.170654296875,1610.5,1615.0,1574.550048828125,1589.0,273265
2024-01-25,1555.4278564453125,1558.6500244140625,1617.949951171875,1545.5999755859375,1615.9000244140625,302795
2024-01-29,1578.4801025390625,1581.75,1589.800048828125,1554.050048828125,1565.0,202978
2024-01-30,1583.6195068359375,1586.9000244140625,1611.0,1545.199951171875,1585.0,133065
2024-01-31,1629.025390625,1632.4000244140625,1641.0,1580.0,1580.0,301101
2024-02-01,1627.8778076171875,1631.25,1651.050048828125,1612.050048828125,1635.0,170323
2024-02-02,1633.8653564453125,1637.25,1650.699951171875,1572.199951171875,1631.25,238206
2024-02-05,1663.3543701171875,1666.800048828125,1675.0,1608.550048828125,1624.0,334415
2024-02-06,1740.743896484375,1744.3499755859375,1812.800048828125,1667.0,1670.0,1673724
2024-02-07,1756.3116455078125,1759.949951171875,1788.5,1741.75,1764.0,313367
2024-02-08,1667.1463623046875,1670.5999755859375,1771.0,1663.800048828125,1765.0,393623
2024-02-09,1640.45166015625,1643.8499755859375,1682.800048828125,1634.449951171875,1680.0,134159
2024-02-12,1663.9530029296875,1667.4000244140625,1699.9000244140625,1629.5999755859375,1635.0,344748
2024-02-13,1705.3673095703125,1708.9000244140625,1734.25,1645.5999755859375,1667.4000244140625,484863
2024-02-14,1692.5936279296875,1696.0999755859375,1715.949951171875,1683.25,1699.949951171875,81848
2024-02-15,1704.119873046875,1707.6500244140625,1717.199951171875,1678.050048828125,1700.0,469397
2024-02-16,1782.2081298828125,1785.9000244140625,1793.0,1715.0,1727.949951171875,546173
2024-02-19,1782.2081298828125,1785.9000244140625,1830.9000244140625,1779.699951171875,1808.0,324089
2024-02-20,1743.4384765625,1747.050048828125,1790.0,1730.050048828125,1786.0,273732
2024-02-21,1726.3238525390625,1729.9000244140625,1755.75,1715.0,1750.050048828125,297539
2024-02-22,1745.3343505859375,1748.949951171875,1768.0999755859375,1712.800048828125,1725.5999755859375,320376
2024-02-23,1744.685791015625,1748.300048828125,1764.800048828125,1730.949951171875,1764.800048828125,202957
2024-02-26,1691.29638671875,1694.800048828125,1748.0,1688.050048828125,1740.949951171875,169869
2024-02-27,1628.4266357421875,1631.800048828125,1698.9000244140625,1627.0,1694.800048828125,234888
2024-02-28,1602.0811767578125,1605.4000244140625,1645.800048828125,1588.8499755859375,1645.800048828125,526261
2024-02-29,1598.5885009765625,1601.9000244140625,1627.0,1576.1500244140625,1605.0,189838
2024-03-01,1709.5086669921875,1713.050048828125,1761.4000244140625,1611.800048828125,1611.800048828125,974863
2024-03-04,1670.5394287109375,1674.0,1702.8499755859375,1640.0,1702.8499755859375,260302
2024-03-05,1663.3543701171875,1666.800048828125,1684.4000244140625,1615.050048828125,1669.949951171875,288551
2024-03-06,1645.4913330078125,1648.9000244140625,1662.5999755859375,1620.800048828125,1662.5999755859375,162619
2024-03-07,1629.3746337890625,1632.75,1659.9000244140625,1623.699951171875,1650.0,87084
2024-03-11,1620.0440673828125,1623.4000244140625,1649.699951171875,1613.25,1640.5,115905
2024-03-12,1632.867431640625,1636.25,1642.699951171875,1584.800048828125,1620.0,1002929
2024-03-13,1584.5177001953125,1587.800048828125,1675.0,1580.0,1631.1500244140625,340578
2024-03-14,1623.287353515625,1626.6500244140625,1640.0,1562.5999755859375,1587.800048828125,155042
2024-03-15,1590.65478515625,1593.949951171875,1627.949951171875,1580.0999755859375,1616.5,82046
2024-03-18,1584.617431640625,1587.9000244140625,1602.9000244140625,1562.5999755859375,1598.0,135667
2024-03-19,1579.029052734375,1582.300048828125,1599.050048828125,1558.25,1586.949951171875,151030
2024-03-20,1613.7071533203125,1617.050048828125,1635.0,1551.050048828125,1580.0,277270
2024-03-21,1623.885986328125,1627.25,1633.5999755859375,1601.0,1617.0999755859375,162616
2024-03-22,1598.6383056640625,1601.949951171875,1651.199951171875,1598.4000244140625,1612.550048828125,208142
