date_,adj close_nbcc.ns,close_nbcc.ns,high_nbcc.ns,low_nbcc.ns,open_nbcc.ns,volume_nbcc.ns
2024-01-16,59.0975227355957,60.0,61.96666717529297,58.93333435058594,61.43333435058594,45491853
2024-01-17,57.751407623291016,58.633331298828125,61.133331298828125,58.0,59.29999923706055,39234153
2024-01-18,57.25893020629883,58.133331298828125,59.733333587646484,56.400001525878906,58.633331298828125,35530404
2024-01-19,62.085227966308594,63.03333282470703,63.93333435058594,58.599998474121094,58.633331298828125,162829722
2024-01-23,64.74461364746094,65.73332977294922,73.0,64.66666412353516,69.33333587646484,186775914
2024-01-24,69.11126708984375,70.16666412353516,70.5999984741211,64.33333587646484,66.30000305175781,133655227
2024-01-25,75.31649780273438,76.46666717529297,79.5999984741211,69.66666412353516,70.80000305175781,345517897
2024-01-29,83.39315795898438,84.66666412353516,85.63333129882812,77.80000305175781,78.0,191521422
2024-01-30,83.42599487304688,84.69999694824219,90.86666870117188,82.43333435058594,87.56666564941406,149753167
2024-01-31,85.00193786621094,86.30000305175781,87.06666564941406,83.03333282470703,85.06666564941406,90637747
2024-02-01,93.012939453125,94.43333435058594,96.66666412353516,86.53333282470703,87.33333587646484,254158333
2024-02-02,110.7421875,112.43333435058594,113.30000305175781,100.0,100.0,358171509
2024-02-05,109.06775665283203,110.73332977294922,117.9000015258789,107.53333282470703,116.30000305175781,164052258
2024-02-06,103.38783264160156,104.96666717529297,111.80000305175781,100.76666259765625,111.80000305175781,73660180
2024-02-07,103.78182220458984,105.36666870117188,109.9000015258789,102.43333435058594,106.9000015258789,50816668
2024-02-08,101.05675506591797,102.5999984741211,106.26666259765625,102.19999694824219,106.0,32226153
2024-02-09,97.1497573852539,98.63333129882812,103.0999984741211,93.0999984741211,103.0999984741211,53180316
2024-02-12,87.43148803710938,88.76666259765625,97.83333587646484,88.76666259765625,97.83333587646484,40895007
2024-02-13,81.68590545654297,82.93333435058594,88.53333282470703,80.5,82.9000015258789,86484798
2024-02-14,85.75706481933594,87.06666564941406,87.06666564941406,84.0,84.5999984741211,11595793
2024-02-15,90.02522277832031,91.4000015258789,91.4000015258789,91.4000015258789,91.4000015258789,1992426
2024-02-16,88.38362884521484,89.73332977294922,95.96666717529297,89.06666564941406,91.66666412353516,57440197
2024-02-19,92.78311157226562,94.19999694824219,94.19999694824219,89.9000015258789,91.0,12508702
2024-02-20,93.63674926757812,95.06666564941406,98.26666259765625,94.66666412353516,95.33333587646484,41847199
2024-02-21,91.40416717529297,92.80000305175781,97.0999984741211,92.0,96.19999694824219,20995909
2024-02-22,95.86930847167969,97.33333587646484,97.43333435058594,95.0,96.63333129882812,44176891
2024-02-23,94.16204833984375,95.5999984741211,98.53333282470703,94.80000305175781,98.19999694824219,18920620
2024-02-26,91.73249053955078,93.13333129882812,96.26666259765625,92.4000015258789,96.19999694824219,14391678
2024-02-27,90.84602355957031,92.23332977294922,94.03333282470703,92.0,93.26666259765625,9485179
2024-02-28,86.80769348144531,88.13333129882812,92.9000015258789,87.63333129882812,92.23332977294922,16314007
2024-02-29,88.81044006347656,90.16666412353516,90.66666412353516,85.76666259765625,88.0,22817221
2024-03-01,87.3001708984375,88.63333129882812,92.96666717529297,88.13333129882812,91.86666870117188,15257412
2024-03-04,86.90618133544922,88.23332977294922,90.16666412353516,88.0,89.96666717529297,9489282
2024-03-05,87.07034301757812,88.4000015258789,90.96666717529297,88.19999694824219,89.56666564941406,11336502
2024-03-06,83.59017181396484,84.86666870117188,88.63333129882812,84.0,88.63333129882812,19782102
