date_,adj close_ltts.ns,close_ltts.ns,high_ltts.ns,low_ltts.ns,open_ltts.ns,volume_ltts.ns
2024-01-16,5227.53125,5349.7998046875,5479.9501953125,5333.60009765625,5470.0,248027
2024-01-17,5413.43310546875,5540.0498046875,5565.0,5374.0,5374.0,944092
2024-01-18,5283.033203125,5406.60009765625,5518.0,5274.25,5500.0,328360
2024-01-19,5263.93017578125,5387.0498046875,5516.2998046875,5353.7998046875,5484.0,147985
2024-01-23,5238.7197265625,5361.25,5471.9501953125,5311.14990234375,5435.0,114334
2024-01-24,5374.0546875,5499.75,5508.0,5290.0,5344.7001953125,169344
2024-01-25,5262.8056640625,5385.89990234375,5535.9501953125,5331.85009765625,5535.9501953125,162024
2024-01-29,5313.37353515625,5437.64990234375,5453.9501953125,5367.0498046875,5430.0,95567
2024-01-30,5349.771484375,5474.89990234375,5547.60009765625,5452.0,5468.89990234375,161652
2024-01-31,5456.32958984375,5583.9501953125,5632.39990234375,5416.0,5474.0,238436
2024-02-01,5379.77001953125,5505.60009765625,5606.2001953125,5485.39990234375,5580.0,75442
2024-02-02,5396.91943359375,5523.14990234375,5612.0,5514.0,5560.64990234375,112677
2024-02-05,5336.43408203125,5461.25,5588.0,5437.85009765625,5588.0,69904
2024-02-06,5452.76318359375,5580.2998046875,5593.0498046875,5448.0,5460.0,120096
2024-02-07,5438.79052734375,5566.0,5619.89990234375,5526.5498046875,5600.0,51701
2024-02-08,5435.12548828125,5562.25,5608.4501953125,5536.0498046875,5570.0,56853
2024-02-09,5438.59375,5565.7998046875,5617.4501953125,5465.10009765625,5562.25,66043
2024-02-12,5444.06689453125,5571.39990234375,5678.89990234375,5544.0,5585.0,229627
2024-02-13,5486.86572265625,5615.2001953125,5632.0,5482.5,5575.0,106865
2024-02-14,5279.27099609375,5402.75,5540.0,5290.0,5531.0,365547
2024-02-15,5308.43896484375,5432.60009765625,5500.0,5380.0,5499.0,131719
2024-02-16,5337.85107421875,5462.7001953125,5477.7001953125,5424.10009765625,5468.0,88564
2024-02-19,5323.8779296875,5448.39990234375,5494.85009765625,5400.0,5463.0,95074
2024-02-20,5287.23486328125,5410.89990234375,5470.0,5372.0,5448.0,69672
2024-02-21,5155.95556640625,5276.5498046875,5429.89990234375,5250.0,5410.89990234375,115961
2024-02-22,5228.75244140625,5351.0498046875,5377.10009765625,5235.10009765625,5290.0,81175
2024-02-23,5317.28173828125,5441.64990234375,5524.7998046875,5403.25,5424.7998046875,199198
2024-02-26,5307.02197265625,5431.14990234375,5467.4501953125,5394.60009765625,5441.64990234375,89718
2024-02-27,5269.939453125,5393.2001953125,5488.0498046875,5380.0,5440.10009765625,73962
2024-02-28,5193.478515625,5314.9501953125,5418.0,5292.2998046875,5399.0,111926
2024-02-29,5181.361328125,5302.5498046875,5344.64990234375,5267.0498046875,5314.9501953125,153967
2024-03-01,5166.166015625,5287.0,5388.9501953125,5270.9501953125,5342.0,186522
2024-03-04,5138.26953125,5258.4501953125,5340.5,5235.10009765625,5324.0,108641
2024-03-05,5142.56884765625,5262.85009765625,5283.9501953125,5215.0498046875,5274.0,137127
2024-03-06,5164.94482421875,5285.75,5299.60009765625,5137.0,5245.0,146468
2024-03-07,5179.99267578125,5301.14990234375,5332.39990234375,5233.5498046875,5325.0,233329
2024-03-11,5150.3369140625,5270.7998046875,5300.0,5223.0498046875,5275.0498046875,108245
2024-03-12,5150.58056640625,5271.0498046875,5321.9501953125,5200.2001953125,5265.0498046875,203968
2024-03-13,5036.5966796875,5154.39990234375,5319.0,5125.25,5319.0,125309
2024-03-14,5142.6171875,5262.89990234375,5276.60009765625,5100.0,5125.0498046875,192376
2024-03-15,5295.49169921875,5419.35009765625,5437.85009765625,5242.2001953125,5270.0,313116
2024-03-18,5263.880859375,5387.0,5438.0,5301.0498046875,5437.0,109824
2024-03-19,5071.92041015625,5190.5498046875,5400.0,5156.85009765625,5400.0,232938
2024-03-20,5073.23974609375,5191.89990234375,5229.7998046875,5125.2998046875,5229.7998046875,122746
