date_,adj close_asterdm.ns,close_asterdm.ns,high_asterdm.ns,low_asterdm.ns,open_asterdm.ns,volume_asterdm.ns
2024-01-16,322.5000305175781,425.1499938964844,449.70001220703125,422.0,449.0,5351797
2024-01-17,331.6405944824219,437.20001220703125,439.5,427.5,431.5,1209619
2024-01-18,329.1373596191406,433.8999938964844,448.79998779296875,430.79998779296875,442.0,783603
2024-01-19,329.8959045410156,434.8999938964844,441.0,428.79998779296875,437.70001220703125,495443
2024-01-23,323.5240478515625,426.5,441.0,420.0,437.0,398494
2024-01-24,326.4065246582031,430.29998779296875,434.20001220703125,422.04998779296875,430.0,461353
2024-01-25,326.6341247558594,430.6000061035156,437.6000061035156,429.04998779296875,434.20001220703125,138218
2024-01-29,322.4620666503906,425.1000061035156,433.54998779296875,422.95001220703125,431.0,300072
2024-01-30,326.9375305175781,431.0,433.45001220703125,423.6000061035156,427.0,327265
2024-01-31,335.7746887207031,442.6499938964844,444.79998779296875,429.1000061035156,431.1000061035156,569512
2024-02-01,327.77197265625,432.1000061035156,445.8500061035156,429.3500061035156,444.6000061035156,295044
2024-02-02,324.96527099609375,428.3999938964844,437.75,427.5,436.0,248352
2024-02-05,322.5379638671875,425.20001220703125,431.45001220703125,422.70001220703125,428.79998779296875,365398
2024-02-06,334.7127380371094,441.25,452.0,428.5,433.0,1517621
2024-02-07,329.5545959472656,434.45001220703125,446.5,432.0,443.0,511927
2024-02-08,334.4093322753906,440.8500061035156,444.45001220703125,437.0,441.04998779296875,342636
2024-02-09,330.9578552246094,436.29998779296875,448.8999938964844,431.95001220703125,445.0,360092
2024-02-12,335.6230163574219,442.45001220703125,450.0,437.79998779296875,441.8500061035156,1163109
2024-02-13,337.6711120605469,445.1499938964844,459.95001220703125,441.95001220703125,442.45001220703125,853401
2024-02-14,333.916259765625,440.20001220703125,445.95001220703125,437.3500061035156,442.1000061035156,267402
2024-02-15,359.2899475097656,473.6499938964844,478.29998779296875,445.8500061035156,450.0,2573995
2024-02-16,356.748779296875,470.29998779296875,486.04998779296875,465.6499938964844,473.6499938964844,956262
2024-02-19,353.86627197265625,466.5,471.8999938964844,461.5,470.3999938964844,229554
2024-02-20,360.80706787109375,475.6499938964844,480.0,465.1000061035156,475.0,476492
2024-02-21,359.7450866699219,474.25,485.79998779296875,470.25,476.95001220703125,529722
2024-02-22,358.6831359863281,472.8500061035156,477.45001220703125,468.04998779296875,474.75,279733
2024-02-23,352.766357421875,465.04998779296875,479.04998779296875,462.6499938964844,475.04998779296875,1007148
2024-02-26,345.863525390625,455.95001220703125,471.75,454.3500061035156,469.1499938964844,274506
2024-02-27,359.6313171386719,474.1000061035156,481.0,454.04998779296875,459.54998779296875,1380592
2024-02-28,367.7857666015625,484.8500061035156,495.8999938964844,471.45001220703125,474.75,1749769
2024-02-29,357.5832214355469,471.3999938964844,487.79998779296875,466.70001220703125,487.45001220703125,627523
2024-03-01,350.4906921386719,462.04998779296875,474.75,446.3999938964844,474.5,917075
2024-03-04,350.11138916015625,461.54998779296875,470.0,455.95001220703125,470.0,605086
2024-03-05,343.85333251953125,453.29998779296875,461.95001220703125,452.04998779296875,461.95001220703125,227811
2024-03-06,337.6331787109375,445.1000061035156,454.95001220703125,441.0,453.5,261919
2024-03-07,337.1021728515625,444.3999938964844,452.8500061035156,443.54998779296875,445.95001220703125,138431
2024-03-11,326.9375305175781,431.0,446.6000061035156,428.5,444.3999938964844,326610
2024-03-12,319.2761535644531,420.8999938964844,434.8999938964844,416.79998779296875,434.8999938964844,896700
2024-03-13,313.39727783203125,413.1499938964844,431.54998779296875,410.5,422.8999938964844,555365
2024-03-14,322.4620666503906,425.1000061035156,427.54998779296875,411.0,411.0,497923
2024-03-15,329.09942626953125,433.8500061035156,437.0,425.1499938964844,425.1499938964844,281688
