date_,adj close_syrma.ns,close_syrma.ns,high_syrma.ns,low_syrma.ns,open_syrma.ns,volume_syrma.ns
2024-01-16,616.1636352539062,619.5,629.5,601.0,604.8499755859375,986615
2024-01-17,601.7914428710938,605.0499877929688,628.2999877929688,602.9000244140625,613.0,524636
2024-01-18,598.2606201171875,601.5,621.7000122070312,594.5999755859375,606.0,767498
2024-01-19,607.6597290039062,610.9500122070312,615.9000244140625,606.0,606.0,274858
2024-01-23,590.9501953125,594.1500244140625,614.5,588.5,608.25,259450
2024-01-24,592.093994140625,595.2999877929688,622.9500122070312,590.3499755859375,592.5499877929688,502478
2024-01-25,597.2659912109375,600.5,617.5,598.0,609.0,396566
2024-01-29,597.7633056640625,601.0,610.0,599.0,604.9000244140625,172048
2024-01-30,593.9837646484375,597.2000122070312,606.9500122070312,594.5,599.0,249713
2024-01-31,595.4757080078125,598.7000122070312,602.9500122070312,595.0,602.9500122070312,323438
2024-02-01,581.5014038085938,584.6500244140625,601.6500244140625,581.2000122070312,601.6500244140625,209316
2024-02-02,578.2689208984375,581.4000244140625,601.9500122070312,579.25,591.9000244140625,596919
2024-02-05,562.3052978515625,565.3499755859375,587.6500244140625,560.5499877929688,587.6500244140625,388853
2024-02-06,567.3778686523438,570.4500122070312,576.0,541.0,570.2999877929688,978298
2024-02-07,521.5260620117188,524.3499755859375,534.0,491.3500061035156,505.04998779296875,4629172
2024-02-08,515.8568115234375,518.6500244140625,538.5,514.0499877929688,526.0,814206
2024-02-09,509.73992919921875,512.5,524.6500244140625,510.5,518.6500244140625,468545
2024-02-12,497.6056213378906,500.29998779296875,518.5999755859375,492.0,512.5,314629
2024-02-13,507.1539306640625,509.8999938964844,513.9500122070312,491.0,500.0,460853
2024-02-14,500.7386779785156,503.45001220703125,516.75,501.1000061035156,503.3500061035156,545197
2024-02-15,499.6943054199219,502.3999938964844,517.5499877929688,500.0,507.8999938964844,503403
2024-02-16,505.5128173828125,508.25,515.0,503.3999938964844,507.8999938964844,379229
2024-02-19,513.4199829101562,516.2000122070312,530.0,511.79998779296875,517.4500122070312,738909
2024-02-20,508.5463562011719,511.29998779296875,524.7000122070312,509.3999938964844,516.2000122070312,379198
2024-02-21,514.5140380859375,517.2999877929688,524.7000122070312,512.0,514.9500122070312,859916
2024-02-22,507.5517272949219,510.29998779296875,524.0,506.29998779296875,517.2999877929688,384353
2024-02-23,522.3715209960938,525.2000122070312,528.3499755859375,510.29998779296875,510.29998779296875,578940
2024-02-26,519.8353271484375,522.6500244140625,540.0,518.0,525.9000244140625,835423
2024-02-27,522.3715209960938,525.2000122070312,534.0,523.3499755859375,523.3499755859375,392163
2024-02-28,508.49664306640625,511.25,529.2999877929688,508.0,526.75,840857
2024-02-29,521.5260620117188,524.3499755859375,537.8499755859375,494.1000061035156,507.0,1099642
2024-03-01,533.2625732421875,536.1500244140625,542.6500244140625,531.6500244140625,536.0,417262
2024-03-04,532.86474609375,535.75,548.5999755859375,533.0,547.2000122070312,250824
2024-03-05,526.5986938476562,529.4500122070312,538.9500122070312,523.0999755859375,538.9500122070312,258157
2024-03-06,517.0006103515625,519.7999877929688,531.6500244140625,515.0,524.0,426928
2024-03-07,522.7196044921875,525.5499877929688,569.9500122070312,522.5,569.9500122070312,2914296
2024-03-11,505.96038818359375,508.70001220703125,528.25,504.0,528.2000122070312,622856
2024-03-12,491.8368835449219,494.5,515.0,491.0,515.0,678153
2024-03-13,454.0912170410156,456.54998779296875,500.45001220703125,450.0,498.70001220703125,997936
2024-03-14,482.73614501953125,485.3500061035156,492.0,450.0,456.0,1121478
2024-03-15,504.2695617675781,507.0,514.9500122070312,474.0,484.95001220703125,3228235
2024-03-18,493.3287658691406,496.0,509.04998779296875,494.0,507.0,297496
2024-03-19,471.89483642578125,474.45001220703125,502.20001220703125,472.20001220703125,497.0,604154
2024-03-20,479.65283203125,482.25,494.0,477.1000061035156,490.0,888742
2024-03-21,480.29931640625,482.8999938964844,494.0,480.20001220703125,487.70001220703125,459933
2024-03-22,479.4041748046875,482.0,487.6000061035156,479.0,482.0,325909
2024-03-26,470.6018371582031,473.1499938964844,484.0,468.3500061035156,482.70001220703125,443141
2024-03-27,471.2980651855469,473.8500061035156,477.75,470.1000061035156,477.75,520056
2024-03-28,462.8935546875,465.3999938964844,477.0,461.29998779296875,474.0,494095
2024-04-01,485.7200012207031,488.3500061035156,491.0,472.6000061035156,474.3500061035156,559787
2024-04-02,489.30059814453125,491.95001220703125,503.25,485.95001220703125,491.95001220703125,643023
2024-04-03,491.9860534667969,494.6499938964844,497.20001220703125,487.0,489.95001220703125,273561
2024-04-04,497.5061950683594,500.20001220703125,502.95001220703125,484.1000061035156,499.5,621431
2024-04-05,490.44439697265625,493.1000061035156,501.95001220703125,491.04998779296875,499.8500061035156,244453
2024-04-08,484.9740295410156,487.6000061035156,500.0,486.04998779296875,496.70001220703125,302160
2024-04-09,471.14886474609375,473.70001220703125,495.0,472.0,489.79998779296875,486515
2024-04-10,476.7684631347656,479.3500061035156,483.8999938964844,474.54998779296875,475.0,218582
2024-04-12,485.7200012207031,488.3500061035156,492.1499938964844,475.29998779296875,476.0,289709
2024-04-15,476.32086181640625,478.8999938964844,484.0,470.79998779296875,476.5,200486
2024-04-16,469.308837890625,471.8500061035156,484.0,468.8999938964844,474.0,224594
2024-04-18,470.6018371582031,473.1499938964844,484.95001220703125,472.0,477.0,208615
2024-04-19,463.3411560058594,465.8500061035156,473.6499938964844,464.04998779296875,466.1499938964844,236723
2024-04-22,472.3424072265625,474.8999938964844,477.0,470.45001220703125,471.04998779296875,154172
2024-04-23,464.9325256347656,467.45001220703125,479.04998779296875,466.1000061035156,478.45001220703125,333199
2024-04-24,474.4808044433594,477.04998779296875,489.6499938964844,469.8999938964844,469.8999938964844,593951
2024-04-25,471.8450927734375,474.3999938964844,487.04998779296875,473.04998779296875,479.6499938964844,488708
2024-04-26,472.6905212402344,475.25,478.45001220703125,473.45001220703125,474.8500061035156,206875
2024-04-29,477.8625183105469,480.45001220703125,487.0,475.29998779296875,477.8999938964844,420114
2024-04-30,485.1729431152344,487.79998779296875,494.0,482.0,482.0,374592
2024-05-02,494.12445068359375,496.79998779296875,499.0,485.0,485.0,592461
2024-05-03,485.27239990234375,487.8999938964844,506.0,485.20001220703125,500.8999938964844,558655
2024-05-06,480.8960876464844,483.5,493.0,480.8500061035156,492.0,239216
2024-05-07,472.1932067871094,474.75,488.95001220703125,473.0,485.8999938964844,217537
2024-05-08,476.91766357421875,479.5,481.1499938964844,473.0,478.5,121095
2024-05-09,461.103271484375,463.6000061035156,482.8999938964844,459.79998779296875,479.0,315528
2024-05-10,470.4029235839844,472.95001220703125,474.6499938964844,461.25,465.8999938964844,284067
2024-05-13,390.3364562988281,392.45001220703125,475.0,386.29998779296875,474.0,4861627
2024-05-14,396.25439453125,398.3999938964844,422.3999938964844,386.1000061035156,395.1000061035156,4439493
2024-05-15,397.0003662109375,399.1499938964844,410.0,398.1000061035156,405.79998779296875,1054809
2024-05-16,396.1549377441406,398.29998779296875,405.0,397.1000061035156,404.45001220703125,546980
2024-05-17,393.2705383300781,395.3999938964844,403.0,390.0,399.75,725304
2024-05-21,415.6991271972656,417.95001220703125,421.95001220703125,402.6000061035156,411.95001220703125,1883387
2024-05-22,428.23126220703125,430.54998779296875,434.0,414.04998779296875,421.25,1567531
2024-05-23,449.615478515625,452.04998779296875,456.3999938964844,432.04998779296875,433.0,1744194
2024-05-24,476.1219787597656,478.70001220703125,488.3500061035156,450.0,452.04998779296875,3251091
2024-05-27,473.08837890625,475.6499938964844,492.8999938964844,466.79998779296875,478.70001220703125,1150706
2024-05-28,464.5844421386719,467.1000061035156,478.20001220703125,465.04998779296875,476.54998779296875,580568
2024-05-29,473.3370361328125,475.8999938964844,478.0,462.6000061035156,463.0,453682
2024-05-30,472.4418640136719,475.0,481.95001220703125,470.1499938964844,475.75,377038
2024-05-31,477.46466064453125,480.04998779296875,482.8999938964844,474.3500061035156,476.0,1122000
2024-06-03,492.9309387207031,495.6000061035156,504.0,485.0,495.0,1761934
2024-06-04,443.89642333984375,446.29998779296875,499.0,411.54998779296875,499.0,1697547
2024-06-05,435.7903137207031,438.1499938964844,455.8999938964844,412.5,453.0,1710966
2024-06-06,450.06304931640625,452.5,460.0,444.75,448.8999938964844,755122
2024-06-07,462.2470703125,464.75,478.95001220703125,452.5,452.5,883797
2024-06-10,458.4178161621094,460.8999938964844,473.8500061035156,459.5,470.6499938964844,325985
2024-06-11,468.5628662109375,471.1000061035156,476.0,461.20001220703125,461.20001220703125,600075
2024-06-12,468.36395263671875,470.8999938964844,480.54998779296875,468.0,471.25,706999
2024-06-13,463.93792724609375,466.45001220703125,476.6499938964844,465.5,471.0,438886
2024-06-14,463.2914123535156,465.79998779296875,480.0,461.75,468.8500061035156,413856
2024-06-18,468.51312255859375,471.04998779296875,487.5,469.25,469.29998779296875,1629962
2024-06-19,473.13812255859375,475.70001220703125,482.5,470.20001220703125,475.8999938964844,429540
2024-06-20,477.3154602050781,479.8999938964844,485.95001220703125,471.75,476.0,538536
2024-06-21,498.4510192871094,501.1499938964844,528.8499755859375,482.45001220703125,482.45001220703125,6759329
2024-06-24,497.1083068847656,499.79998779296875,512.2999877929688,496.5,503.1000061035156,1397449
2024-06-25,488.6540832519531,491.29998779296875,521.8499755859375,490.0,499.95001220703125,3166996
2024-06-26,499.29644775390625,502.0,504.3999938964844,488.75,492.0,608842
2024-06-27,502.62841796875,505.3500061035156,516.5499877929688,497.8500061035156,503.1000061035156,858800
2024-06-28,494.3233947753906,497.0,509.8999938964844,495.20001220703125,507.25,533857
2024-07-01,488.5546569824219,491.20001220703125,499.70001220703125,487.29998779296875,497.0,415652
2024-07-02,483.28314208984375,485.8999938964844,499.3999938964844,484.0,494.8999938964844,594035
2024-07-03,493.62713623046875,496.29998779296875,503.0,488.5,489.29998779296875,503660
2024-07-04,503.7225341796875,506.45001220703125,509.54998779296875,497.29998779296875,497.8999938964844,599626
2024-07-05,499.29644775390625,502.0,512.9000244140625,499.0,506.6499938964844,525068
2024-07-08,492.4336242675781,495.1000061035156,506.0,491.70001220703125,504.79998779296875,444729
2024-07-09,488.2562561035156,490.8999938964844,501.3999938964844,488.0,495.1000061035156,303190
2024-07-10,488.5546569824219,491.20001220703125,493.95001220703125,480.0,492.75,265691
2024-07-11,480.1998291015625,482.79998779296875,494.1499938964844,482.0,490.0,334326
2024-07-12,484.6756286621094,487.29998779296875,490.95001220703125,483.29998779296875,484.70001220703125,298701
2024-07-15,484.3275146484375,486.95001220703125,492.20001220703125,480.3999938964844,489.6000061035156,184782
2024-07-16,476.91766357421875,479.5,488.6499938964844,477.0,485.8500061035156,248004
2024-07-18,460.0091857910156,462.5,480.5,460.1000061035156,479.0,682935
2024-07-19,450.6598205566406,453.1000061035156,465.75,448.29998779296875,462.5,597462
2024-07-22,468.1650390625,470.70001220703125,472.0,440.04998779296875,440.04998779296875,617635
2024-07-23,457.1745300292969,459.6499938964844,484.0,446.1000061035156,470.0,562162
2024-07-24,470.4526672363281,473.0,475.8999938964844,460.8999938964844,464.6000061035156,204771
2024-07-25,467.3693542480469,469.8999938964844,479.3999938964844,463.54998779296875,465.8999938964844,331829
2024-07-26,473.0386657714844,475.6000061035156,487.95001220703125,472.5,474.8999938964844,576363
2024-07-29,478.4095458984375,481.0,489.5,479.20001220703125,484.0,562576
2024-07-30,488.85302734375,491.5,494.79998779296875,478.0,483.29998779296875,602717
2024-07-31,491.8368835449219,494.5,498.8999938964844,490.0,491.5,441469
2024-08-01,498.1029357910156,500.79998779296875,505.70001220703125,493.79998779296875,494.5,684097
2024-08-02,488.85302734375,491.5,501.8999938964844,486.29998779296875,490.70001220703125,929863
2024-08-05,463.7887268066406,466.29998779296875,484.8999938964844,462.1499938964844,484.8999938964844,524030
2024-08-06,425.44635009765625,427.75,461.6499938964844,423.0,423.0,3269226
2024-08-07,413.5109558105469,415.75,442.6499938964844,415.0,435.0,1417671
2024-08-08,400.97882080078125,403.1499938964844,418.0,401.54998779296875,418.0,1802458
