date_,adj close_tejasnet.ns,close_tejasnet.ns,high_tejasnet.ns,low_tejasnet.ns,open_tejasnet.ns,volume_tejasnet.ns
2024-01-16,846.4075927734375,849.4500122070312,862.0,846.0,857.9000244140625,263006
2024-01-17,851.33984375,854.4000244140625,859.5999755859375,836.5,842.0,240720
2024-01-18,845.5606079101562,848.5999755859375,855.9500122070312,830.0999755859375,850.0499877929688,239074
2024-01-19,858.7631225585938,861.8499755859375,869.0,845.4000244140625,852.0,487198
2024-01-23,740.8370361328125,743.5,820.0,738.0,811.0,1102690
2024-01-24,782.6368408203125,785.4500122070312,788.0,742.7000122070312,743.0,647200
2024-01-25,768.4378662109375,771.2000122070312,795.2000122070312,770.0,785.4500122070312,228693
2024-01-29,753.0929565429688,755.7999877929688,780.6500244140625,754.0,775.9500122070312,416407
2024-01-30,745.4703979492188,748.1500244140625,767.9000244140625,745.0,760.0,256951
2024-01-31,782.6368408203125,785.4500122070312,789.2000122070312,750.0,753.0,802067
2024-02-01,767.7901611328125,770.5499877929688,795.75,767.5999755859375,793.0,273159
2024-02-02,765.94677734375,768.7000122070312,789.2000122070312,765.0499877929688,776.7000122070312,225298
2024-02-05,750.7514038085938,753.4500122070312,767.0,745.2000122070312,765.0,316779
2024-02-06,756.5804443359375,759.2999877929688,762.1500244140625,750.0,753.4500122070312,172382
2024-02-07,759.6195068359375,762.3499755859375,776.0,759.2999877929688,765.0,259273
2024-02-08,745.3209228515625,748.0,768.3499755859375,745.0499877929688,766.9000244140625,234438
2024-02-09,724.744873046875,727.3499755859375,756.0,725.5,753.0,351796
2024-02-12,686.7315673828125,689.2000122070312,732.4500122070312,685.0,730.1500244140625,512249
2024-02-13,680.3544311523438,682.7999877929688,701.9500122070312,652.8499755859375,689.25,531549
2024-02-14,707.0086059570312,709.5499877929688,721.9500122070312,665.0,675.0,857157
2024-02-15,735.85498046875,738.5,756.0,705.25,716.0,1213598
2024-02-16,745.9187622070312,748.5999755859375,754.7999877929688,719.9000244140625,740.7999877929688,521608
2024-02-19,737.7979736328125,740.4500122070312,759.0,734.4000244140625,748.0,344892
2024-02-20,735.107666015625,737.75,750.0,734.5,740.4500122070312,234954
2024-02-21,747.8119506835938,750.5,758.0,737.5,743.0,561452
2024-02-22,748.2105712890625,750.9000244140625,760.0,744.5499877929688,755.0,240065
2024-02-23,749.3563842773438,752.0499877929688,769.9500122070312,747.2999877929688,755.0,339720
2024-02-26,742.4811401367188,745.1500244140625,758.0,733.25,758.0,221761
2024-02-27,730.524169921875,733.1500244140625,751.5,730.0999755859375,749.0,156317
2024-02-28,747.6624755859375,750.3499755859375,763.75,734.0,736.5,545493
2024-02-29,744.0255737304688,746.7000122070312,759.7999877929688,737.2999877929688,750.3499755859375,289180
2024-03-01,745.9686279296875,748.6500244140625,760.0,746.0,751.7000122070312,170601
2024-03-04,754.9862060546875,757.7000122070312,765.0,748.2000122070312,759.75,212063
2024-03-05,741.88330078125,744.5499877929688,762.25,738.6500244140625,758.0499877929688,197592
2024-03-06,726.189697265625,728.7999877929688,745.5,719.4500122070312,740.0499877929688,262008
2024-03-07,763.4557495117188,766.2000122070312,779.0,726.0499877929688,730.75,855222
2024-03-11,728.3818359375,731.0,770.0,730.0,770.0,355481
2024-03-12,708.3538208007812,710.9000244140625,736.9000244140625,705.0,736.9000244140625,373928
2024-03-13,670.4899291992188,672.9000244140625,720.9500122070312,667.3499755859375,705.0,708244
2024-03-14,703.2222290039062,705.75,709.9500122070312,674.5499877929688,679.9500122070312,421341
2024-03-15,711.94091796875,714.5,717.2999877929688,694.3499755859375,705.0,254335
2024-03-18,704.2186889648438,706.75,718.9000244140625,704.0,715.0,129565
2024-03-19,690.218994140625,692.7000122070312,709.9500122070312,690.9000244140625,706.75,169622
2024-03-20,682.1978759765625,684.6500244140625,699.0,678.0999755859375,692.7000122070312,207470
