date_,adj close_fact.ns,close_fact.ns,high_fact.ns,low_fact.ns,open_fact.ns,volume_fact.ns
2024-01-16,804.7312622070312,805.8499755859375,821.0999755859375,793.25,799.1500244140625,862674
2024-01-17,804.5814819335938,805.7000122070312,819.5,790.9500122070312,799.0,783382
2024-01-18,809.2750244140625,810.4000244140625,843.5999755859375,806.4000244140625,807.0,3109843
2024-01-19,813.71875,814.8499755859375,838.7999877929688,812.75,817.0,1010119
2024-01-23,810.9725952148438,812.0999755859375,855.0,805.2000122070312,840.5,1176421
2024-01-24,821.4580078125,822.5999755859375,828.7000122070312,801.2999877929688,815.0,588086
2024-01-25,885.6188354492188,886.8499755859375,908.0,825.0499877929688,826.0,4922603
2024-01-29,860.453857421875,861.6500244140625,895.7000122070312,848.2000122070312,894.9000244140625,1346066
2024-01-30,844.9754028320312,846.1500244140625,874.7000122070312,836.5,867.9000244140625,590893
2024-01-31,861.3526000976562,862.5499877929688,867.0,840.1500244140625,851.0,497016
2024-02-01,835.388671875,836.5499877929688,879.8499755859375,826.0499877929688,867.1500244140625,1044133
2024-02-02,819.610595703125,820.75,846.0,813.1500244140625,841.5,530606
2024-02-05,784.7091064453125,785.7999877929688,820.0,777.3499755859375,820.0,634597
2024-02-06,805.7799072265625,806.9000244140625,813.5499877929688,783.9000244140625,786.4500122070312,429885
2024-02-07,785.6578369140625,786.75,817.7999877929688,781.3499755859375,810.9500122070312,408920
2024-02-08,780.2653198242188,781.3499755859375,801.8499755859375,776.0,786.75,300506
2024-02-09,762.090576171875,763.1500244140625,788.6500244140625,752.2000122070312,782.0,280927
2024-02-12,772.82568359375,773.9000244140625,805.4500122070312,747.0499877929688,763.1500244140625,985642
2024-02-13,762.2403564453125,763.2999877929688,783.5999755859375,761.0,774.9500122070312,316869
2024-02-14,743.5662841796875,744.5999755859375,762.7000122070312,717.9500122070312,758.0,616998
2024-02-15,777.0198364257812,778.0999755859375,793.25,737.6500244140625,744.0,817014
2024-02-16,781.813232421875,782.9000244140625,791.5,771.2000122070312,784.0,236530
2024-02-19,829.9962158203125,831.1500244140625,842.9000244140625,785.4000244140625,791.0,1533443
2024-02-20,832.1431884765625,833.2999877929688,842.5,827.0499877929688,836.0999755859375,354742
2024-02-21,838.584228515625,839.75,873.9000244140625,831.2000122070312,835.0,1217453
2024-02-22,827.4496459960938,828.5999755859375,845.4000244140625,818.1500244140625,845.4000244140625,274437
2024-02-23,791.2000732421875,792.2999877929688,832.9000244140625,788.4500122070312,831.5999755859375,925244
2024-02-26,771.976806640625,773.0499877929688,795.0999755859375,770.0999755859375,794.7000122070312,369162
2024-02-27,771.177978515625,772.25,786.4500122070312,767.0,780.0999755859375,271659
2024-02-28,739.5219116210938,740.5499877929688,777.5999755859375,737.0,777.0,321134
2024-02-29,714.9561157226562,715.9500122070312,748.0,710.0999755859375,740.5499877929688,578469
2024-03-01,722.2958984375,723.2999877929688,729.7999877929688,708.0,721.7000122070312,466486
2024-03-04,719.1502685546875,720.1500244140625,735.0,712.0499877929688,735.0,360418
2024-03-05,715.9547119140625,716.9500122070312,729.1500244140625,715.0,720.2999877929688,216173
2024-03-06,691.8382568359375,692.7999877929688,718.0999755859375,690.7999877929688,714.9500122070312,202823
2024-03-07,710.1128540039062,711.0999755859375,728.9000244140625,692.7999877929688,692.7999877929688,672284
2024-03-11,683.100341796875,684.0499877929688,711.0,680.0499877929688,711.0,235063
2024-03-12,652.492919921875,653.4000244140625,686.7999877929688,648.0,684.0499877929688,247179
2024-03-13,592.5762329101562,593.4000244140625,658.5,582.25,654.1500244140625,540990
2024-03-14,673.6634521484375,674.5999755859375,686.0,572.5999755859375,591.8499755859375,1031883
2024-03-15,651.1947021484375,652.0999755859375,708.0,643.0,675.9500122070312,971443
2024-03-18,640.4097290039062,641.2999877929688,662.9500122070312,620.3499755859375,658.0,523628
2024-03-19,639.0615844726562,639.9500122070312,660.7999877929688,635.0,643.0,357373
2024-03-20,631.4222412109375,632.2999877929688,647.9000244140625,621.9000244140625,644.9500122070312,364669
2024-03-21,642.9561767578125,643.8499755859375,654.4500122070312,633.8499755859375,642.0,275221
2024-03-22,656.0879516601562,657.0,669.7000122070312,640.8499755859375,644.5499877929688,559705
2024-03-26,638.6122436523438,639.5,667.0,635.0,660.5,397899
2024-03-27,641.458251953125,642.3499755859375,652.9000244140625,635.7000122070312,648.9000244140625,444341
2024-03-28,627.0783081054688,627.9500122070312,648.9000244140625,625.0,647.9500122070312,290205
2024-04-01,665.3250732421875,666.25,670.9000244140625,627.5499877929688,627.9500122070312,805870
2024-04-02,674.2127685546875,675.1500244140625,682.3499755859375,655.0999755859375,667.0,675566
2024-04-03,694.7341918945312,695.7000122070312,715.0,667.0,670.0,1343758
2024-04-04,697.33056640625,698.2999877929688,709.4000244140625,695.0,701.0,397518
2024-04-05,698.1294555664062,699.0999755859375,707.0,688.0,698.2999877929688,354776
2024-04-08,685.7467041015625,686.7000122070312,706.2999877929688,683.2000122070312,704.0,185869
2024-04-09,686.6453857421875,687.5999755859375,711.7000122070312,682.4000244140625,686.7000122070312,377956
2024-04-10,691.9381103515625,692.9000244140625,703.7999877929688,680.25,690.9500122070312,387960
2024-04-12,676.01025390625,676.9500122070312,692.0,665.7000122070312,690.0,234141
2024-04-15,651.7439575195312,652.6500244140625,663.2000122070312,637.0,637.0,253030
2024-04-16,666.623291015625,667.5499877929688,676.4000244140625,648.0999755859375,654.0,363900
2024-04-18,651.7939453125,652.7000122070312,673.0999755859375,647.4000244140625,671.75,178776
2024-04-19,640.859130859375,641.75,650.9500122070312,630.0,647.9500122070312,205796
2024-04-22,664.2266845703125,665.1500244140625,673.9000244140625,646.0,646.0499877929688,486678
2024-04-23,672.4652099609375,673.4000244140625,684.5,663.4000244140625,669.9500122070312,307749
2024-04-24,710.1627807617188,711.1500244140625,731.7999877929688,676.9500122070312,678.0,3399661
2024-04-25,715.8547973632812,716.8499755859375,726.0,710.75,715.0,633105
2024-04-26,720.648193359375,721.6500244140625,734.9500122070312,711.0499877929688,721.2999877929688,983352
2024-04-29,719.3999633789062,720.4000244140625,746.0,715.0,725.0,702967
2024-04-30,714.2071533203125,715.2000122070312,726.4000244140625,711.5,724.0999755859375,205767
2024-05-02,713.7078247070312,714.7000122070312,730.0,708.0499877929688,718.2999877929688,265265
2024-05-03,709.7633056640625,710.75,727.0,708.4000244140625,718.25,235909
2024-05-06,690.5899658203125,691.5499877929688,715.0,685.5999755859375,714.0,192618
2024-05-07,680.953369140625,681.9000244140625,691.5499877929688,670.0,691.5,166330
2024-05-08,676.2599487304688,677.2000122070312,693.2000122070312,674.9000244140625,682.6500244140625,158133
2024-05-09,650.7952880859375,651.7000122070312,689.1500244140625,647.0,680.5,187522
2024-05-10,658.98388671875,659.9000244140625,664.2999877929688,639.0999755859375,660.0,140432
2024-05-13,643.10595703125,644.0,663.9000244140625,632.0499877929688,663.75,206031
2024-05-14,659.3833618164062,660.2999877929688,662.2999877929688,645.5999755859375,649.0,166330
2024-05-15,693.5858154296875,694.5499877929688,709.0,663.0,664.4500122070312,976383
2024-05-16,674.9117431640625,675.8499755859375,701.4000244140625,652.7999877929688,700.25,580338
2024-05-17,690.7897338867188,691.75,696.5,670.0999755859375,675.9000244140625,240081
2024-05-21,700.4762573242188,701.4500122070312,715.0,687.0,696.2999877929688,381407
2024-05-22,698.3292236328125,699.2999877929688,711.9000244140625,693.6500244140625,705.0,188316
2024-05-23,691.7384033203125,692.7000122070312,706.5,690.0,702.7999877929688,115002
2024-05-24,716.0545654296875,717.0499877929688,747.7999877929688,687.5499877929688,688.7000122070312,2839980
2024-05-27,709.6635131835938,710.6500244140625,734.5999755859375,705.9000244140625,719.0,517043
2024-05-28,697.9297485351562,698.9000244140625,716.7000122070312,694.0499877929688,716.2999877929688,296167
2024-05-29,692.4374389648438,693.4000244140625,708.0,686.5499877929688,699.9000244140625,265910
2024-05-30,682.20166015625,683.1500244140625,700.0,680.2000122070312,691.7000122070312,157753
2024-05-31,673.5137329101562,674.4500122070312,696.0,671.0,686.9500122070312,182298
2024-06-03,700.7758178710938,701.75,712.0,682.0999755859375,699.0,440417
2024-06-04,637.3639526367188,638.25,702.0,579.7999877929688,701.0,300298
2024-06-05,655.1392211914062,656.0499877929688,665.5,625.2999877929688,644.5999755859375,267688
2024-06-06,694.484619140625,695.4500122070312,705.4000244140625,669.9500122070312,670.0,399641
2024-06-07,699.0781860351562,700.0499877929688,707.25,690.0,695.9500122070312,229651
2024-06-10,801.585693359375,802.7000122070312,810.0,700.0499877929688,705.0,10801714
2024-06-11,774.9227294921875,776.0,805.0,771.0,805.0,1809814
2024-06-12,771.2777709960938,772.3499755859375,801.5,769.1500244140625,778.5,1368136
2024-06-13,771.3278198242188,772.4000244140625,788.3499755859375,765.5,777.4500122070312,890729
2024-06-14,778.8173217773438,779.9000244140625,803.0499877929688,768.0,776.75,1108189
2024-06-18,865.5966796875,866.7999877929688,885.0,772.0,784.4000244140625,9810914
2024-06-19,907.3886108398438,908.6500244140625,942.5,882.0,884.0,9758371
2024-06-20,1088.83642578125,1090.3499755859375,1090.3499755859375,892.5499877929688,908.25,15399792
2024-06-21,1132.8751220703125,1134.449951171875,1187.0,1062.0999755859375,1130.0,11102873
2024-06-24,1019.5825805664062,1021.0,1104.0,1021.0,1071.0,3229907
2024-06-25,997.6630859375,999.0499877929688,1042.4000244140625,984.0,1014.75,1993322
