date_,adj close_indhotel.ns,close_indhotel.ns,high_indhotel.ns,low_indhotel.ns,open_indhotel.ns,volume_indhotel.ns
2024-01-16,465.67572021484375,468.45001220703125,478.95001220703125,461.3999938964844,478.8999938964844,2895440
2024-01-17,459.2142333984375,461.95001220703125,469.1499938964844,460.0,466.0,2775046
2024-01-18,460.85443115234375,463.6000061035156,467.79998779296875,450.6000061035156,458.6499938964844,3411840
2024-01-19,479.34429931640625,482.20001220703125,484.6499938964844,463.75,468.0,4333124
2024-01-23,468.5088195800781,471.29998779296875,486.0,466.8500061035156,485.0,4050796
2024-01-24,477.5052490234375,480.3500061035156,481.8999938964844,466.1499938964844,472.04998779296875,2754783
2024-01-25,470.7951965332031,473.6000061035156,482.5,466.0,482.5,1845603
2024-01-29,493.211669921875,496.1499938964844,500.0,473.6000061035156,473.6000061035156,8503267
2024-01-30,490.2791442871094,493.20001220703125,501.04998779296875,487.1499938964844,500.0,3676704
2024-01-31,489.7323913574219,492.6499938964844,496.20001220703125,488.0,495.8500061035156,2911432
2024-02-01,491.62109375,494.54998779296875,496.5,486.95001220703125,495.45001220703125,1703943
2024-02-02,497.0388488769531,500.0,515.9500122070312,497.75,515.9500122070312,8862376
2024-02-05,506.0849914550781,509.1000061035156,513.4500122070312,500.3500061035156,505.0,4845339
2024-02-06,503.1524353027344,506.1499938964844,511.5,504.54998779296875,510.0,1032953
2024-02-07,521.642333984375,524.75,527.6500244140625,508.3999938964844,508.3999938964844,6135635
2024-02-08,521.9901733398438,525.0999755859375,530.5,523.0,527.4500122070312,2720940
2024-02-09,529.7937622070312,532.9500122070312,537.0,523.4500122070312,525.5999755859375,5010458
2024-02-12,527.2588500976562,530.4000244140625,538.5499877929688,526.3499755859375,535.5499877929688,6533765
2024-02-13,520.4990844726562,523.5999755859375,532.2000122070312,515.4000244140625,530.4000244140625,1598809
2024-02-14,524.5748291015625,527.7000122070312,529.4000244140625,515.0,518.0,2394798
2024-02-15,524.4754028320312,527.5999755859375,531.5,524.9500122070312,528.8499755859375,1539340
2024-02-16,534.366455078125,537.5499877929688,540.9000244140625,525.7000122070312,529.75,2301137
2024-02-19,539.2374267578125,542.4500122070312,544.5999755859375,535.0999755859375,538.5,2610308
2024-02-20,545.4007568359375,548.6500244140625,551.2000122070312,542.7999877929688,543.0,2492365
2024-02-21,553.7012939453125,557.0,564.6500244140625,546.1500244140625,548.75,3129382
2024-02-22,575.421875,578.8499755859375,583.2000122070312,552.9000244140625,559.9500122070312,7699038
2024-02-23,590.9791870117188,594.5,602.75,579.0,580.0,6840055
2024-02-26,576.266845703125,579.7000122070312,599.5,567.0,594.5,12304371
2024-02-27,585.7603149414062,589.25,594.25,575.25,579.0,2853137
