date_,adj close_ncc.ns,close_ncc.ns,high_ncc.ns,low_ncc.ns,open_ncc.ns,volume_ncc.ns
2024-01-16,195.9739227294922,199.3000030517578,205.64999389648438,194.75,195.8000030517578,11875690
2024-01-17,189.72988891601562,192.9499969482422,198.8000030517578,191.5500030517578,197.6999969482422,5641978
2024-01-18,193.36813354492188,196.64999389648438,197.60000610351562,186.0,193.8000030517578,6003230
2024-01-19,200.15298461914062,203.5500030517578,204.9499969482422,196.1999969482422,197.60000610351562,8341884
2024-01-23,189.53323364257812,192.75,206.4499969482422,191.10000610351562,206.0,4753488
2024-01-24,193.31898498535156,196.60000610351562,197.6999969482422,188.5,193.1999969482422,4366598
2024-01-25,191.2540283203125,194.5,197.89999389648438,193.5,197.60000610351562,3254230
2024-01-29,208.65863037109375,212.1999969482422,213.64999389648438,194.10000610351562,196.0,18409016
2024-01-30,207.3803253173828,210.89999389648438,219.8000030517578,209.5500030517578,214.6999969482422,8608300
2024-01-31,211.85438537597656,215.4499969482422,216.8000030517578,211.3000030517578,211.9499969482422,5349258
2024-02-01,204.62705993652344,208.10000610351562,217.39999389648438,207.10000610351562,217.35000610351562,6132071
2024-02-02,211.55938720703125,215.14999389648438,222.60000610351562,210.1999969482422,210.1999969482422,14982619
2024-02-05,213.18185424804688,216.8000030517578,221.0,212.89999389648438,217.8000030517578,6150171
2024-02-06,215.64015197753906,219.3000030517578,220.8000030517578,216.0,218.0,4557369
2024-02-07,216.6234588623047,220.3000030517578,224.75,218.10000610351562,220.35000610351562,4932847
2024-02-08,215.54180908203125,219.1999969482422,222.8000030517578,215.10000610351562,222.6999969482422,6432346
2024-02-09,221.34335327148438,225.10000610351562,229.5,210.85000610351562,223.3000030517578,26378423
2024-02-12,209.15028381347656,212.6999969482422,226.89999389648438,207.25,226.0,8286067
2024-02-13,214.65682983398438,218.3000030517578,219.75,205.5500030517578,215.5,6773508
2024-02-14,218.4917449951172,222.1999969482422,223.35000610351562,213.0500030517578,215.85000610351562,4648599
2024-02-15,219.57339477539062,223.3000030517578,231.1999969482422,221.5,223.8000030517578,6809876
2024-02-16,221.7858428955078,225.5500030517578,229.60000610351562,223.0500030517578,225.10000610351562,4182139
2024-02-19,227.0465545654297,230.89999389648438,233.75,222.5,226.39999389648438,7354479
2024-02-20,222.42498779296875,226.1999969482422,231.8000030517578,225.5,231.8000030517578,2913980
2024-02-21,222.76914978027344,226.5500030517578,232.9499969482422,225.4499969482422,227.1999969482422,5077824
2024-02-22,238.99378967285156,243.0500030517578,246.6999969482422,225.3000030517578,227.5,23579808
