date_,adj close_fincables.ns,close_fincables.ns,high_fincables.ns,low_fincables.ns,open_fincables.ns,volume_fincables.ns
2024-01-16,1037.33349609375,1053.0999755859375,1087.699951171875,1032.199951171875,1072.5,214096
2024-01-17,1041.3720703125,1057.199951171875,1065.0,1044.0,1044.949951171875,138468
2024-01-18,1043.9825439453125,1059.8499755859375,1075.0,1041.050048828125,1062.1500244140625,164170
2024-01-19,1049.744873046875,1065.699951171875,1073.4000244140625,1056.8499755859375,1068.3499755859375,88929
2024-01-23,1063.8800048828125,1080.050048828125,1104.300048828125,1068.800048828125,1100.0,234135
2024-01-24,1068.06640625,1084.300048828125,1090.0,1061.050048828125,1080.050048828125,171092
2024-01-25,1090.2296142578125,1106.800048828125,1124.0,1080.6500244140625,1088.949951171875,451277
2024-01-29,1088.8505859375,1105.4000244140625,1120.0,1095.550048828125,1117.0,220596
2024-01-30,1070.9229736328125,1087.199951171875,1113.6500244140625,1074.4000244140625,1107.0,209530
2024-01-31,1083.728271484375,1100.199951171875,1103.5999755859375,1087.0,1089.6500244140625,176323
2024-02-01,1075.7496337890625,1092.0999755859375,1107.449951171875,1070.5,1103.949951171875,143517
2024-02-02,1048.7598876953125,1064.699951171875,1095.800048828125,1054.9000244140625,1092.0999755859375,143010
2024-02-05,1062.648681640625,1078.800048828125,1091.449951171875,1064.0,1064.0,194770
2024-02-06,1086.2894287109375,1102.800048828125,1134.050048828125,1079.0,1080.0,289603
2024-02-07,1113.6732177734375,1130.5999755859375,1183.0,1117.8499755859375,1125.0,897307
2024-02-08,1119.9774169921875,1137.0,1150.0,1102.050048828125,1140.0,280446
2024-02-09,1042.6033935546875,1058.449951171875,1137.199951171875,1052.0,1137.0,313621
2024-02-12,981.8764038085938,996.7999877929688,1069.949951171875,987.0,1059.050048828125,244465
2024-02-13,994.7803344726562,1009.9000244140625,1014.0,982.0499877929688,996.7999877929688,269826
2024-02-14,988.5253295898438,1003.5499877929688,1010.0499877929688,992.0,1010.0499877929688,116292
2024-02-15,987.7865600585938,1002.7999877929688,1024.0,995.2000122070312,1019.9000244140625,207133
2024-02-16,984.0927124023438,999.0499877929688,1020.0,994.0499877929688,1014.7000122070312,149777
