date_,adj close_sci.ns,close_sci.ns,high_sci.ns,low_sci.ns,open_sci.ns,volume_sci.ns
2024-01-16,164.19871520996094,171.5500030517578,179.60000610351562,169.14999389648438,174.89999389648438,6912470
2024-01-17,163.0501251220703,170.35000610351562,174.25,168.89999389648438,170.6999969482422,3137957
2024-01-18,161.32725524902344,168.5500030517578,172.0,162.64999389648438,170.8000030517578,3203783
2024-01-19,163.57655334472656,170.89999389648438,171.75,169.5,170.1999969482422,2435723
2024-01-23,177.6466522216797,185.60000610351562,202.35000610351562,181.60000610351562,187.60000610351562,30842873
2024-01-24,181.8580780029297,190.0,196.25,186.0500030517578,188.0500030517578,10653438
2024-01-25,200.28318786621094,209.25,214.39999389648438,191.0,191.35000610351562,35022024
2024-01-29,198.27316284179688,207.14999389648438,214.35000610351562,206.10000610351562,211.5,9300712
2024-01-30,198.79959106445312,207.6999969482422,212.64999389648438,204.0,208.8000030517578,7443673
2024-01-31,202.62818908691406,211.6999969482422,219.6999969482422,207.5500030517578,208.5,12064197
2024-02-01,221.05328369140625,230.9499969482422,239.39999389648438,216.6999969482422,217.39999389648438,37765128
2024-02-02,253.8356170654297,265.20001220703125,270.0,231.75,235.14999389648438,48697945
2024-02-05,265.79998779296875,277.70001220703125,290.75,264.54998779296875,271.75,40078618
2024-02-06,253.4048614501953,264.75,280.29998779296875,255.60000610351562,280.20001220703125,12447936
2024-02-07,243.0198211669922,253.89999389648438,267.70001220703125,252.5500030517578,265.0,6432894
2024-02-08,239.90908813476562,250.64999389648438,259.8999938964844,245.64999389648438,255.8000030517578,7668146
2024-02-09,223.54188537597656,233.5500030517578,250.5,226.35000610351562,250.0,7393483
2024-02-12,203.25035095214844,212.35000610351562,237.8000030517578,210.1999969482422,234.5,8385590
2024-02-13,208.70608520507812,218.0500030517578,220.0,204.5,212.85000610351562,6618207
2024-02-14,213.3961181640625,222.9499969482422,225.89999389648438,212.3000030517578,217.0,4697752
2024-02-15,219.6175537109375,229.4499969482422,232.5500030517578,223.5500030517578,227.89999389648438,5387937
2024-02-16,218.1818389892578,227.9499969482422,233.89999389648438,227.0,231.0,2520357
2024-02-19,229.04547119140625,239.3000030517578,239.3000030517578,229.60000610351562,230.0,1715040
2024-02-20,240.4833984375,251.25,251.25,237.6999969482422,239.3000030517578,6922925
2024-02-21,232.0126190185547,242.39999389648438,258.70001220703125,240.35000610351562,254.0,5781257
2024-02-22,238.32980346679688,249.0,250.64999389648438,234.0500030517578,245.9499969482422,3324580
2024-02-23,234.9319305419922,245.4499969482422,251.8000030517578,244.0,251.0,1662440
2024-02-26,227.6097412109375,237.8000030517578,247.8000030517578,237.10000610351562,246.0,1397468
2024-02-27,217.70326232910156,227.4499969482422,238.5,226.85000610351562,237.39999389648438,2462959
2024-02-28,217.9904022216797,227.75,238.0,224.5500030517578,229.8000030517578,3197267
2024-02-29,226.46116638183594,236.60000610351562,239.10000610351562,222.0,228.85000610351562,2790826
2024-03-01,223.2068634033203,233.1999969482422,242.6999969482422,232.10000610351562,241.85000610351562,1600541
2024-03-04,226.36544799804688,236.5,242.10000610351562,234.4499969482422,234.4499969482422,2079622
2024-03-05,224.4990234375,234.5500030517578,239.14999389648438,232.1999969482422,237.5,1378596
2024-03-06,216.74612426757812,226.4499969482422,235.14999389648438,224.8000030517578,231.5500030517578,1739857
2024-03-07,216.7939910888672,226.5,232.75,225.5500030517578,228.39999389648438,1102940
2024-03-11,208.56251525878906,217.89999389648438,226.5,217.0,226.5,1562364
2024-03-12,200.76174926757812,209.75,218.60000610351562,208.10000610351562,218.10000610351562,1962652
2024-03-13,190.7595672607422,199.3000030517578,212.0,199.3000030517578,210.0,1620097
2024-03-14,194.540283203125,203.25,207.0,189.5500030517578,189.5500030517578,3379647
2024-03-15,189.8502655029297,198.35000610351562,206.3000030517578,193.10000610351562,202.5,1911425
2024-03-18,193.87030029296875,202.5500030517578,208.25,200.0,203.0,1899943
2024-03-19,186.30882263183594,194.64999389648438,205.9499969482422,194.0,203.89999389648438,1624019
2024-03-20,184.82525634765625,193.10000610351562,197.85000610351562,190.0,197.39999389648438,1525099
2024-03-21,191.8602752685547,200.4499969482422,202.75,195.39999389648438,195.8000030517578,1752874
2024-03-22,188.51026916503906,196.9499969482422,204.0,196.5,201.0,1591460
2024-03-26,184.10740661621094,192.35000610351562,197.89999389648438,191.85000610351562,197.89999389648438,1650901
2024-03-27,193.29598999023438,201.9499969482422,201.9499969482422,193.0,193.0,3215418
2024-03-28,199.8524627685547,208.8000030517578,212.0,199.10000610351562,201.9499969482422,4851003
