date_,adj close_ccl.ns,close_ccl.ns,high_ccl.ns,low_ccl.ns,open_ccl.ns,volume_ccl.ns
2024-01-16,628.39990234375,636.2000122070312,637.75,632.25,635.0499877929688,38423
2024-01-17,620.6461181640625,628.3499755859375,633.9500122070312,626.3499755859375,630.4000244140625,59105
2024-01-18,621.5844116210938,629.2999877929688,632.0,623.0,625.5999755859375,71363
2024-01-19,625.8811645507812,633.6500244140625,637.9000244140625,629.3499755859375,631.0,69610
2024-01-23,625.68359375,633.4500122070312,639.4000244140625,627.0,631.1500244140625,132957
2024-01-24,629.0418090820312,636.8499755859375,644.2000122070312,630.1500244140625,633.4500122070312,107858
2024-01-25,634.030029296875,641.9000244140625,643.25,634.0,640.0,63607
2024-01-29,660.1063232421875,668.2999877929688,674.0,644.0999755859375,644.9000244140625,513506
2024-01-30,664.7980346679688,673.0499877929688,678.9500122070312,668.75,675.0,219458
2024-01-31,662.8225708007812,671.0499877929688,688.25,667.5999755859375,671.0,492299
2024-02-01,661.7854614257812,670.0,674.8499755859375,667.4000244140625,671.0499877929688,103305
2024-02-02,637.28955078125,645.2000122070312,677.2999877929688,639.0499877929688,670.2000122070312,227117
2024-02-05,627.3133544921875,635.0999755859375,647.0499877929688,625.5999755859375,644.0,206015
2024-02-06,637.2401733398438,645.1500244140625,665.4500122070312,627.0,627.0,397296
2024-02-07,659.1679077148438,667.3499755859375,672.1500244140625,647.0,647.9000244140625,233523
2024-02-08,654.6243896484375,662.75,672.9500122070312,654.5,672.0,187669
2024-02-09,653.3896484375,661.5,665.25,641.0,662.75,86264
2024-02-12,634.9683227539062,642.8499755859375,664.4000244140625,638.0,664.4000244140625,84353
2024-02-13,627.0663452148438,634.8499755859375,648.7999877929688,633.0,643.6500244140625,79442
2024-02-14,649.1917724609375,657.25,659.9500122070312,628.25,634.9500122070312,83194
2024-02-15,653.0090942382812,658.5999755859375,665.0,651.3499755859375,657.25,52129
2024-02-16,642.0033569335938,647.5,660.9500122070312,641.0999755859375,654.2000122070312,90635
2024-02-19,635.4594116210938,640.9000244140625,652.0,639.5999755859375,648.0499877929688,102369
2024-02-20,642.8956909179688,648.4000244140625,653.9500122070312,638.5999755859375,640.9000244140625,70220
2024-02-21,638.0372924804688,643.5,659.0,639.0499877929688,651.6500244140625,99880
2024-02-22,632.7822875976562,638.2000122070312,648.7999877929688,636.0,646.7000122070312,46041
2024-02-23,631.3446044921875,636.75,644.0,633.7999877929688,640.0,65724
2024-02-26,633.6746215820312,639.0999755859375,643.9500122070312,636.75,638.0,59363
2024-02-27,642.6973876953125,648.2000122070312,651.25,636.7999877929688,640.1500244140625,66012
2024-02-28,636.7483520507812,642.2000122070312,670.0,629.9000244140625,651.0499877929688,420429
2024-02-29,624.404052734375,629.75,642.2000122070312,627.3499755859375,642.2000122070312,192718
2024-03-01,622.817626953125,628.1500244140625,648.0,626.0999755859375,632.7999877929688,94480
2024-03-04,620.9337158203125,626.25,632.5,625.0,632.5,54073
2024-03-05,619.743896484375,625.0499877929688,630.0,620.5,627.6500244140625,80768
2024-03-06,604.5242309570312,609.7000122070312,626.5,605.0,623.0,128741
2024-03-07,608.0936279296875,613.2999877929688,619.7000122070312,606.4500122070312,610.7000122070312,172603
2024-03-11,601.9462890625,607.0999755859375,616.2000122070312,601.0999755859375,614.7999877929688,101705
2024-03-12,602.7890625,607.9500122070312,612.5,589.0,607.0999755859375,147755
2024-03-13,585.041015625,590.0499877929688,609.5,585.0,609.5,117841
2024-03-14,584.3469848632812,589.3499755859375,597.9000244140625,586.2000122070312,597.9000244140625,94356
