date_,adj close_igl.ns,close_igl.ns,high_igl.ns,low_igl.ns,open_igl.ns,volume_igl.ns
2024-01-16,210.67227172851562,216.89999389648438,217.4250030517578,213.6999969482422,217.4250030517578,5677276
2024-01-17,210.21090698242188,216.4250030517578,218.27499389648438,212.0749969482422,213.5,5188500
2024-01-18,212.71197509765625,219.0,219.77499389648438,211.5500030517578,216.4250030517578,4826890
2024-01-19,216.6942596435547,223.10000610351562,223.89999389648438,219.5749969482422,222.10000610351562,5606588
2024-01-23,211.6678466796875,217.9250030517578,223.89999389648438,217.0,222.10000610351562,5956066
2024-01-24,211.20648193359375,217.4499969482422,220.75,214.5749969482422,217.5,3835336
2024-01-25,196.75857543945312,202.5749969482422,219.85000610351562,201.625,218.0,16779946
2024-01-29,203.5333251953125,209.5500030517578,210.75,202.1999969482422,204.9499969482422,7758234
2024-01-30,206.69000244140625,212.8000030517578,215.85000610351562,209.14999389648438,213.4499969482422,7606548
2024-01-31,209.0210723876953,215.1999969482422,216.39999389648438,212.1750030517578,213.02499389648438,3183954
2024-02-01,213.31903076171875,219.625,220.9499969482422,215.6999969482422,216.5,6465432
2024-02-02,216.184326171875,222.5749969482422,223.75,219.625,219.625,4401076
2024-02-05,213.65899658203125,219.97500610351562,226.25,219.14999389648438,224.5,5966788
2024-02-06,220.40943908691406,226.9250030517578,227.77499389648438,221.0,222.0,5441950
2024-02-07,218.1997528076172,224.64999389648438,229.5,224.27499389648438,229.5,4205880
2024-02-08,213.6346893310547,219.9499969482422,229.1999969482422,219.5500030517578,226.52499389648438,4375718
2024-02-09,213.65899658203125,219.97500610351562,221.39999389648438,213.1999969482422,220.0,2834142
2024-02-12,207.41845703125,213.5500030517578,220.75,212.6999969482422,220.47500610351562,2486992
2024-02-13,211.20648193359375,217.4499969482422,217.89999389648438,211.1999969482422,213.77499389648438,3295206
2024-02-14,212.17776489257812,218.4499969482422,219.1999969482422,213.35000610351562,216.9499969482422,1510884
2024-02-15,215.96580505371094,222.35000610351562,225.9499969482422,218.1750030517578,218.4499969482422,4045814
2024-02-16,213.6346893310547,219.9499969482422,223.39999389648438,219.10000610351562,223.39999389648438,2458062
2024-02-19,213.53758239746094,219.85000610351562,222.0,218.9250030517578,220.85000610351562,2112342
2024-02-20,213.6346893310547,219.9499969482422,221.35000610351562,216.6750030517578,220.25,2016374
2024-02-21,212.63912963867188,218.9250030517578,221.5,216.9499969482422,220.0,3659528
2024-02-22,214.31460571289062,220.64999389648438,221.72500610351562,216.8249969482422,219.25,2428258
2024-02-23,212.61485290527344,218.89999389648438,222.3249969482422,218.1750030517578,222.10000610351562,2428248
2024-02-26,209.23963928222656,215.4250030517578,219.3249969482422,215.0,218.5,6080636
2024-02-27,204.990234375,211.0500030517578,216.4499969482422,210.10000610351562,215.3249969482422,2150674
2024-02-28,201.95497131347656,207.9250030517578,213.1750030517578,207.10000610351562,211.0,2390560
2024-02-29,206.88424682617188,213.0,214.4250030517578,206.0500030517578,208.9499969482422,3558238
2024-03-01,210.6479949951172,216.875,217.5,212.6750030517578,213.85000610351562,2410516
2024-03-04,216.88851928710938,223.3000030517578,227.64999389648438,218.10000610351562,218.6999969482422,5129848
2024-03-05,222.6919708251953,229.27499389648438,230.0,223.625,225.0,7288354
2024-03-06,208.87539672851562,215.0500030517578,229.1999969482422,212.14999389648438,229.1999969482422,20149980
2024-03-07,208.87539672851562,215.0500030517578,216.4250030517578,205.60000610351562,210.0,8049630
2024-03-11,205.84011840820312,211.9250030517578,215.6999969482422,210.75,215.6999969482422,2536780
2024-03-12,206.9571075439453,213.0749969482422,218.97500610351562,211.52499389648438,213.5,7072816
2024-03-13,197.9241180419922,203.77499389648438,214.5,201.6999969482422,213.5749969482422,4985996
2024-03-14,199.551025390625,205.4499969482422,207.85000610351562,200.60000610351562,203.75,3325242
2024-03-15,200.3523406982422,206.27499389648438,207.0,202.0,205.4499969482422,4145194
2024-03-18,199.08969116210938,204.97500610351562,206.89999389648438,202.8000030517578,205.5,2398984
2024-03-19,197.2199249267578,203.0500030517578,205.02499389648438,200.27499389648438,205.0,3241700
2024-03-20,195.83584594726562,201.625,203.0,198.5749969482422,203.0,2864718
2024-03-21,200.449462890625,206.375,206.875,201.0500030517578,202.75,4714680
2024-03-22,200.449462890625,206.375,208.22500610351562,203.625,206.5,3625546
2024-03-26,203.26620483398438,209.27499389648438,210.1999969482422,205.0,206.0500030517578,2618570
2024-03-27,206.61715698242188,212.72500610351562,214.1750030517578,209.6999969482422,211.3000030517578,4407464
2024-03-28,209.21533203125,215.39999389648438,216.47500610351562,212.6750030517578,214.875,5867606
2024-04-01,213.85324096679688,220.1750030517578,221.6750030517578,215.4499969482422,215.4499969482422,4695626
2024-04-02,215.45587158203125,221.8249969482422,223.97500610351562,220.1750030517578,220.1750030517578,4113208
2024-04-03,214.33888244628906,220.6750030517578,223.9499969482422,218.1750030517578,221.8249969482422,3258508
2024-04-04,212.27490234375,218.5500030517578,222.5,217.25,220.77499389648438,4681770
2024-04-05,223.44471740722656,230.0500030517578,234.5,218.02499389648438,218.60000610351562,23458092
2024-04-08,230.85076904296875,237.6750030517578,241.0,229.0500030517578,230.9499969482422,12812420
2024-04-09,231.0692901611328,237.89999389648438,239.5,234.5749969482422,238.22500610351562,3200962
2024-04-10,231.67636108398438,238.52499389648438,241.35000610351562,237.375,237.875,6607262
2024-04-12,224.90164184570312,231.5500030517578,238.0,230.9499969482422,238.0,5102156
2024-04-15,228.4225616455078,235.1750030517578,244.5,227.5,227.5,21936712
2024-04-16,224.7073974609375,231.35000610351562,237.10000610351562,230.75,235.25,4934748
2024-04-18,212.3720245361328,218.64999389648438,235.1750030517578,217.6750030517578,233.5,10141202
2024-04-19,211.8378143310547,218.10000610351562,224.3000030517578,216.0749969482422,218.64999389648438,11530072
