date_,adj close_apollohosp.ns,close_apollohosp.ns,high_apollohosp.ns,low_apollohosp.ns,open_apollohosp.ns,volume_apollohosp.ns
2024-01-16,5874.3369140625,5904.5498046875,5967.4501953125,5829.0,5882.0,347797
2024-01-17,5895.5771484375,5925.89990234375,5980.35009765625,5831.25,5872.85009765625,378205
2024-01-18,5960.1953125,5990.85009765625,6028.9501953125,5838.0,5959.0,591170
2024-01-19,6063.46337890625,6094.64990234375,6120.0,5951.0,5987.0,326813
2024-01-23,6122.26123046875,6153.75,6428.7001953125,6133.64990234375,6428.0,982889
2024-01-24,6181.55615234375,6213.35009765625,6230.0,6083.35009765625,6153.5498046875,435151
2024-01-25,6137.2841796875,6168.85009765625,6238.2001953125,6119.10009765625,6210.0498046875,337391
2024-01-29,6297.36083984375,6329.75,6349.0,6177.7998046875,6199.0498046875,554591
2024-01-30,6277.5126953125,6309.7998046875,6387.85009765625,6283.7998046875,6331.0,304312
2024-01-31,6320.4423828125,6352.9501953125,6371.64990234375,6255.5498046875,6280.0,499281
2024-02-01,6255.77490234375,6287.9501953125,6377.0,6267.7998046875,6289.64990234375,255111
2024-02-02,6288.20751953125,6320.5498046875,6359.0498046875,6291.2998046875,6320.0,239428
2024-02-05,6202.59814453125,6234.5,6346.60009765625,6209.2001953125,6320.5498046875,147909
2024-02-06,6165.5888671875,6197.2998046875,6297.89990234375,6155.0498046875,6259.9501953125,326654
2024-02-07,6146.337890625,6177.9501953125,6248.85009765625,6155.0,6237.75,323738
2024-02-08,6199.1162109375,6231.0,6363.2001953125,6150.0,6201.5,794455
2024-02-09,6404.41064453125,6437.35009765625,6473.9501953125,6213.60009765625,6269.39990234375,933104
2024-02-12,6580.60400390625,6614.4501953125,6677.7998046875,6375.0,6464.89990234375,709946
2024-02-13,6684.51953125,6718.89990234375,6740.0,6598.25,6614.4501953125,521773
2024-02-14,6719.53955078125,6754.10009765625,6775.0,6700.0,6718.7998046875,452781
2024-02-15,6593.6865234375,6627.60009765625,6764.39990234375,6585.60009765625,6750.0,446114
2024-02-16,6566.77490234375,6600.5498046875,6660.4501953125,6525.10009765625,6631.0498046875,391508
2024-02-19,6623.08544921875,6657.14990234375,6675.9501953125,6511.0498046875,6620.0,334607
2024-02-20,6730.92919921875,6759.4501953125,6785.0,6637.85009765625,6667.5,559251
2024-02-21,6731.62548828125,6760.14990234375,6821.9501953125,6717.2998046875,6784.9501953125,537325
2024-02-22,6740.6376953125,6769.2001953125,6874.4501953125,6690.0498046875,6765.0,564432
2024-02-23,6745.466796875,6774.0498046875,6786.7998046875,6723.10009765625,6779.0,352524
2024-02-26,6556.21875,6584.0,6791.75,6570.89990234375,6769.9501953125,453443
2024-02-27,6592.6640625,6620.60009765625,6668.4501953125,6570.0,6588.0,313760
2024-02-28,6335.50390625,6362.35009765625,6630.0,6345.2998046875,6630.0,536602
2024-02-29,6075.8544921875,6101.60009765625,6392.5498046875,6062.0498046875,6392.5498046875,1543361
2024-03-01,6059.72265625,6085.39990234375,6107.0,5941.85009765625,6102.0,1749136
2024-03-04,6007.84228515625,6033.2998046875,6171.75,6022.85009765625,6145.0,551616
2024-03-05,6035.525390625,6061.10009765625,6103.5,5976.2001953125,6035.0498046875,724456
2024-03-06,6028.75341796875,6054.2998046875,6078.89990234375,5945.0,6025.0,588776
2024-03-07,6023.27685546875,6048.7998046875,6142.85009765625,6032.0,6065.5,738112
2024-03-11,6178.51953125,6204.7001953125,6225.0,6036.10009765625,6048.7998046875,521556
2024-03-12,6118.8720703125,6144.7998046875,6274.25,6107.5,6240.0,482112
2024-03-13,5983.04736328125,6008.39990234375,6180.0,5956.0498046875,6180.0,356191
2024-03-14,5997.73583984375,6023.14990234375,6095.0,5980.0,6008.39990234375,439181
2024-03-15,5957.9541015625,5983.2001953125,6030.85009765625,5941.60009765625,6015.0,764270
2024-03-18,6110.6572265625,6136.5498046875,6144.9501953125,5978.64990234375,5997.75,419258
2024-03-19,6087.40576171875,6113.2001953125,6125.7001953125,6034.0498046875,6077.0,542392
2024-03-20,6147.99853515625,6174.0498046875,6200.7001953125,6073.4501953125,6148.0,413963
2024-03-21,6156.4130859375,6182.5,6214.39990234375,6105.60009765625,6189.89990234375,350032
2024-03-22,6348.99658203125,6375.89990234375,6390.89990234375,6168.7001953125,6169.14990234375,727548
2024-03-26,6295.7724609375,6322.4501953125,6463.4501953125,6309.5,6398.0,629120
2024-03-27,6205.15673828125,6231.4501953125,6399.39990234375,6220.0,6355.0,603420
2024-03-28,6329.97705078125,6356.7998046875,6425.60009765625,6112.5,6231.4501953125,818070
2024-04-01,6430.00341796875,6457.25,6557.0,6372.75,6401.0,440465
2024-04-02,6392.66162109375,6419.75,6469.5,6404.2001953125,6469.5,213898
2024-04-03,6348.150390625,6375.0498046875,6409.0,6311.0,6399.5498046875,289202
2024-04-04,6413.423828125,6440.60009765625,6475.0,6326.39990234375,6425.0,547885
2024-04-05,6370.7548828125,6397.75,6480.0,6381.5498046875,6440.60009765625,239001
2024-04-08,6281.13427734375,6307.75,6397.75,6280.0,6397.75,491584
2024-04-09,6477.60205078125,6505.0498046875,6540.0,6330.9501953125,6347.7998046875,592624
2024-04-10,6462.46630859375,6489.85009765625,6515.89990234375,6451.0,6505.0498046875,174947
2024-04-12,6379.517578125,6406.5498046875,6477.89990234375,6362.7001953125,6450.0,450885
2024-04-15,6276.55419921875,6303.14990234375,6399.10009765625,6283.0,6325.10009765625,251305
2024-04-16,6308.0205078125,6334.75,6347.60009765625,6202.0,6299.9501953125,290190
2024-04-18,6048.52001953125,6074.14990234375,6334.39990234375,6053.2001953125,6306.10009765625,518459
2024-04-19,6143.51708984375,6169.5498046875,6199.0,6050.0,6140.0,560178
2024-04-22,6212.2265625,6238.5498046875,6258.0,6150.0,6154.5,197001
2024-04-23,6168.7607421875,6194.89990234375,6303.7998046875,6181.0,6241.5,217146
2024-04-24,6256.83740234375,6283.35009765625,6310.5,6186.14990234375,6229.89990234375,207837
2024-04-25,6357.162109375,6384.10009765625,6402.2001953125,6168.85009765625,6280.0,520353
2024-04-26,6232.1923828125,6258.60009765625,6380.0,6251.0498046875,6380.0,261065
2024-04-29,5943.1669921875,5968.35009765625,6200.0,5733.0,6200.0,2785015
2024-04-30,5922.00634765625,5947.10009765625,6023.0,5901.0,6000.0,1040838
2024-05-02,5933.4072265625,5958.5498046875,6000.0,5939.4501953125,5947.10009765625,572406
2024-05-03,5984.24267578125,6009.60009765625,6027.7001953125,5960.0498046875,6000.0,563849
2024-05-06,6031.14404296875,6056.7001953125,6086.14990234375,5986.2001953125,6050.0,419144
2024-05-07,5875.353515625,5900.25,6080.0,5856.39990234375,6080.0,455928
2024-05-08,5821.8310546875,5846.5,5910.0,5812.64990234375,5892.0,511587
2024-05-09,5781.89990234375,5806.39990234375,5892.0,5790.0,5859.89990234375,598157
2024-05-10,5817.7978515625,5842.4501953125,5881.0,5753.25,5819.9501953125,372227
2024-05-13,5805.54931640625,5830.14990234375,5842.39990234375,5790.2001953125,5820.0,348407
2024-05-14,5838.0615234375,5862.7998046875,5894.64990234375,5740.0,5855.0,558136
2024-05-15,5824.12109375,5848.7998046875,5883.4501953125,5820.0,5869.9501953125,509306
2024-05-16,5906.67138671875,5931.7001953125,5944.5,5850.0,5890.0,378026
2024-05-17,5927.93115234375,5953.0498046875,5973.0,5910.10009765625,5925.0,267904
2024-05-21,5923.1513671875,5948.25,6041.89990234375,5920.39990234375,6000.0,606639
2024-05-22,5843.38916015625,5868.14990234375,5958.60009765625,5844.9501953125,5958.60009765625,735701
2024-05-23,5944.85888671875,5970.0498046875,5991.4501953125,5860.60009765625,5878.4501953125,308200
2024-05-24,5889.39453125,5914.35009765625,5971.85009765625,5867.0,5938.2998046875,608807
2024-05-27,5914.23876953125,5939.2998046875,5959.5,5918.0,5950.0,189637
2024-05-28,5879.5859375,5904.5,5971.4501953125,5880.2998046875,5944.14990234375,314362
2024-05-29,5878.54052734375,5903.4501953125,5945.0,5880.89990234375,5909.89990234375,337183
2024-05-30,5742.11865234375,5766.4501953125,5901.75,5750.0,5900.0,643549
2024-05-31,5814.56201171875,5839.2001953125,5959.35009765625,5743.0,5855.9501953125,1382132
2024-06-03,5826.5107421875,5851.2001953125,6018.14990234375,5812.5498046875,5986.2998046875,804820
2024-06-04,5821.03466796875,5845.7001953125,5963.75,5693.2001953125,5750.35009765625,642000
2024-06-05,5909.60888671875,5934.64990234375,5944.75,5776.7998046875,5915.0,487289
