date_,adj close_fivestar.ns,close_fivestar.ns,high_fivestar.ns,low_fivestar.ns,open_fivestar.ns,volume_fivestar.ns
2024-01-16,739.8358154296875,742.4000244140625,747.5999755859375,730.5,732.0999755859375,301542
2024-01-17,727.5782470703125,730.0999755859375,739.0,725.5,735.2000122070312,301088
2024-01-18,747.3099365234375,749.9000244140625,753.9500122070312,726.5499877929688,728.0,413556
2024-01-19,766.7426147460938,769.4000244140625,774.0499877929688,752.2000122070312,753.5999755859375,383629
2024-01-23,753.538330078125,756.1500244140625,765.0,742.2999877929688,753.4000244140625,618686
2024-01-24,735.4011840820312,737.9500122070312,760.0499877929688,721.0999755859375,758.5499877929688,222700
2024-01-25,747.2600708007812,749.8499755859375,755.0,730.0,737.0,419862
2024-01-29,751.7445068359375,754.3499755859375,764.0,746.9500122070312,753.5999755859375,192152
2024-01-30,756.22900390625,758.8499755859375,764.7999877929688,749.0,754.4000244140625,225128
2024-01-31,759.1688232421875,761.7999877929688,783.2000122070312,753.0499877929688,756.0,533589
2024-02-01,754.4850463867188,757.0999755859375,774.0,750.1500244140625,765.5999755859375,349027
2024-02-02,772.871337890625,775.5499877929688,781.9500122070312,755.6500244140625,767.9000244140625,360066
2024-02-05,773.3695678710938,776.0499877929688,787.75,769.6500244140625,784.9000244140625,557484
2024-02-06,776.7578735351562,779.4500122070312,785.0,770.25,780.25,740210
2024-02-07,768.9848022460938,771.6500244140625,785.7000122070312,763.6500244140625,780.0,524728
2024-02-08,765.7958374023438,768.4500122070312,783.0499877929688,761.0499877929688,773.6500244140625,646652
2024-02-09,772.7716674804688,775.4500122070312,781.0,765.0,765.6500244140625,481404
2024-02-12,743.2738647460938,745.8499755859375,780.0,730.2000122070312,776.25,274932
2024-02-13,756.1791381835938,758.7999877929688,765.5,727.9500122070312,741.0,303251
2024-02-14,744.868408203125,747.4500122070312,767.0,740.2000122070312,750.0,754508
2024-02-15,764.251220703125,766.9000244140625,779.75,750.7000122070312,751.2000122070312,228764
2024-02-16,766.4934692382812,769.1500244140625,784.75,763.5999755859375,769.5,333572
2024-02-19,736.2482299804688,738.7999877929688,772.0,736.0999755859375,771.9500122070312,316087
2024-02-20,715.8688354492188,718.3499755859375,742.5,714.0499877929688,740.0499877929688,299423
2024-02-21,714.224609375,716.7000122070312,727.2000122070312,712.25,725.0,212376
2024-02-22,719.2571411132812,721.75,727.0,710.9500122070312,717.4000244140625,164659
2024-02-23,718.111083984375,720.5999755859375,725.0,711.0,724.9000244140625,104254
2024-02-26,718.1609497070312,720.6500244140625,726.1500244140625,715.6500244140625,720.5999755859375,199736
2024-02-27,719.1575317382812,721.6500244140625,728.9000244140625,701.0999755859375,721.8499755859375,555964
2024-02-28,706.8999633789062,709.3499755859375,722.9000244140625,704.5499877929688,722.9000244140625,261111
2024-02-29,703.8604736328125,706.2999877929688,717.5999755859375,697.5,709.0,852527
2024-03-01,702.1663208007812,704.5999755859375,718.7000122070312,700.2000122070312,705.0,400197
2024-03-04,681.3385620117188,683.7000122070312,711.9000244140625,681.0,711.4500122070312,429734
2024-03-05,669.8782958984375,672.2000122070312,691.6500244140625,669.0499877929688,688.75,771372
2024-03-06,656.773681640625,659.0499877929688,681.5999755859375,652.1500244140625,672.2000122070312,912981
2024-03-07,662.5038452148438,664.7999877929688,681.5999755859375,653.2999877929688,662.0499877929688,652929
