date_,adj close_exideind.ns,close_exideind.ns,high_exideind.ns,low_exideind.ns,open_exideind.ns,volume_exideind.ns
2024-01-16,322.90185546875,325.79998779296875,332.5,322.70001220703125,326.0,4455576
2024-01-17,316.5588073730469,319.3999938964844,324.8999938964844,314.25,321.95001220703125,4636107
2024-01-18,316.261474609375,319.1000061035156,322.20001220703125,309.3500061035156,319.3999938964844,4819502
2024-01-19,324.2894287109375,327.20001220703125,328.0,321.0,323.0,2374513
2024-01-23,311.900634765625,314.70001220703125,327.6000061035156,313.3500061035156,325.8999938964844,3270317
2024-01-24,312.4952697753906,315.29998779296875,319.25,311.3999938964844,315.0,4837038
2024-01-25,307.63885498046875,310.3999938964844,317.54998779296875,307.45001220703125,315.5,3275873
2024-01-29,312.4952697753906,315.29998779296875,317.25,311.29998779296875,314.70001220703125,1788476
2024-01-30,315.1712341308594,318.0,321.8500061035156,315.45001220703125,318.8999938964844,2813599
2024-01-31,331.9704895019531,334.95001220703125,336.0,318.70001220703125,320.0,7916850
2024-02-01,331.2271423339844,334.20001220703125,337.5,326.25,337.5,4859425
2024-02-02,340.2957763671875,343.3500061035156,347.5,334.5,335.79998779296875,7553484
2024-02-05,344.01239013671875,347.1000061035156,354.0,340.0,346.8999938964844,4765223
2024-02-06,345.3999328613281,348.5,352.0,345.6499938964844,349.0,3570626
2024-02-07,343.7646179199219,346.8500061035156,351.54998779296875,344.1499938964844,349.29998779296875,2187232
2024-02-08,341.9806213378906,345.04998779296875,349.8999938964844,343.54998779296875,348.0,1892474
2024-02-09,335.3897705078125,338.3999938964844,346.8999938964844,332.5,345.54998779296875,2694398
2024-02-12,325.2805480957031,328.20001220703125,341.3999938964844,326.25,341.0,2172402
2024-02-13,327.609619140625,330.54998779296875,331.95001220703125,321.3999938964844,327.75,2865332
2024-02-14,333.65533447265625,336.6499938964844,337.6000061035156,323.95001220703125,327.20001220703125,1375999
2024-02-15,331.3758239746094,334.3500061035156,340.8999938964844,332.5,339.0,1765944
2024-02-16,333.5066833496094,336.5,339.25,335.25,338.0,1375288
2024-02-19,333.80401611328125,336.79998779296875,344.0,336.0,340.29998779296875,1339482
2024-02-20,327.8573913574219,330.79998779296875,338.6499938964844,327.5,338.6499938964844,2205476
2024-02-21,323.79388427734375,326.70001220703125,334.20001220703125,325.6000061035156,331.79998779296875,1841503
2024-02-22,329.44317626953125,332.3999938964844,333.3999938964844,323.29998779296875,326.8999938964844,1827753
2024-02-23,327.06451416015625,330.0,335.0,329.0,334.1000061035156,846452
2024-02-26,325.23095703125,328.1499938964844,332.20001220703125,327.70001220703125,331.04998779296875,1346413
2024-02-27,323.2487487792969,326.1499938964844,329.8500061035156,325.0,328.8999938964844,769796
2024-02-28,315.2703552246094,318.1000061035156,328.5,316.04998779296875,326.75,2643104
2024-02-29,317.4508056640625,320.29998779296875,322.0,316.3999938964844,318.0,1725182
2024-03-01,321.2170104980469,324.1000061035156,326.8999938964844,321.3500061035156,322.0,1556230
2024-03-04,325.82562255859375,328.75,332.04998779296875,324.0,327.79998779296875,1431470
2024-03-05,322.6540832519531,325.54998779296875,331.1499938964844,323.75,330.0,1177352
2024-03-06,318.9870300292969,321.8500061035156,326.0,316.54998779296875,325.5,1783348
2024-03-07,325.23095703125,328.1499938964844,330.79998779296875,322.3500061035156,323.5,2193814
2024-03-11,320.17633056640625,323.04998779296875,332.29998779296875,322.0,331.0,2257244
2024-03-12,316.6083679199219,319.45001220703125,326.20001220703125,318.20001220703125,324.20001220703125,2261648
2024-03-13,298.025146484375,300.70001220703125,320.0,297.95001220703125,319.04998779296875,3710437
2024-03-14,303.07977294921875,305.79998779296875,309.8999938964844,294.6499938964844,297.20001220703125,2850926
2024-03-15,302.5841979980469,305.29998779296875,306.79998779296875,298.8500061035156,305.79998779296875,2689532
2024-03-18,304.3186340332031,307.04998779296875,309.1000061035156,302.6000061035156,305.0,1088219
2024-03-19,293.8129577636719,296.45001220703125,305.0,290.3500061035156,305.0,5242694
2024-03-20,298.76849365234375,301.45001220703125,302.45001220703125,293.70001220703125,296.45001220703125,2481845
2024-03-21,303.07977294921875,305.79998779296875,306.6499938964844,302.79998779296875,303.70001220703125,1116789
2024-03-22,304.46734619140625,307.20001220703125,308.75,303.3999938964844,305.79998779296875,1029834
