date_,adj close_patanjali.ns,close_patanjali.ns,high_patanjali.ns,low_patanjali.ns,open_patanjali.ns,volume_patanjali.ns
2024-01-16,526.43212890625,533.2999877929688,554.316650390625,528.7000122070312,546.6666870117188,1662417
2024-01-17,515.3433837890625,522.066650390625,532.6666870117188,520.0,526.6666870117188,3408279
2024-01-18,513.2869873046875,519.9833374023438,526.066650390625,507.4333190917969,522.3333129882812,1529979
2024-01-19,521.0852661132812,527.8833618164062,529.3333129882812,521.6500244140625,523.0,701097
2024-01-23,508.4500732421875,515.0833129882812,526.5,507.3333435058594,519.9833374023438,1044456
2024-01-24,523.0265502929688,529.8499755859375,536.6500244140625,508.6666564941406,513.4166870117188,1713282
2024-01-25,520.3614501953125,527.1500244140625,533.0,524.3333129882812,533.0,1034853
2024-01-29,516.0509033203125,522.7833251953125,530.9833374023438,518.3666381835938,529.3333129882812,518562
2024-01-30,518.5350952148438,525.2999877929688,528.3333129882812,516.0,523.0166625976562,1156530
2024-01-31,520.5751953125,527.3666381835938,530.6666870117188,521.4166870117188,524.9666748046875,549171
2024-02-01,516.708984375,523.4500122070312,528.316650390625,520.2166748046875,527.3499755859375,568356
2024-02-02,513.7640991210938,520.4666748046875,526.9833374023438,512.683349609375,523.7000122070312,2303574
2024-02-05,500.569580078125,507.1000061035156,520.0,505.0,518.3333129882812,1629618
2024-02-06,528.25830078125,535.1500244140625,539.4666748046875,505.3333435058594,507.1000061035156,2304966
2024-02-07,537.1259765625,544.1333618164062,552.316650390625,535.6666870117188,539.6166381835938,2462787
2024-02-08,547.6881713867188,554.8333129882812,570.8333129882812,548.5,552.4000244140625,3099306
2024-02-09,527.71533203125,534.5999755859375,538.0,521.566650390625,533.3333129882812,3517395
2024-02-12,514.5701904296875,521.2833251953125,540.6666870117188,516.0,533.3333129882812,1948971
2024-02-13,506.3113098144531,512.9166870117188,520.0,503.3333435058594,520.0,1628778
2024-02-14,517.4822387695312,524.2333374023438,526.1166381835938,504.5333251953125,507.6833190917969,1321794
2024-02-15,526.9257202148438,533.7999877929688,535.6666870117188,524.0166625976562,524.0166625976562,884244
2024-02-16,533.5887451171875,540.5499877929688,545.0,525.0333251953125,538.3333129882812,1197690
2024-02-19,551.0443725585938,558.2333374023438,562.3333129882812,542.9666748046875,546.6333618164062,1873722
2024-02-20,542.094482421875,549.1666870117188,550.6666870117188,534.0,541.6666870117188,2654859
2024-02-21,537.422119140625,544.433349609375,560.0,542.6666870117188,553.6166381835938,1643496
2024-02-22,539.083740234375,546.1166381835938,550.6666870117188,538.5,546.1333618164062,953244
2024-02-23,542.0780029296875,549.1500244140625,553.316650390625,544.4833374023438,548.3499755859375,850641
2024-02-26,538.6724853515625,545.7000122070312,566.566650390625,543.3499755859375,548.0,1761021
2024-02-27,533.9342651367188,540.9000244140625,548.3333129882812,537.0,546.0,1002006
2024-02-28,519.1932373046875,525.9666748046875,537.3333129882812,511.6666564941406,525.0166625976562,5162046
2024-02-29,505.9657897949219,512.566650390625,524.8833618164062,510.0,521.066650390625,1258530
2024-03-01,515.2941284179688,522.0166625976562,524.6666870117188,513.683349609375,515.1666870117188,960996
2024-03-04,526.4815063476562,533.3499755859375,547.0,529.25,540.6500244140625,1857867
2024-03-05,516.2647705078125,523.0,536.1666870117188,522.0333251953125,536.1666870117188,755967
2024-03-06,502.8070373535156,509.3666687011719,526.6666870117188,505.6833190917969,523.3333129882812,828000
2024-03-07,502.28057861328125,508.8333435058594,515.9833374023438,507.0,513.9666748046875,466332
2024-03-11,488.7898864746094,495.1666564941406,514.0,491.6833190917969,513.3333129882812,850260
2024-03-12,453.36865234375,459.2833251953125,499.8833312988281,455.8333435058594,495.26666259765625,2861514
2024-03-13,443.6455078125,449.4333190917969,464.1000061035156,427.0,461.3333435058594,4064748
2024-03-14,460.14691162109375,466.1499938964844,471.3333435058594,437.1000061035156,439.3500061035156,2951001
2024-03-15,460.9036865234375,466.9166564941406,473.3666687011719,461.9166564941406,465.1000061035156,2019630
2024-03-18,465.6583557128906,471.73333740234375,477.6666564941406,458.01666259765625,470.6666564941406,1690722
2024-03-19,446.75494384765625,452.5833435058594,469.6499938964844,447.1499938964844,469.6499938964844,1318863
2024-03-20,444.961669921875,450.76666259765625,455.8666687011719,443.3333435058594,449.3333435058594,2903448
2024-03-21,452.7451171875,456.6166687011719,459.6499938964844,451.01666259765625,455.6833190917969,1825680
2024-03-22,456.298095703125,460.20001220703125,466.3166809082031,455.0666809082031,456.6166687011719,1550268
2024-03-26,445.6226806640625,449.4333190917969,463.3166809082031,446.70001220703125,461.6666564941406,1001634
2024-03-27,449.2252502441406,453.0666809082031,461.3333435058594,450.01666259765625,453.3333435058594,2103570
2024-03-28,442.3506774902344,446.1333312988281,457.3333435058594,440.3500061035156,455.98333740234375,745284
2024-04-01,458.4959411621094,462.4166564941406,465.3166809082031,449.3333435058594,453.3333435058594,768873
2024-04-02,461.1730651855469,465.1166687011719,467.6666564941406,456.6666564941406,463.29998779296875,1140519
2024-04-03,464.2137451171875,468.1833190917969,472.6666564941406,455.6666564941406,456.6666564941406,1293762
2024-04-04,456.36419677734375,460.26666259765625,474.0,458.3333435058594,474.0,724425
2024-04-05,458.69427490234375,462.6166687011719,466.98333740234375,458.3333435058594,460.0,1178889
2024-04-08,452.1997985839844,456.0666809082031,461.1333312988281,443.9666748046875,454.5333251953125,1204029
2024-04-09,446.3002624511719,450.1166687011719,459.1000061035156,449.3333435058594,457.6166687011719,440817
2024-04-10,444.118896484375,447.9166564941406,456.5333251953125,441.6666564941406,451.6499938964844,2468556
2024-04-12,443.6892395019531,447.48333740234375,456.3833312988281,436.48333740234375,439.3166809082031,3259602
2024-04-15,443.1108703613281,446.8999938964844,449.9666748046875,431.2833251953125,438.9333190917969,1706286
2024-04-16,465.5192565917969,469.5,474.6666564941406,439.3166809082031,439.3333435058594,6360864
2024-04-18,464.3293762207031,468.29998779296875,473.1166687011719,460.6666564941406,461.6666564941406,2420601
2024-04-19,463.53619384765625,467.5,472.3166809082031,456.6666564941406,456.6666564941406,1583499
2024-04-22,484.65557861328125,488.79998779296875,491.3999938964844,468.3333435058594,468.3333435058594,3289581
2024-04-23,491.6788635253906,495.8833312988281,498.0,487.3333435058594,492.9666748046875,1779699
2024-04-24,498.7021789550781,502.9666748046875,512.9833374023438,494.8500061035156,497.6666564941406,2843811
2024-04-25,502.7508544921875,507.04998779296875,515.5,495.0,504.6499938964844,2414901
2024-04-26,523.4406127929688,527.9166870117188,535.0,500.6666564941406,505.6000061035156,4682421
2024-04-29,516.7643432617188,521.183349609375,536.3333129882812,518.3333129882812,533.3333129882812,2365923
2024-04-30,499.2970886230469,503.5666809082031,514.566650390625,497.8500061035156,500.0,4463667
2024-05-02,479.68145751953125,483.7833251953125,499.3500061035156,481.3666687011719,498.6833190917969,2504967
2024-05-03,478.3759765625,482.4666748046875,488.3333435058594,474.6666564941406,487.0,1501734
2024-05-06,472.75732421875,476.79998779296875,488.29998779296875,469.7166748046875,482.4666748046875,1085250
2024-05-07,478.35943603515625,482.45001220703125,489.3333435058594,466.6666564941406,476.48333740234375,1921125
2024-05-08,466.19677734375,470.1833190917969,483.3333435058594,466.3333435058594,482.8333435058594,1059900
2024-05-09,447.30828857421875,451.1333312988281,470.6666564941406,446.7166748046875,470.3333435058594,842589
2024-05-10,449.95233154296875,453.79998779296875,457.5666809082031,447.6666564941406,451.1333312988281,755283
2024-05-13,439.8553771972656,443.6166687011719,455.3166809082031,438.8666687011719,451.1666564941406,585771
2024-05-14,441.2269592285156,445.0,448.7166748046875,440.3333435058594,444.8833312988281,679242
2024-05-15,455.6701354980469,459.5666809082031,463.3333435058594,444.0,444.1833190917969,2268552
2024-05-16,460.8260498046875,464.76666259765625,470.23333740234375,459.0333251953125,460.0,661380
2024-05-17,462.7594909667969,466.7166748046875,473.6333312988281,462.3500061035156,464.76666259765625,688848
2024-05-21,468.6094665527344,472.6166687011719,478.6333312988281,466.6666564941406,472.0,763062
2024-05-22,464.3955383300781,468.3666687011719,478.3166809082031,467.3333435058594,474.6666564941406,524214
2024-05-23,466.97344970703125,470.9666748046875,474.3333435058594,465.1333312988281,467.3333435058594,689634
2024-05-24,472.8564758300781,476.8999938964844,481.3333435058594,467.6666564941406,471.0,2050266
2024-05-27,475.5831604003906,479.6499938964844,486.6666564941406,471.3333435058594,476.3833312988281,1063977
2024-05-28,491.034423828125,495.23333740234375,505.0,477.8666687011719,481.6666564941406,3707547
2024-05-29,479.5657653808594,483.6666564941406,495.4333190917969,480.70001220703125,495.3166809082031,1178007
2024-05-30,473.6331787109375,477.6833190917969,486.3333435058594,474.0666809082031,483.3333435058594,942714
2024-05-31,472.658203125,476.70001220703125,481.6666564941406,469.6666564941406,478.6666564941406,1398528
2024-06-03,483.33355712890625,487.4666748046875,496.0,483.3666687011719,486.6666564941406,2150847
2024-06-04,411.2169494628906,414.73333740234375,487.0,389.98333740234375,484.6833190917969,4780383
2024-06-05,444.019775390625,447.8166809082031,451.0,410.6833190917969,429.3333435058594,1921998
2024-06-06,450.9769287109375,454.8333435058594,458.5333251953125,443.3333435058594,450.0,3750930
2024-06-07,463.1065673828125,467.0666809082031,468.8999938964844,452.8166809082031,454.3500061035156,1623954
2024-06-10,487.9276123046875,492.1000061035156,503.0,485.3333435058594,503.0,5531061
2024-06-11,486.80389404296875,490.9666748046875,502.4666748046875,487.0,492.6666564941406,1742799
2024-06-12,485.1513366699219,489.29998779296875,501.3333435058594,481.01666259765625,493.0833435058594,1395417
2024-06-13,489.547119140625,493.73333740234375,497.6666564941406,480.0,489.6666564941406,1760196
2024-06-14,490.32379150390625,494.51666259765625,498.3166809082031,489.04998779296875,493.3333435058594,869679
2024-06-18,484.9365234375,489.0833435058594,501.6666564941406,486.6666564941406,494.51666259765625,806640
2024-06-19,485.415771484375,489.5666809082031,493.29998779296875,479.6166687011719,490.73333740234375,917280
