date_,adj close_aplapollo.ns,close_aplapollo.ns,high_aplapollo.ns,low_aplapollo.ns,open_aplapollo.ns,volume_aplapollo.ns
2024-01-16,1542.42138671875,1553.75,1567.75,1538.050048828125,1559.800048828125,304925
2024-01-17,1499.3873291015625,1510.4000244140625,1539.0,1501.1500244140625,1530.0,760205
2024-01-18,1495.3668212890625,1506.3499755859375,1520.5,1477.25,1510.699951171875,647115
2024-01-19,1537.159912109375,1548.449951171875,1558.0,1510.0,1510.0,472150
2024-01-23,1490.00634765625,1500.949951171875,1542.8499755859375,1478.0,1539.0,849028
2024-01-24,1491.0487060546875,1502.0,1522.5,1479.0999755859375,1502.0,459634
2024-01-25,1478.9873046875,1489.8499755859375,1511.5,1483.0,1496.050048828125,557859
2024-01-29,1520.33349609375,1531.5,1543.9000244140625,1471.4000244140625,1479.949951171875,1733644
2024-01-30,1488.26904296875,1499.199951171875,1530.0,1490.0,1530.0,905374
2024-01-31,1492.388671875,1503.3499755859375,1518.8499755859375,1456.5999755859375,1490.0,1376291
2024-02-01,1481.41943359375,1492.300048828125,1511.300048828125,1487.300048828125,1506.699951171875,1189459
2024-02-02,1467.8690185546875,1478.6500244140625,1497.800048828125,1470.0,1485.0,492140
2024-02-05,1425.1326904296875,1435.5999755859375,1494.0,1420.0,1478.6500244140625,1413379
2024-02-06,1392.62158203125,1402.8499755859375,1440.8499755859375,1370.6500244140625,1428.0,2020568
2024-02-07,1372.8170166015625,1382.9000244140625,1412.949951171875,1375.0,1404.8499755859375,908891
2024-02-08,1377.8302001953125,1387.949951171875,1414.0,1366.5999755859375,1384.949951171875,1079647
2024-02-09,1332.810791015625,1342.5999755859375,1389.0,1326.75,1387.949951171875,912385
2024-02-12,1341.19921875,1351.050048828125,1366.0,1338.0,1358.949951171875,491008
2024-02-13,1323.87646484375,1333.5999755859375,1357.800048828125,1314.300048828125,1351.050048828125,548378
2024-02-14,1378.4259033203125,1388.550048828125,1396.449951171875,1305.0,1325.0999755859375,1004441
2024-02-15,1408.2567138671875,1418.5999755859375,1426.199951171875,1384.550048828125,1388.0,510461
2024-02-16,1422.70068359375,1433.1500244140625,1444.199951171875,1413.949951171875,1423.6500244140625,559931
2024-02-19,1421.062744140625,1431.5,1442.0,1411.75,1433.199951171875,311846
2024-02-20,1429.053955078125,1439.550048828125,1444.0,1402.4000244140625,1444.0,688802
2024-02-21,1423.4947509765625,1433.949951171875,1456.0,1421.5,1439.800048828125,296162
2024-02-22,1411.880126953125,1422.25,1447.9000244140625,1415.5999755859375,1435.8499755859375,565696
2024-02-23,1438.6832275390625,1449.25,1470.0,1422.25,1423.1500244140625,496702
2024-02-26,1444.0933837890625,1454.699951171875,1479.25,1446.8499755859375,1449.300048828125,538841
