date_,adj close_endurance.ns,close_endurance.ns,high_endurance.ns,low_endurance.ns,open_endurance.ns,volume_endurance.ns
2024-01-16,1938.3096923828125,1952.3499755859375,2024.949951171875,1938.6500244140625,1964.75,131549
2024-01-17,2027.414306640625,2042.0999755859375,2088.0,1914.8499755859375,1952.0,537069
2024-01-18,2021.7552490234375,2036.4000244140625,2050.0,1950.0,2049.449951171875,95265
2024-01-19,2060.325927734375,2075.25,2081.0,2009.6500244140625,2047.0999755859375,89598
2024-01-23,2039.7747802734375,2054.550048828125,2096.550048828125,2016.550048828125,2075.0,51821
2024-01-24,1977.8731689453125,1992.199951171875,2056.949951171875,1960.0999755859375,2047.0,126980
2024-01-25,1965.6119384765625,1979.8499755859375,2014.9000244140625,1969.949951171875,2001.699951171875,49667
2024-01-29,2008.6998291015625,2023.25,2067.550048828125,1990.300048828125,1990.300048828125,107879
2024-01-30,2055.362060546875,2070.25,2100.0,2008.550048828125,2017.0,65859
2024-01-31,2090.1103515625,2105.25,2175.0,2058.60009765625,2099.0,255313
2024-02-01,2135.38232421875,2150.85009765625,2183.199951171875,2102.35009765625,2115.0,98362
2024-02-02,2113.739013671875,2129.050048828125,2171.14990234375,2102.0,2161.60009765625,35444
2024-02-05,2098.99560546875,2114.199951171875,2155.949951171875,2095.0,2135.699951171875,27792
2024-02-06,2100.087890625,2115.300048828125,2197.0,2076.64990234375,2120.0,88317
2024-02-07,1968.987548828125,1983.25,2197.0,1965.050048828125,2197.0,229957
2024-02-08,1915.822509765625,1929.699951171875,2004.75,1925.0,2004.75,89632
2024-02-09,1829.199951171875,1842.449951171875,1957.0,1832.1500244140625,1954.0,338856
2024-02-12,1762.9300537109375,1775.699951171875,1881.949951171875,1765.5999755859375,1845.550048828125,171221
2024-02-13,1793.90576171875,1806.9000244140625,1844.949951171875,1763.449951171875,1784.4000244140625,69999
2024-02-14,1804.0322265625,1817.0999755859375,1838.0,1775.0,1777.75,93869
2024-02-15,1781.49560546875,1794.4000244140625,1836.4000244140625,1780.0,1825.0,119920
2024-02-16,1770.822998046875,1783.6500244140625,1825.5999755859375,1764.199951171875,1799.9000244140625,291809
2024-02-19,1805.0748291015625,1818.1500244140625,1857.75,1783.6500244140625,1790.0,147629
2024-02-20,1818.52734375,1831.699951171875,1840.75,1804.75,1825.0,176770
2024-02-21,1828.9517822265625,1842.199951171875,1865.949951171875,1801.5,1831.699951171875,147813
2024-02-22,1815.9459228515625,1829.0999755859375,1850.0,1821.300048828125,1839.0,211136
2024-02-23,1829.199951171875,1842.449951171875,1847.949951171875,1827.300048828125,1834.949951171875,79791
2024-02-26,1847.4180908203125,1860.800048828125,1877.0,1832.050048828125,1849.949951171875,144357
2024-02-27,1842.4044189453125,1855.75,1878.5999755859375,1822.1500244140625,1866.800048828125,216952
2024-02-28,1795.34521484375,1808.3499755859375,1867.199951171875,1793.5,1852.949951171875,59990
2024-02-29,1843.6455078125,1857.0,1873.449951171875,1802.050048828125,1806.25,177644
2024-03-01,1815.1021728515625,1828.25,1863.0,1820.0,1863.0,29876
2024-03-04,1822.300048828125,1835.5,1863.0999755859375,1807.0,1863.0999755859375,143308
2024-03-05,1781.9920654296875,1794.9000244140625,1849.0999755859375,1785.699951171875,1834.949951171875,110684
2024-03-06,1774.049560546875,1786.9000244140625,1821.9000244140625,1772.9000244140625,1794.0,122396
2024-03-07,1807.8546142578125,1820.949951171875,1828.699951171875,1781.0,1781.0,167470
2024-03-11,1789.9840087890625,1802.949951171875,1846.949951171875,1790.0,1830.5,72631
2024-03-12,1816.34326171875,1829.5,1837.0,1787.0999755859375,1802.949951171875,110768
2024-03-13,1713.8853759765625,1726.300048828125,1838.949951171875,1716.199951171875,1832.050048828125,57276
2024-03-14,1737.6134033203125,1750.199951171875,1780.5999755859375,1720.800048828125,1731.199951171875,63229
2024-03-15,1794.2034912109375,1807.199951171875,1845.9000244140625,1773.050048828125,1780.300048828125,254764
2024-03-18,1786.5589599609375,1799.5,1845.9000244140625,1767.0,1829.949951171875,94787
2024-03-19,1768.589111328125,1781.4000244140625,1808.5,1775.0,1808.449951171875,19489
2024-03-20,1740.4925537109375,1753.0999755859375,1795.9000244140625,1735.0,1782.0,33547
2024-03-21,1767.0999755859375,1779.9000244140625,1795.449951171875,1755.0999755859375,1762.300048828125,14819
